item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
11,Department of Education,040,406,1,"December 1, 2026; June 1, 2027; October 1, 2026",,"As a condition of the funds in unit of appropriation number 406, the Department of Education (DOE) shall submit to the Council three reports that list city char ter schools by name and address. Such reports shall contain the number of enrolled students in each char ter school, disaggregated by grade, as well as the following information for all charter schools: a. The number of enrolled students, disaggregated by grade; b. The number of enrolled Special Education students, disaggregated by grade; c. The number of enrolled General Education students, disaggregated by grade; d. The number of enrolled English Language Learner students, disaggregated by grade; e. The number of students provided free or reduced-price school lunches, disaggregated by grade; and f. The sum of year-end projected payments, disaggregated by payments for general education students and payments for special education students , with the payments for special education students further disaggregated by tuition payment category. The first report shall be submitted no later than October 1, 2026, the second report shall be submitted no later than December 1, 2026, and the final report shall be submitted no later than June 1, 2027."
12,Department of Education,040,401; 402; 403; 404; 415; 416; 453; 454; 481; 482,10,"January 31, 2027",,"As a condition of the funds in unit of appropriation numbers 401, 402, 403, 404, 415, 416, 453, 454, 481, and 482, the Department of Education (DOE) shall submit to the Council no later than January 31, 2027, a report that lists every co mmunity school, including the school name and DBN, as well as a list of the community school core programs with the budgeted amount for such core pr ograms for each school. Additionally, the report shall include the relevant budget codes in which community schools funding is located and the budgeted funding amount for community schools allocated in each budget code. Such report shall be disaggregated by services provided by the DOE and those provided through a contracted community-based organization. DOE shall also include in such report a list of community schools with their respective partner community-based organization."
13,Department of Education,040,407; 408; 409; 410; 470,5,"September 1, 2026",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education shall submit to the Council a report on 2-K, 3-K, and Universal Pre- Kindergarten (“pre-K”) applications and offers data. Such report shall include disaggregated data on City Transitional (“CTL”) 3-K and CTL Pre-K seats. The report shall include the following information for each community school district: a. Capacity as of offer release day for 2-K seats, 3-K seats, and pre-K seats; and b. The number of unique student applicants who ranked such seat type and community school district as their first choice. Such information shall be reported for each of the following seat types: 1. 2-K standard day/year community-based organization (“CBO”) provider seats; 2. 2-K expanded day/full year CBO provider seats; 3. 3-K standard day/year school-based seats; 4. 3-K standard day/year CBO provider seats; 5. 3-K extended day/year CBO provider seats; 6. Pre-K standard day/year school-based seats; 7. Pre-K standard day/year CBO provider seats; and 8. Pre-K extended day/year CBO provider seats. The report shall also include the following information, disaggregated by borough: a. Capacity as of offer release day for 2-K seats, 3-K seats, and pre-K seats; and b. The number of unique student applicants who ranked such seat type in such borough as their first choice. Such information shall be reported for each of the following seat types: 1. 2-K standard day/year FCC seats; 2. 2-K expanded day/full year FCC seats; 3. 3-K standard day/year FCC seats; and 4. 3-K extended day/year FCC seats. The report shall also include the following information for each community school district: a. The number of unique applicants offered one of their top-three-choice seats; b. The number of unique applicants offered a seat on their ranked list other than their top-three- choice seats; c. The number of unique applicants offered a seat not on their ranked list; and d. The number of unique applicants not offered a seat. Such information shall be reported for each of the following seat types: 1. 2-K standard day/year community-based organization (“CBO”) provider seats; 2. 2-K expanded day/full year CBO provider seats; 3. 3-K standard day/year school-based seats; 4. 3-K standard day/year CBO provider seats; 5. 3-K extended day/year CBO provider seats; 6. Pre-K standard day/year school-based seats; 7. Pre-K standard day/year CBO provider seats; and 8. Pre-K extended day/year CBO provider seats. The report shall also include the following information, disaggregated by site: a. The number of unique applicants offered one of their top-three-choice seats; b. The number of unique applicants offered a seat on their ranked list other than their top three- choice seats; c. The number of unique applicants offered a seat not on their ranked list; and d. The number of unique applicants not offered a seat. Such information shall be reported for each of the following seat types: 1. 2-K standard day/year FCC seats; 2. 2-K expanded day/full year FCC seats; 3. 3-K standard day/year FCC seats; and 4. 3-K extended day/year FCC seats. Additionally, the report shall include a list of standard day/year+ providers by site and shall be submitted no later than September 1, 2026."
14,Department of Education,040,407; 408; 409; 410; 470,5,"April 30, 2027; February 28, 2027; January 31, 2027; May 24, 2027",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education (DOE) shall submit to the Council two repo rts on infant and toddler, 2-K, 3-K, Universal pre- Kindergarten (“pre-K”), City Transitional Seats (“CTS” ) Toddler, CTS 3-K, CTS pre-K, and family child care programs (collectively “ECE programs”) seats and enrollment, disaggregated by school district, provider, and site, detailing: a. The number of students enrolled in each full-day ECE program by special education and non-special education students; b. The number of students enrolled in each half-day ECE program by special education and non-special education students; c. The capacity; d. The seat vacancy; e. For the first report, the number of seats at the start of the 2026-2027 school year and as of January 31, 2027; and f. For the second report, the number of seats at the end of the 2026-2027 school year. The first report shall be submitted no later than February 28, 2027, and include preliminary enrollment data as of January 31, 2027, and the second report shall be submitted no later than May 24, 2027, and include final enrollment data as of April 30, 2027."
15,Department of Education,040,All,1,,,"As a condition of the funds in all the units of appropriation authorizing expenditures for the Department of Education (DOE), DOE shall issue the Financial Status Reports for the following dates: FINANCIAL STATUS REPORT REPORT CONTENT ISSUE DATE ANTICIPATED MEETING DATE September 2026 FY 2027 FSROpening Condition October 6 October 28 October 2026 FY 2026 Year-End Close November 6 December 3 December 2026 FY 2027 FSR Update; FY 2027 November Plan Su mmary December 9 January 14 February 2027 FY 2027 FSR Update, including Fiscal Analysis; FY 2 028 Preliminary Budget Summary February 11 March 11 March 2027 FY 2027 FSR Update, including Fiscal Analysis; FY 2028 Preliminary Budget Summary April 8 May 6 May 2027 FY 2027 FSR Update, including Fiscal Analysis; FY 2 028 Executive Budget Summary May 26 June 16"
16,Department of Education,040,401; 402; 407; 415; 416; 453; 481; 482,8,"October 31, 2026",,"As a condition of the funds in unit of approp riation numbers 401, 402, 407, 415, 416, 453, 481 and 482, the Department of Education shall submit a report to the Council providing information on funding for the Project Pivot program for the previous school year by no later than October 31, 2026. The report shall include the following information: a. The amount of funding budgeted for Project Pivot and any amount unspent; b. The schools in which Project Pivot programming and services were provided; c. The number of students and staff participating in the program; d. The partner organizations providing the programming and services; e. The annual student suspension rates for each school where Project Pivot programming and services are provided, for each school year since the program has been established at each such school; and f. The annual number of student behavioral incidents at each school where Project Pivot programming and services are provided, for each school year since the program has been established at each such school."
17,Department of Education,040,401; 402; 481; 482,4,"November 1, 2026",,"As a condition of the funds in unit of appropriat ion numbers 401, 402, 481, and 482, the Department of Education shall submit to the Council no later than November 1, 2026, a report on the Public Schools Athletic League summer registration and attendance , disaggregated by school district, student grade level, and by special education and non-special education students, for the summer of 2026."
18,Department of Education,040,401; 402; 407; 415; 416; 453; 454; 481; 482,9,"October 31, 2026",,"As a condition of the funds in unit of appropriat ion numbers 401, 402, 407, 415, 416, 453, 454, 481, and 482, the Department of Education shall submit a report to the Council no later than October 31, 2026, on funding for restorative justice programming and servic es for the previous school year. The report shall include the following information: a. The amount of funds budgeted to implement restorative justice programming and services and of such amount, the amount of funds spent; b. The list of schools and direct/indirect restorative justice programs and services offered, including whether the programs and services were used by students; c. The number of staff, students, school staff, and administrators administering the programs; d. The annual student suspension rate s at schools where restorative justice programs and services were provided, disaggregated by whether the programs were direct or indirect, for the last three school years; and e. The annual student behavioral incident rates at schools where restorative justice programs and services were provided, disaggregated by whether the programs were direct or indirect, for the last three school years."
19,Department of Education,040,401; 402; 403; 404; 481; 482,6,"August 15, 2026",,"As a condition of the funds in unit of appropriation numbers 401, 402, 403, 404, 481, and 482, the Department of Education shall submit to the Council, no later than August 15, 2026, a report on arts instruction in pre-kindergarten (Pre-K) through grade 12 schools for the 2025-2026 school year. Such report shall include, for each school: a. The type of arts instruction provided, such as music, dance, theater, film/media arts, and visual arts; b. For each type of arts instruction, the grade levels to which such instruction is provided for grades Pre-K through 12; and c. The number of full-time and part-time certified arts teachers, disaggregated by: 1. grade level taught; and 2. arts discipline taught."
20,Department of Education,040,401; 403; 407; 409; 415; 421; 423; 481,8,"February 28, 2027; March 15, 2027; November 15, 2026; October 31, 2026",,"As a condition of the funds in unit of appropriat ion numbers 401, 403, 407, 409, 415, 421, 423, and 481, the Department of Education (DOE) shall submit two headcount reports to the Council with the following information on budgeted positions and filled positions relating to: a. School-based staff by title and Borough Field Support Center-based staff by title; b. Staff by title for all pre-Kindergarten staff in DOE facilities and non-DOE facilities; and c. The total number of school-based social workers funded centrally, as well as the total number of social workers hired by individual schools. The first report shall be submitted no later than November 15, 2026, reflecting data as of October 31, 2026, and the second report shall be submitted no later than March 15, 2027, reflecting data as of February 28, 2027."
21,Department of Education,040,439; 440,2,,,"As a condition of the funds in uni t of appropriation numbers 439 and 440, the Department of Education (DOE) shall submit to the Council no later than Ap ril 1, 2027, a report that contains the following information for each school: a. The number of summer meals served; b. The number and percentage of students who completed and submitted a lunch form, an alternative income form, or both; c. The number of students eligible for free or reduced-price lunch; d. The average number of meals served per day, disaggregated by breakfast, lunch, and summer meals; e. The average cost per meal for breakfasts served; f. The average cost per meal for lunches served; and g. The average cost per summer meal served. Additionally, the report shall contain for all DOE sc hools the number of traditional and kosher meals served and the number of halal meals requested, where applicable."
22,Department of Education,040,438; 453; 454,3,"December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropri ation numbers 438, 453, and 454, the Department of Education shall submit to the Council two reports on busing provided for students living in shelters. Such reports shall provide the number of students who have been routed and a snapshot of the number of students who are waiting to be routed. The first report shall be submitted no later than January 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no later than July 15, 2027, and shall cover the pe riod beginning January 1, 2027, and ending June 30, 2027."
23,Department of Education,040,All,1,"December 1, 2026; February 15, 2027; May 5, 2027; September 1, 2026",,"As a condition of the funds in all units of appropri ation authorizing expenditures for the Department of Education (DOE), the DOE shall submit to the Council four reports that reflect funding for early childhood education programming in its entirety, including infant and toddler, 2-K, 3-K, Universal pre-Kindergarten (“pre-K”), City Transitional Seats (“CTS”) Toddler, CTS 3-K, and CTS pre-K, and family child care programs (collectively, “ECE programs”). Su ch reports shall include all relevant object codes, budget codes, and units of appropriation containing ECE program funding, the amount of funding allocated to ECE programs for each such object code, budget code, and unit of appropriation, and the DOE personnel headcount budgeted for ECE programs for Fiscal 2027 and Fiscal 2028. The first report shall be submit ted no later than September 1, 2026, and shall include budgeted information as of the Fiscal 2027 Adopted Budget. The second report shall be submitted no later than December 1, 2026, and shall include budgeted inform ation as of the Fiscal 2027 November Plan. The third report shall be submitted no later than February 15, 2027, and shall include budgeted information as of the Fiscal 2028 Preliminary Budget. The fourth report shall be submitted no later than May 5, 2027, and shall include budgeted information as of the Fiscal 2028 Executive Budget."
24,Department of Finance,836,001,1,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriation number 001, the Department of Finance shall submit four reports to the Council detailing the following information: a. The number of summonses issued for unlicensed cannabis; b. The total amount of fines imposed; c. The amount of fines collected; and d. The amount of fines uncollected within the reporting period and fiscal year to date. Such reports shall also include, as applicable, fees or other charges assessed and collected within the reporting period in connection with the operation of unlicensed cannabis. The reports shall be submitted on: (i) October 10, 2026, covering the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 10, 2027, covering the period beginning October 1, 2026, and ending December 31, 2026; (iii) April 10, 2027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 10, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027."
25,Department of Finance,836,001,1,"April 1, 2027; April 15, 2027; December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 15, 2026; September 30, 2026","July 1, 2026 to September 30","As a condition of the funds in unit of appropriation number 001, the Department of Finance shall submit to the Council four reports on tax expenditures incurred as a result of exemptions from local taxes granted pursuant to the private housing finance law. Each report shall contain the following information: a. The amount of tax payments projected to be collected by the City for Fiscal 2027 from properties granted an exemption from local taxes pursuant to the private housing finance law, disaggregated by housing program; and, for the applicable reporting period: b. The amount of such payments received by the City, disaggregated by housing program; c. The amount of such taxes billed that is delinquent, disaggregated by housing program; d. The borough block lot number of tax lots that were billed such taxes; and e. The borough block lot number of tax lots that had past due tax balances. The reports shall be submitted on: (i) October 15, 2026, covering the period beginning July 1, 2026 and ending September 30, 2026; (ii) January 15, 2027, covering the period beginning October 1, 2026 and ending December 31, 2026; (iii) April 15, 2027, covering the period beginning January 1, 2027 and ending March 31, 2027; and (iv) July 15, 2027, covering the period beginning April 1, 2027 and ending June 30, 2027."
26,Department of Finance,836,001; 011,2,"April 1, 2027; December 31, 2026; January 1, 2026","January 1, 2026, to on December 31","As a condition of the funds in uni t of appropriation numbers 001 an d 011, the Department of Finance (DOF) shall submit to the Council no later than April 1, 2027, a report of the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions and business tax exemptions. Such report shall also include the numb er, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such recommendations by the commissioner; the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at DOF; and the number and nature of inquiries referred to the Taxpayer Advocate by 311. Such repo rt shall cover the period beginning January 1, 2026, and ending on December 31, 2026."
27,Department of Health and Mental Hygiene,816,102; 112,2,"May 15, 2027; September 15, 2026",,"As a condition of funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene shall submit to the Council two reports detailing the number of new infections of tuberculosis, HIV/AIDS, viral hepatitis, and measles. Additionally, the reports shall include a rate comparison for the past two years. The reports shall be submitted to the Council on September 15, 2026, and May 15, 2027."
28,Department of Health and Mental Hygiene,816,108; 120,2,"December 1, 2026",,"As a condition of the funds in unit of appropriation numbers 108 and 120, the Department of Health and Mental Hygiene shall submit to the Council a report in relation to clubhouses, as such term is defined in local law number 119 for the year 2023, that receive City financial assistance . Such report shall be submitted no later than December 1, 2026, and sh all contain the following in formation for each such clubhouse as of the date of preparation of such report: a. Provider; b. Location; c. Amount of all-funds budget provided and the associated unit of appropriation and budget code; d. Capacity; e. Number of persons served, disaggregated by month; f. Number of staff; and g. Any service interruptions and, if so, the service interrupted and for how many days."
29,Department of Homeless Services,071,100; 101; 102; 200; 201; 202,6,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of appropriation numbers 100, 101, 102, 200, 201, and 202, the Department of Homeless Services shall submit to th e Council four reports with data regarding services and shelters targeted to the street homeless population. Such reports shall include the following: a. New placements into low-barrier shelter beds (i.e ., safe haven beds, stabilization beds, etc.), disaggregated by borough; b. The average monthly occupancy for low-barrier shelter beds, disaggregated by borough; and c. The average capacity for drop-in centers, disaggregated by borough. The reports shall be submitted on: (i) October 10, 2026, covering the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 10, 2027, covering the period beginning October 1, 2026, and ending December 31, 2026; (iii) April 10, 2027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 10, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027."
30,Department of Housing Preservation and Development,806,004; 009,2,"July 1, 2026; June 30, 2027; October 15, 2027","on July 1, 2026, to on June 30","Capital Budget for Department of Housing Preservation and Development (806) Budget Line HD-0009 – All Projects As a condition of the funds in unit of appropri ation numbers 004 and 009 and budget line HD-0009, the Department of Housing Preservation and Development shall submit to the Council no later than October 15, 2027, a report detailing the number of buildings in the Article 7A program and the expenditure amount for each building. Such report shal l cover the period beginning on July 1, 2026, and ending on June 30, 2027."
31,Department of Housing Preservation and Development,806,001,1,"July 1, 2026; June 30, 2027",,"As a condition of the funds in unit of appropriation number 001, the Department of Housing Preservation and Development (HPD) shall submit a report to the Council that provides the following information for each Project that receives an Article XI exemption approved by the Council at HPD’s request: a. The Council District; b. The amount of the City tax expenditure; c. The number of units, broken down by area median income levels; d. The expiration date of the exemption; e. The additional subsidy programs from which the Project benefits, if any; and f. The number of open A, B, and C violations. The report shall be submitted no later than Septem ber 30, 2027, and cover the period July 1, 2026, to June 30, 2027."
32,Department of Housing Preservation and Development,806,004; 011,2,"July 1, 2026; July 15, 2027; June 30, 2027","on July 1, 2026, to on June 30","As a condition of the funds in unit of appropriat ion numbers 004 and 011, the Department of Housing Preservation and Development (HPD) shall submit to th e Council no later than July 15, 2027, a report on the Underlying Conditions Program. Such report shall include the number of underlying conditions issued by HPD, the address of each building to which an unde rlying condition was issued, and the result of each order that was issued. Such report shall cover the period beginning on July 1, 2026, and ending on June 30, 2027."
33,Capital Budget for Department of Housing Preservation and Development,806,,0,,,"Budget Line HD-0206 As a condition of the funds in bu dget line HD-0206, and any other budge t lines where funding is utilized for conversion of housing units under the Perm anent Affordability Commitment Together program (“PACT”) or Public Housing Preservation Trust (“PHPT”), the New York City Housing Authority shall submit no fewer than four reports to the Council that detail the conversion of Section 9 public housing units to Section 8 under PACT or to the PHPT. A report sha ll be submitted within seven business days of each issuance of an update of the financial plan and sha ll include the following information as of the date of such issuance: a. The developments that have begun conversion under PACT; b. The developments that have begun conversion to PHPT; c. The number of units in each development; and d. The number of vacant units in each development."
34,Department of Sanitation,827,102; 109,2,"August 15, 2027; December 31, 2026; February 15, 2027; January 1, 2027; July 1, 2026; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropriatio n numbers 102 and 109, the Department of Sanitation shall submit to the Council two reports detailing the number of weekly litter basket pickups, disaggregated by Community District. Such reports shall also include the location of litter baskets in commercial corridors in which trucks do litter pickups in .shapefile or .g eojson format. The first report shall be submitted no later than February 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no later than August 15, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
35,Department of Sanitation,827,101; 102; 109; 110,4,"September 15, 2027",,"As a condition of the funds in unit of appropriat ion numbers 101, 102, 109, and 110, the Department of Sanitation shall submit to the Council a report rega rding the school organics collection program. Such report shall include the following information: a. The number of schools in the program disaggregated by type of school, name, address, borough, date added, and route; b. The tonnage of organics collected on each route; and c. A description of the organics education and outreach conducted at each school that is part of the program. Such report shall be submitted no later than September 15, 2027."
36,Department of Small Business Services,801,002,1,"January 15, 2027; June 30, 2026","on Ju ly 1, 2025, to on June 30","As a condition of the funds in unit of appropriation number 002, the Department of Small Business Services (SBS) shall submit to the Council no later than January 15, 2027, a report detailing the number of small businesses served through SBS’s Commercial Lease Assistance Program, disaggregated by borough. The report shall also include a description of the various types of assistance provided to small businesses through the program. Such report sh all cover the period beginning on Ju ly 1, 2025, and ending on June 30, 2026."
37,Department of Small Business Services,801,006,1,"December 31, 2026; January 1, 2026; January 31, 2027",,"As a condition of the funds in unit of appropriation number 006, the Department of Small Business Services, in collaboration with the Economic Develo pment Corporation, shall submit to the Council a report regarding NYC Ferry. The report shall include: a. Current route map and list of routes and landings served; b. Annual ridership by routes; c. Systemwide On-Time Performance as reported by the Operator; d. Latest demographic information available for ferry riders including percent identifying as New Yorkers; e. The number and class of vessels currently in the NYC Ferry fleet including their passenger capacity; f. A breakdown of city capital spending for any majo r facility completed in the prior year (landings, maintenance facilities, etc.); g. The total city capital spending for any vessel built or acquired in the prior year; h. The systemwide subsidy from the prior fiscal year; and i. The number of participants in the Ferry Forward program, disaggregated by eligibility category and borough of residence. Such report shall be submitted on January 31, 2027, and except where noted shall cover the period from January 1, 2026, to December 31, 2026."
38,Department of Small Business Services,801,010; 011,2,"April 15, 2027; February 28, 2027; July 1, 2026","on July 1, 2026, to on February 28","As a condition of the funds in un it of appropriation numbers 010 and 011, the Department of Small Business Services shall provide to the Council no later than April 15, 2027, a report detailing the: a. Number of registrants placed at jobs; b. Zip codes in which registrants placed at jobs reside; c. Job category/job classification of job placements (direct managed hires or self-placement); d. Industry of job placement; and e. Average hourly wage at placement. Such report shall cover the period beginning on July 1, 2026, and ending on February 28, 2027."
39,Capital Budget for the Department of Transportation,841,,0,,,"Budget Line HB-0278 – All Projects As a condition of the funds in budget line HB-0278 fo r the Department of Transportation (DOT) capital project related to the Brooklyn-Queens Expressway (“BQE”, also known as I-278), DOT shall submit to the Council no later than seven business days after the re lease of the Adopted and Executive Capital Plans, a report that provides capital funding budgeted, comm itted, and spent for the project which details all changes made since the prior Capital Plan, and updates on the project timeline."
40,Department of Transportation,841,004; 014,2,"April 1, 2027; April 10, 2027; December 31, 2026; January 1, 2027; January 10, 2027; July 1, 2026; July 10, 2027; June 30, 2027; March 31, 2027; October 1, 2026; October 10, 2026; September 30, 2026","July 1, 2026, to September 30","As a condition of the funds in unit of approp riation numbers 004 and 014, the Department of Transportation (DOT) shall submit to the Council four reports on community outreach conducted for the Streets Plan. DOT shall report the location of the project, the program area of the project (consistent with the most recent annual Streets Plan report), and the schedule of Community Board meetings. The reports shall be submitted on: (i) October 10, 2026, coveri ng the period beginning July 1, 2026, and ending September 30, 2026; (ii) January 10, 2027, covering the period beginning October 1, 2026, and ending December 31, 2026; (iii) April 10, 2027, covering the period beginning January 1, 2027, and ending March 31, 2027; and (iv) July 10, 2027, covering the period beginning April 1, 2027, and ending June 30, 2027."
41,Department of Youth and Community Development,260,005; 311,2,"August 1, 2027; December 31, 2026; February 1, 2027; January 1, 2027; July 1, 2026; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropriat ion numbers 005 and 311, the Department of Youth and Community Development shall submit to the Council two reports detailing spending for the Adult Literacy program, including but not limited to: a. The agency’s budget for the Adult Literacy program; b. How spending is distributed across community-based organizations; c. The rate of funding per student for each community-based organization; and d. The number of students in the aggregate and disaggregated by community-based organization. The first report shall be submitted no later than February 1, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the se cond report shall be su bmitted no later than August 1, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
