year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY25,MENTAL HEALTH,Mental Health Services,"Safe Horizon, Inc. 13-294-6970","Safe Horizon, Inc. 13-294-6970",initiative_provider,,"SBH Community Service Network, Inc.",,237406410,50000,,
FY25,MENTAL HEALTH,Mental Health Services,"Safe Horizon, Inc. 13-294-6970","Safe Horizon, Inc. 13-294-6970",initiative_provider,,"Service Program for Older People (SPOP), Inc.",,132947616,27000,,
FY25,MENTAL HEALTH,Mental Health Services,"Safe Horizon, Inc. 13-294-6970","Safe Horizon, Inc. 13-294-6970",initiative_provider,,"Solace House, Inc.",,472629761,50000,,
FY25,MENTAL HEALTH,Mental Health Services,"Safe Horizon, Inc. 13-294-6970","Safe Horizon, Inc. 13-294-6970",initiative_provider,,"St. Vincent's Services, Inc.",,111631823,100000,,
FY25,MENTAL HEALTH,Mental Health Services,"Safe Horizon, Inc. 13-294-6970","Safe Horizon, Inc. 13-294-6970",initiative_provider,,"Young Adult Institute, Inc.",,112030172,50000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Bridge, Inc., The",,131919799,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"BronxWorks, Inc.",,133254484,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Catholic Charities Neighborhood Services, Inc.",,112047151,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Chinese American Planning Council, Inc.",,136202692,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Educational Alliance, Inc., The",,135562210,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,Emerald Isle Immigration Center,,112932528,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,Goddard Riverside Community Center,,131893908,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Grand Street Settlement, Inc.",,135562230,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Greenwich House, Inc.",,135562204,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Hamilton-Madison House, Inc.",,135562412,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,Henry Street Settlement,,131562242,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,member_item,Hudson,Guild,,135562989,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"India Home, Inc.",,208747291,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Korean Community Services of Metropolitan New York, Inc.",,237348989,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Lenox Hill Neighborhood House, Inc.",,131628180,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Lincoln Center for the Performing Arts, Inc.",,131847137,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Mosholu-Montefiore Community Center, Inc.",,133622107,180384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Project Hospitality, Inc.",,133234441,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,member_item,Queens,"Community House, Inc.",,112375583,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Riverdale Mental Health Association, Inc.",,131930700,131636,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Riverdale Senior Services, Inc.",,237357997,135638,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Riverstone Senior Life Services, Inc.",,133355074,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Samuel Field YM & YWHA, Inc.",,113071518,117638,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"SBH Community Service Network, Inc.",,237406410,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Service Program for Older People (SPOP), Inc.",,132947616,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Services And Advocacy For Gay, Lesbian, Bisexual And Transgender Elders, Inc.",,132947657,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,South Asian Council for Social Services,,113632920,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,Spanish Speaking Elderly Council,RAICES,112730462,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Sunnyside Community Services, Inc.",,510189327,100000,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Union Settlement Association, Inc.",,131632530,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"University Settlement Society of New York, Inc.",,135562374,80384,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,Visiting Nurse Service of New York Home Care II,,131624211,256020,,
FY25,MENTAL HEALTH,Mental Health Services,,,initiative_provider,,"Young Adult Institute, Inc.",,112030172,80384,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Amudim Community Resources, Inc.",,470984801,50000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Bailey House, Inc.",,133165181,200000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Center for Comprehensive Health Practice, Inc.",,133484329,20000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Community Health Action of Staten Island, Inc.",,133556132,350000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Fortune Society, Inc., The",,132645436,200000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Housing Works, Inc.",,133584089,350000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,IlluminArt Productions,,421727647,50000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,Jewish Child Care Association of New York,,131624060,95000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Mothers Aligned Saving Kids (MASK), Inc.",,113495018,50000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,Mount Sinai Hospital,,131624096,60000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Puerto Rican Organization To Motivate Enlighten & Serve Addicts, Inc.",,132663328,350000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"SAFE Foundation, Inc.",,260102131,100000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Samaritan Daytop Village, Inc.",,112635374,50000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"St. Ann's Corner of Harm Reduction, Inc.",,133724008,350000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"St. Vincent's Services, Inc.",,111631823,100000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,"Voices of Community Activists & Leaders (VOCAL-NY), Inc.",,134094385,350000,,
FY25,MENTAL HEALTH,Mental Health Services,Opioid Prevention and Treatment,Opioid Prevention and Treatment,initiative_provider,,Young Men's Christian Association of Greater New York,,131624228,350000,,
FY25,MENTAL HEALTH,Mental Health Services,Trauma Recovery Centers,Trauma Recovery Centers,initiative_provider,,Astor Services for Children & Families,,141397918,673888,,
FY25,MENTAL HEALTH,Mental Health Services,Trauma Recovery Centers,Trauma Recovery Centers,initiative_provider,,Jewish Community Council of Greater Coney Island,,112665181,816585,,
FY25,MENTAL HEALTH,Mental Health Services,Trauma Recovery Centers,Trauma Recovery Centers,initiative_provider,,"Rising Ground, Inc.",,131860451,800000,,
FY25,MENTAL HEALTH,Mental Health Services,Access to Critical Services for Older Adults,Access to Critical Services for Older Adults,initiative_provider,,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,1180000,,
FY25,MENTAL HEALTH,Mental Health Services,Borough Presidents’ Discretionary Funding Restoration,Borough Presidents' Discretionary Funding Restoration,initiative_provider,,Department for the Aging,,136400434,1129774,,
FY25,OLDER ADULT SERVICES,Older Adult Services,,,initiative_provider,,Department for the Aging,,136400434,2000000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,"Connect, Inc.",,020694269,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,"Educational Alliance, Inc., The",,135562210,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,"Korean Community Services of Metropolitan New York, Inc.",,237348989,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,Sakhi for South Asian Women,,133593806,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,"Trinity Healing Center, Inc.",,203235905,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,Turning Point for Women and Families,,542177390,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elder Abuse Prevention Programs,Elder Abuse Prevention Programs,initiative_provider,,"Vision Urbana, Inc.",,133848575,35000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Agudath Israel of America Community Services, Inc.",,133975090,30000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Blue Card, Inc., The",,131623910,275000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,Boro Park Jewish Community Council,,113475993,200000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Bronx Jewish Community Council, Inc.",,132744533,71000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,162100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Crown Heights Jewish Community Council, Inc.",,237390996,154100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc.",,111633484,214100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Jewish Community Center of Staten Island, Inc.",,135562256,56100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Jewish Community Council of Canarsie, Inc.",,112608645,194100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,225000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,88000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Kings Bay YM-YWHA, Inc.",,113068515,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,480000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Nachas Health and Family Network, Inc.",,113067201,100100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Ohel Children's Home and Family Services, Inc.",,116078704,111000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Pesach Tikvah Hope Development, Inc.",,112642641,194100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Project Lead, Inc.",,133761446,55000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,Project Witness,,113456787,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,member_item,Queens,"Jewish Community Council, Inc.",,237172152,134000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Samuel Field YM & YWHA, Inc.",,113071518,134000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Selfhelp Community Services, Inc.",,131624178,275000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Shorefront Jewish Community Council, Inc.",,112986161,250100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"United Jewish Council of the East Side, Inc.",,132735378,40000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"United Jewish Organizations of Williamsburg, Inc.",,112728233,285100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"United Task Force, Inc.",,812505465,35000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,Washington Heights-Inwood Preservation and Restoration Corporation,,132944830,143000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Elie Wiesel Holocaust Survivors,Elie Wiesel Holocaust Survivors,initiative_provider,,"Young Men's Young Women's Hebrew Association of Boro Park, Inc.",,111630917,194100,,
FY25,OLDER ADULT SERVICES,Older Adult Services,LGBTQIA+ Older Adult Services in Every Borough,LGBTQIA+ Older Adult Services in Every Borough,initiative_provider,,"GRIOT Circle, Inc.",,113364328,300000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,LGBTQIA+ Older Adult Services in Every Borough,LGBTQIA+ Older Adult Services in Every Borough,initiative_provider,,"Pride Center of Staten Island, Inc.",,463358895,100000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,LGBTQIA+ Older Adult Services in Every Borough,LGBTQIA+ Older Adult Services in Every Borough,member_item,Queens,"Community House, Inc.",,112375583,300000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,LGBTQIA+ Older Adult Services in Every Borough,LGBTQIA+ Older Adult Services in Every Borough,initiative_provider,,"Services And Advocacy For Gay, Lesbian, Bisexual And Transgender Elders, Inc.",,132947657,1055000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Council of Belmont Organizations, Inc.",,132755323,103914,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Emerald Isle Immigration Center,,112932528,56132,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,247765,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Allen Community Senior Citizens Center, Inc.",,112326244,43211,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Bay Ridge Center, Inc.",,800559714,108026,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,216053,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"BronxWorks, Inc.",Riverpark Towers NORC,133254484,125311,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"BronxWorks, Inc.",Woodstock Terrace,133254484,96421,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Catholic Charities Neighborhood Services, Inc.",Sheepshead Bay NORC,112047151,216917,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"CenterLight Health System, Inc.",Nursing,133323765,18430,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Cooper Square Community Development Committee, Inc.",Cooper Square NNORC,132666211,69137,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc.",Good Neighbors NNORC,111633484,111483,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Fund for the City of New York, Inc.",Stonewall CDC LGBTQ NNORC,132612524,37284,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Goddard Riverside Community Center,Lincoln Center NORC,131893908,20000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Goddard Riverside Community Center,West Side NORC,131893908,20000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Grand Street Settlement, Inc.",NORC,135562230,85557,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"HANAC, Inc.",Queensview NORC,112290832,12352,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Isabella Geriatric Center, Inc.",El Corazon NNORC,133623808,79916,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Isabella Geriatric Center, Inc.",Nursing,133623808,18430,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Isabella Geriatric Center, Inc.",River Terrace NORC,133623808,49407,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Jacob A. Riis Neighborhood Settlement, The",Queensbridge NNORC,111729398,165064,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Jewish Association for Services for the Aged (JASA),1199 Plaza NORC,132620896,108078,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Jewish Association for Services for the Aged (JASA),Cadman Towers,132620896,63211,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Jewish Association for Services for the Aged (JASA),Mutual Development Houses,132620896,64204,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Jewish Association for Services for the Aged (JASA),Roy Reuther/Far Rockaway,132620896,61759,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Jewish Community Center of Staten Island, Inc.",Stapleton NORC,135562256,96421,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Lincoln House Outreach, Inc.",,133668207,65680,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Neighborhood Housing Services of Brooklyn (Bedford-Stuyvesant) CDC, Inc.",Brooklyn Neighborhood Services NNORC,471717438,10000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Neighborhood Housing Services of Brooklyn (Bedford-Stuyvesant) CDC, Inc.",NNORC,471717438,86421,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"New Partners, Inc.",,133885148,2078463,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Phipps Neighborhoods, Inc.",Phipps PlazaWest NORC,132707665,148644,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Rochdale Village Social Services, Inc.",Rochdale Village NORC,113397470,30000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Samuel Field YM & YWHA, Inc.",NORC Without Walls (WOW),113071518,112400,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"SBH Community Service Network, Inc.",Sephardic Bikur Holim Community Service Network NORC,237406410,99384,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Shorefront NNORC,113070228,198419,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,St. Nick's Alliance Corporation,Lindsay Park NORC,510192170,40000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,"Stanley M. Isaacs Neighborhood Center, Inc.",Taft Houses,132572034,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Visiting Nurse Service of New York Home Care II,Chinatown NNORC,131624211,279264,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Information and Referral Services,Information and Referral Services,initiative_provider,,Young Women's Christian Association of Queens,NORC,200351906,96421,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,member_item,Brooklyn,"Chinese-American Association, Inc.",,113065859,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Chinese American Planning Council, Inc.",,136202692,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Council of Peoples Organization, Inc.",,753046891,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Homecrest Community Services, Inc.",,113373115,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"India Home, Inc.",,208747291,75000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Korean American Senior Citizens Society of Greater New York, Inc.",,112455396,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Merrill Park Civic Association of Springfield Gardens, Inc.",,112304928,75000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Salvation Army, The",,135562351,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,South Asian Council for Social Services,,113632920,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,"Vision Urbana, Inc.",,133848575,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,Older Adult Clubs for Immigrant Populations,Older Adult Clubs for Immigrant Populations,initiative_provider,,Young Women's Christian Association of Queens,,200351906,150000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"Allen Community Senior Citizens Center, Inc.",,112326244,17889,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"Bergen Beach Youth Organization, Inc.",,112598350,17298,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"BronxWorks, Inc.",Seniors Homelessness Prevention Project,133254484,201709,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,CityMeals on Wheels,,133634381,500000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,East New York Restoration Local Development Corporation,,461763706,24205,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,Emerald Isle Immigration Center,,112932528,48410,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"Find Aid for the Aged, Inc.",Project Find Coffeehouse,132666921,20000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"Fort Greene Council, Inc.",,112300840,50000,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"Greenwich House, Inc.",West Village Houses,135562204,24205,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"GRIOT Circle, Inc.",,113364328,32273,,
FY25,OLDER ADULT SERVICES,Older Adult Services,"Older Adult Clubs, Programs, and Enhancements","Older Adult Clubs, Programs, and Enhancements",initiative_provider,,"Immigrant Social Services, Inc.",Chung Pak Senior Building,132689273,52444,,
