file,line,fiscal_year,ein,organization,our_amount,verdict,nearest_disclosure_amount,delta,belongs_to_ein,org_text_merged,pdf_verdict,pdf_line,pdf_amounts,pdf_ein_lines,pdf_text
data/fy15/schedule_c/fy15_schedule_c_awards.csv,572,2015,133077049,"Neighborhood Self Help by Older Persons Project, Inc.",32000,ein_absent,,,,,pdf_confirms,3002,32000,1,"Lafayette/Boyton Lafayette NORC 13-3077049 $32,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,576,2015,135654450,Selfhelp Community Services,234000,ein_absent,,,,,pdf_confirms,3006,234000,1,"Selfhelp Community Services - Northridge NORC 13-5654450 $234,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,578,2015,030387372,South Brooklyn Youth Consortium,79000,ein_absent,,,,,pdf_confirms,3008,79000,1,"South Brooklyn Youth Consortium – South Brooklyn Youth NORC 03-0387372 $79,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,587,2015,237378422,Stein Center Senior Center,100000,ein_absent,,,,,pdf_confirms,3052,100000,1,"Stein Center Senior Center – Stein Neighborhood Center 23-7378422 $100,000"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,611,2015,112510289,Brooklyn Economic Development Corporation,60925,ein_absent,,,,,pdf_confirms,3270,60925,1,"Brooklyn Economic Development Corporation 11-2510289 $60,925"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,619,2015,270111010,"Women Builders Council, Inc.",43950,ein_absent,,,,,pdf_confirms,3283,43950,1,"Women Builders Council, Inc. 27-0111010 $43,950"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,626,2015,113306944,Jamaica Business Resource Center,64500,ein_absent,,,,,pdf_confirms,3347,64500,1,"Jamaica Business Resource Center 11-3306944 $64,500"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,646,2015,133682471,Coalition for Asian American Children and Families,833333,neighbour_bleed,500000,333333,133573852,,pdf_confirms,3605,833333,9,"Coalition for Asian American Children and Families 13-3682471 $833,333"
data/fy15/schedule_c/fy15_schedule_c_awards.csv,648,2015,131671035,New York Urban League,833333,rounding,833334,-1,,,pdf_confirms,3607,833333,2,"New York Urban League 13-1671035 $833,333"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,14,2016,131740021,"Pamela C Torres Day Care Center, Inc.",622088,ein_absent,,,,,pdf_confirms,1892,622088,1,"Pamela C Torres Day Care Center, Inc. 13-1740021 $622,088"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,56,2016,133092676,Harlem Hospital Center,300000,ein_absent,,,,,pdf_confirms,3704,300000,1,"Harlem Hospital Center 13-3092676 $300,000"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,69,2016,133020589,Belmont Arthur Avenue Local Development Organization,29730,rounding,29729,1,,,pdf_confirms,4029,29730,1,"Belmont Arthur Avenue Local Development Organization 13-3020589 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,70,2016,113250772,Bridge Street Development Corporation,29730,rounding,29729,1,,,pdf_confirms,4030,29730,4,"Bridge Street Development Corporation 11-3250772 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,71,2016,112435523,"Brighton Neighborhood Association, Inc.",29730,rounding,29729,1,,,pdf_confirms,4031,29730,2,"Brighton Neighborhood Association, Inc. 11-2435523 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,73,2016,112652331,"Central Astoria Local Development Coalition, Inc.",29730,rounding,29729,1,,,pdf_confirms,4033,29730,7,"Central Astoria Local Development Coalition, Inc. 11-2652331 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,74,2016,132564241,"Clinton Housing Development Company, Inc. 13-2851988 * $29,730 Community League of the Heights, Inc.",29730,rounding,29729,1,,yes,pdf_confirms_weak,4035,29730,4,"Community League of the Heights, Inc. 13-2564241 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,75,2016,133311582,"El Barrio Operation Fight Back, Inc. 13-3248777 * $29,730 Eviction Intervention Services Homelessness Prevention, Inc.",29730,rounding,29729,1,,yes,pdf_confirms_weak,4037,29730,4,"Eviction Intervention Services Homelessness Prevention, Inc. 13-3311582 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,76,2016,132915659,"Good Old Lower East Side, Inc.",29730,rounding,29729,1,,,pdf_confirms,4038,29730,4,"Good Old Lower East Side, Inc. 13-2915659 $29,730"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,83,2016,133098397,Neighborhood Housing Services of East Flatbush,29731,rounding,29730,1,,,pdf_confirms,4048,29731,14,"Neighborhood Housing Services of East Flatbush 13-3098397 $29,731"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,94,2016,132735378,"Strycker's Bay Neighborhood Council, Inc. 13-1943516 * $29,730 United Jewish Council of the East Side, Inc.",29731,rounding,29730,1,,yes,pdf_confirms_weak,4062,29731,3,"United Jewish Council of the East Side, Inc. 13-2735378 $29,731"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,134,2016,133165187,"Bailey House, Inc.",125000,ein_absent,,,,,pdf_confirms,4774,125000,1,"Bailey House, Inc. 13-3165187 $125,000"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,170,2016,133780848,New Yorkers Against Gun Violence,30000,ein_absent,,,,,pdf_confirms,5261,30000,1,"New Yorkers Against Gun Violence 13-3780848 $30,000"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,233,2016,111839567,Lutheran Family Health Center's Family Support Center,95000,ein_absent,,,,,pdf_confirms,5705,95000,1,"Lutheran Family Health Center's Family Support Center 11-1839567 $95,000"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,279,2016,133573842,Hispanic Federation,1000000,ein_absent,,,,,pdf_confirms,6539,1000000,1,"Hispanic Federation 13-3573842 $1,000,000"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,314,2016,135564940,"Sheltering Arms Children and Family Services, Inc.",240800,ein_absent,,,,,pdf_confirms,6605,240800,1,"Sheltering Arms Children and Family Services, Inc. 13-5564940 $240,800"
data/fy16/schedule_c/fy16_schedule_c_awards.csv,334,2016,471912944,Fund for New York City Voter Assistance Corporation,343840,ein_absent,,,,,pdf_confirms,6739,343840,1,"Fund for New York City Voter Assistance Corporation 47-1912944 $343,840"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,7,2017,111904261,Brooklyn Public Library (BPL),175000,ein_absent,,,,,pdf_confirms,1890,175000,1,"Brooklyn Public Library (BPL) 11-1904261 $175,000"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,12,2017,111904262,Queens Public Library (QPL),175000,ein_absent,,,,,pdf_confirms,1898,175000,1,"Queens Public Library (QPL) 11-1904262 $175,000"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,16,2017,133573842,"Hispanic Federation, Inc.",983333,ein_absent,,,,,pdf_confirms,1974,983333,1,"Hispanic Federation, Inc. 13-3573842 $983,333"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,2017,112498292,"Good Old Lower East Side, Inc. 13-3311582 * $29,729 Gowanus Canal Community Development Corporation 13-2915659 * $29,729 Greater Ridgewood Restoration Corporation",29730,rounding,29729,1,,yes,pdf_confirms,4262,29730,1,"Greater Ridgewood Restoration Corporation 11-2498292 $29,730"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,209,2017,113305406,"Bronx Defenders 13-3931074 * $2,076,667 Brooklyn Defenders Services",2076666,rounding,2076667,-1,,yes,pdf_confirms_weak,4616,2076666,10,"Brooklyn Defenders Services 11-3305406 $2,076,666"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,273,2017,133165187,"Bailey House, Inc.",125000,ein_absent,,,,,pdf_confirms,5053,125000,1,"Bailey House, Inc. 13-3165187 $125,000"
data/fy17/schedule_c/fy17_schedule_c_awards.csv,300,2017,133077049,"Neighborhood Self Help by Older Persons Project, Inc.",32000,ein_absent,,,,,pdf_confirms,5418,32000,1,"Lafayette/Boyton Lafayette NORC 13-3077049 $32,000"
data/fy18/schedule_c/fy18_appendix_a_aging.csv,124,2018,116325086,.00 To support various creative aging activities and multicultural programs at the library. Vallone Friendship Club of St. Andrew Avellino,5000,ein_absent,,,,,pdf_confirms_weak,6751,5000,2,"Vallone Friendship Club of St. Andrew Avellino 116325086 $5,000.00"
data/fy18/schedule_c/fy18_appendix_a_aging.csv,331,2018,432061329,".00 The funding will provide seniors over the age of sixty who reside in the greater Clearview, Whitestone, Le Harve, Bay Terrace, Flushing Communities with a dedicated transportation service. Vacca San Gennaro Senior Center",10000,ein_absent,,,,,pdf_confirms,7798,10000,1,"Vacca San Gennaro Senior Center 432061329 $10,000.00"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,115,2018,060646594,"American Lung Association of the Northeast, Inc.",78000,ein_absent,,,,,pdf_confirms,3237,78000,1,"American Lung Association of the Northeast, Inc. 06-0646594 $78,000"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,390,2018,133077049,"Neighborhood Self Help by Older Persons Project, Inc.",32000,ein_absent,,,,,pdf_confirms,4947,32000,1,"Lafayette/Boyton Lafayette NORC 13-3077049 $32,000"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,394,2018,135654450,Selfhelp Community Services,234000,ein_absent,,,,,pdf_confirms,4951,234000,1,"Selfhelp Community Services - Northridge NORC 13-5654450 $234,000"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,423,2018,371514651,"Members Assistance Program, Inc. (MAP)",200000,ein_absent,,,,,pdf_confirms,5192,200000,1,"Members Assistance Program, Inc. (MAP) 37-1514651 $200,000"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,426,2018,133238142,Cooperative Home Care Associates,200000,ein_absent,,,,,pdf_confirms,5201,200000,1,"Cooperative Home Care Associates 13-3238142 $200,000"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,430,2018,237359002,"ARGUS Community, Inc",100000,ein_absent,,,,,pdf_confirms,5208,100000,1,"ARGUS Community, Inc 23-7359002 $100,000 Job Placement"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,433,2018,134147836,Homeless Edward J. Malloy Initiative for Construction Skills,110000,ein_absent,,,,,pdf_confirms,5216,110000,1,"Edward J. Malloy Initiative for Construction Skills 13-4147836 $110,000"
data/fy18/schedule_c/fy18_schedule_c_awards.csv,439,2018,201635756,"RV Systems, Inc. (Database)",185000,ein_absent,,,,,pdf_confirms,5231,185000,1,"RV Systems, Inc. (Database) 20-1635756 $185,000 Program data and Reporting Monitoring"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,21,2019,133251186,"Borough of Manhattan Community College Early Childhood Center, Inc.",50000,ein_absent,,,,,pdf_confirms,1665,50000,1,"Borough of Manhattan Community College Early Childhood Center, Inc. 13-3251186 $50,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,25,2019,111633509,"Central Queens YM & YWHA, Inc.",50000,ein_absent,,,,,pdf_confirms,1669,50000,4,"Central Queens YM & YWHA, Inc. 11-1633509 $50,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,166,2019,135675643,"Crime Victims Treatment Center, Inc. 81-5080860 * $45,000 Edwin Gould Services for Children and Families",45000,ein_absent,,,,yes,pdf_confirms_weak,2177,45000,4,"Edwin Gould Services for Children and Families 13-5675643 $45,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,235,2019,060646594,"American Lung Association of the Northeast, Inc.",78000,ein_absent,,,,,pdf_confirms,2789,78000,1,"American Lung Association of the Northeast, Inc. 06-0646594 $78,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,236,2019,133092676,Harlem Hospital Center,300000,ein_absent,,,,,pdf_confirms,2790,300000,1,"Harlem Hospital Center 13-3092676 $300,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,274,2019,341213000,"New York Blood Center, Inc., The",150000,ein_absent,,,,,pdf_confirms,2853,150000,1,"New York Blood Center, Inc., The 34-1213000 $150,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,304,2019,208427029,"Mount Horeb Baptist Church 11-2074467 * $10,000 Mt. Moriah AME Church",10000,ein_absent,,,,yes,pdf_confirms,2905,10000,1,"Mt. Moriah AME Church 20-8427029 $10,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,466,2019,131924182,Sloan-Kettering Institute for Cancer Research,200000,ein_absent,,,,,pdf_confirms,3575,200000,2,"Sloan-Kettering Institute for Cancer Research 13-1924182 $200,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,482,2019,901013912,CUNY School of Law Justice & Auxiliary Services Corporation,24000,ein_absent,,,,,pdf_confirms,3609,24000,13,"CUNY School of Law Justice & Auxiliary Services Corporation 90-1013912 $24,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,534,2019,500615968,"Giving Alternative Learners Uplifting Opportunities, Inc.",50000,ein_absent,,,,,pdf_confirms,3940,50000,1,"Giving Alternative Learners Uplifting Opportunities, Inc. 50-0615968 $50,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,545,2019,113442879,"New York Families for Autistic Children, Inc.",219665,ein_absent,,,,,pdf_confirms,3951,219665,2,"New York Families for Autistic Children, Inc. 11-3442879 $219,665"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,631,2019,133561567,City Parks Foundation,600000,ein_absent,,,,,pdf_confirms,4234,600000,1,"City Parks Foundation 13-3561567 $600,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,736,2019,371514651,"Members Assistance Program, Inc. (MAP)",200000,ein_absent,,,,,pdf_confirms,4867,200000,1,"Members Assistance Program, Inc. (MAP) 37-1514651 $200,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,739,2019,133238142,Cooperative Home Care Associates,200000,ein_absent,,,,,pdf_confirms,4884,200000,1,"Cooperative Home Care Associates 13-3238142 $200,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,743,2019,237359002,"ARGUS Community, Inc",100000,ein_absent,,,,,pdf_confirms,4891,100000,1,"ARGUS Community, Inc 23-7359002 $100,000 Job Placement"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,744,2019,133255679,STRIVE,100000,ein_absent,,,,,pdf_confirms,4893,100000,1,"STRIVE – East Harlem Employment Services 13-3255679 $100,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,747,2019,311731465,Exodus Transitional Community,75000,ein_absent,,,,,pdf_confirms,4902,75000,1,"Exodus Transitional Community 31-1731465 $75,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,752,2019,201635756,"RV Systems, Inc. (Database)",185000,ein_absent,,,,,pdf_confirms,4915,185000,1,"RV Systems, Inc. (Database) 20-1635756 $185,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,771,2019,112841751,"Main Street Legal Services, Inc.",94000,ein_absent,,,,,pdf_confirms,5023,94000,1,"Main Street Legal Services, Inc. 11-2841751 $94,000"
data/fy19/schedule_c/fy19_schedule_c_awards.csv,789,2019,135675643,Edwin Gould Services for Children and Families,250000,ein_absent,,,,,pdf_confirms,5745,250000,4,"Edwin Gould Services for Children and Families 13-5675643 $250,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,986,2020,800361646,Van Cortlandt Park Conservancy,20000,ein_absent,,,,,pdf_confirms,4001,20000,1,"Cohen Van Cortlandt Park Conservancy 80-0361646 $20,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,1371,2020,300037735,Flushing Meadows-Corona Park Conservancy,39000,ein_absent,,,,,pdf_confirms,4919,39000,1,"Moya Flushing Meadows-Corona Park Conservancy 30-0037735 $39,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,1445,2020,133412540,"Doe Fund, Inc., The",20000,ein_absent,,,,,pdf_confirms,5040,20000,1,"Eugene Doe Fund, Inc., The 13-3412540 $20,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,1574,2020,112868878,University Hospital,50000,ein_absent,,,,,pdf_confirms,5446,50000,1,"Staten Island University Hospital 11-2868878 $50,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2154,2020,822659106,"Friends of Kivlehan Park, Inc.",10000,ein_absent,,,,,pdf_confirms,7379,10000,1,"Matteo Friends of Kivlehan Park, Inc. - Kivlehan Park 82-2659106 $10,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2175,2020,132561121,"Turtle Bay Tree Fund, Inc.",10000,ein_absent,,,,,pdf_confirms_weak,7421,10000,2,"Powers Maintenance in Neighborhood Tree Beds @ Council 13-2561121 $10,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2176,2020,113582255,"Stuyvesant Cove Park Association, Inc.",10000,ein_absent,,,,,pdf_confirms,7424,10000,1,"Powers 11-3582255 $10,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2306,2020,510204121,"Jamaica Service Program for Older Adults (JSPOA), Inc.",20000,ein_absent,,,,,pdf_confirms,7911,20000,10,"Jamaica Service Program for Older Adults (JSPOA), Inc. - Council District 28 51-0204121 $20,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2394,2020,510204121,"Jamaica Service Program for Older Adults (JSPOA), Inc.",50000,ein_absent,,,,,pdf_confirms,8056,50000,10,"Jamaica Service Program for Older Adults (JSPOA), Inc. 51-0204121 $50,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2398,2020,136206256,"Morningside Retirement and Health Services, Inc.",48620,ein_absent,,,,,pdf_confirms,8060,48620,1,"Morningside Retirement and Health Services, Inc. 13-6206256 $48,620"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2504,2020,510204121,"Jamaica Service Program for Older Adults (JSPOA), Inc.",20000,ein_absent,,,,,pdf_confirms,7911,20000,10,"Jamaica Service Program for Older Adults (JSPOA), Inc. - Council District 28 51-0204121 $20,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2505,2020,510204121,"Jamaica Service Program for Older Adults (JSPOA), Inc.",10000,ein_absent,,,,,pdf_confirms,8252,10000,10,"Jamaica Service Program for Older Adults (JSPOA), Inc. - Rockaway Blvd Center 51-0204121 $10,000"
data/fy20/schedule_c/fy20_schedule_c_awards.csv,2559,2020,112037770,"Queensborough Community College Auxiliary Enterprise Association, Inc.",10000,ein_absent,,,,,pdf_confirms,8317,10000,1,"Queensborough Community College Auxiliary Enterprise Association, Inc. 11-2037770 $10,000"
data/fy21/schedule_c/fy21_appendix_a_aging.csv,2,2021,237247809,AARP Fort Schuyler Chapter #1242,10000,ein_absent,,,,,pdf_confirms,5968,10000,1,"Gjonaj AARP Fort Schuyler Chapter #1242 237247809 $10,000 issues relevant to them."
data/fy21/schedule_c/fy21_appendix_a_aging.csv,24,2021,264164117,"Asian Community United Society, Inc.",10000,ein_absent,,,,,pdf_confirms,6017,10000,3,"Brannan Asian Community United Society, Inc. 264164117 $10,000 Funding to support Community Health Service for Seniors."
data/fy21/schedule_c/fy21_appendix_a_aging.csv,25,2021,264164117,"Asian Community United Society, Inc.",3500,ein_absent,,,,,pdf_confirms,6019,3500,3,"Yeger Asian Community United Society, Inc. 264164117 $3,500 support yoga and health classes."
data/fy21/schedule_c/fy21_appendix_a_aging.csv,26,2021,264164117,"Asian Community United Society, Inc. -Senior Outreach and Programming for Elmhurst Lunar New Year",5000,ein_absent,,,,,pdf_confirms_weak,6022,5000,3,"Dromm Programming for Elmhurst Lunar New Year 264164117 $5,000 To fund outreach and programming for seniors at Elmhurst Lunar New Year celebration."
data/fy21/schedule_c/fy21_appendix_a_aging.csv,335,2021,133413349,"Penn South Social Services, Inc.",15500,ein_absent,,,,,pdf_confirms,6850,15500,2,"Johnson Penn South Social Services, Inc. 133413349 $15,500 able to work in a traditional outdoor garden to learn about plants and flowers."
data/fy21/schedule_c/fy21_appendix_b_local.csv,24,2021,900394877,"Adams Street Foundation, Inc.",5000,ein_absent,,,,,pdf_confirms,7403,5000,1,"Levin Adams Street Foundation, Inc. 900394877 $5,000 DYCD To support overnight multi-college trip for students."
data/fy21/schedule_c/fy21_appendix_b_local.csv,35,2021,262090212,"Afrolatin@ Project, Inc., The",5000,ein_absent,,,,,pdf_confirms,7428,5000,1,"Barron Afrolatin@ Project, Inc., The - Council District 42 262090212 $5,000 DCLA Funding will support community cultural programming and events."
data/fy21/schedule_c/fy21_appendix_b_local.csv,61,2021,834167441,"Amayas Bookreads, Inc.",5000,ein_absent,,,,,pdf_confirms,7500,5000,1,"Rodriguez Amayas Bookreads, Inc. 834167441 $5,000 DYCD To cover expenses related to Read it, Grow it After School Program."
data/fy21/schedule_c/fy21_appendix_b_local.csv,131,2021,822712941,Asiyah Women's Center,7500,ein_absent,,,,,pdf_confirms,7684,7500,1,"Perkins Asiyah Women's Center - SAVE for Immigrant Women 822712941 $7,500 MOCJ Women."
data/fy21/schedule_c/fy21_appendix_b_local.csv,144,2021,264316546,"Associazione Culturale Italiana di New York, Inc.",7500,ein_absent,,,,,pdf_confirms,7712,7500,1,"Holden Associazione Culturale Italiana di New York, Inc. 264316546 $7,500 DYCD Funds to be used to support theatre rental and advertising."
data/fy21/schedule_c/fy21_appendix_b_local.csv,172,2021,112602994,Bay Ridge Community Council,5000,ein_absent,,,,,pdf_confirms,7785,5000,1,"Brannan Bay Ridge Community Council 112602994 $5,000 DYCD To fund educational and recreational activities for youth."
data/fy21/schedule_c/fy21_appendix_b_local.csv,175,2021,113372987,Bayside Business Association,5000,ein_absent,,,,,pdf_confirms,7792,5000,1,"Vallone Bayside Business Association 113372987 $5,000 SBS educating (workshops/seminars) and organizing the businesses of Bayside."
data/fy21/schedule_c/fy21_appendix_b_local.csv,307,2021,274620010,Brooklyn Alliance of Neighborhood Gardens Land Trust,3500,ein_absent,,,,,pdf_confirms,8121,3500,2,"Lander Brooklyn Alliance of Neighborhood Gardens Land Trust 274620010 $3,500 DYCD maintenance of gardens."
data/fy21/schedule_c/fy21_appendix_b_local.csv,308,2021,274620010,Brooklyn Alliance of Neighborhood Gardens Land Trust,2000,ein_absent,,,,,pdf_confirms,8124,2000,2,"Levin Brooklyn Alliance of Neighborhood Gardens Land Trust 274620010 $2,000 DYCD public use of the gardens, as well as general operating expenses."
data/fy21/schedule_c/fy21_appendix_b_local.csv,382,2021,261422585,"Brothers Care, Inc.",5000,ein_absent,,,,,pdf_confirms_weak,8316,5000,2,"Rose Day Free Street Fair 261422585 $5,000 DYCD running the annual West Brighton Harmony Day event."
data/fy21/schedule_c/fy21_appendix_b_local.csv,383,2021,261422585,"Brothers Care, Inc.",5000,ein_absent,,,,,pdf_confirms_weak,8316,5000,2,"Rose Day Free Street Fair 261422585 $5,000 DYCD running the annual West Brighton Harmony Day event."
data/fy21/schedule_c/fy21_appendix_b_local.csv,411,2021,112903423,"Caribbean American Chamber of Commerce and Industry, Inc.",5000,ein_absent,,,,,pdf_confirms_weak,537,5000,4,"Eugene Council District 40 112903423 $5,000 SBS training/information sessions."
data/fy21/schedule_c/fy21_appendix_b_local.csv,458,2021,135645885,Center for New York City Law at New York Law School,35400,ein_absent,,,,,pdf_confirms,8509,35400,1,"Adams CUNY School of Law - Legal Services - Council District 28 135645885 $35,400 DYCD To support legal services including information and consultations in Coun"
data/fy21/schedule_c/fy21_appendix_b_local.csv,539,2021,452978709,"Cidadao Global, Global Citizen, Inc.",5000,ein_absent,,,,,pdf_confirms,8721,5000,1,"Van Bramer Cidadao Global, Global Citizen, Inc. 452978709 $5,000 DSS/HRA immigrants."
data/fy21/schedule_c/fy21_appendix_b_local.csv,640,2021,831205784,Community Capacity Development,5500,ein_absent,,,,,pdf_confirms,8991,5500,1,"Louis Community Capacity Development - Council District 45 831205784 $5,500 DYCD support for community-based organizations within the 45 Council District."
data/fy21/schedule_c/fy21_appendix_b_local.csv,711,2021,113635991,"Cultural Collaborative Jamaica, Inc.",7500,ein_absent,,,,,pdf_confirms,9183,7500,1,"Miller Cultural Collaborative Jamaica, Inc. 113635991 $7,500 DYCD Funding will cover administrative and artist fees, equipment and supplies."
data/fy21/schedule_c/fy21_appendix_b_local.csv,914,2021,464636329,"Do You Enlightenment and Cultural Empowerment Services, Inc.",5000,ein_absent,,,,,pdf_confirms,9632,5000,1,"Ampry-Samuel Services, Inc. 464636329 $5,000 DYCD Course."
data/fy21/schedule_c/fy21_appendix_b_local.csv,924,2021,824767340,"Dorill Initiative, Inc.",5000,ein_absent,,,,,pdf_confirms,9666,5000,1,"Rivera Dorill Initiative, Inc. 824767340 $5,000 DYCD Funding will support Dorill Initiative's programming and operations."
data/fy21/schedule_c/fy21_appendix_b_local.csv,937,2021,112806214,"Dutch Kills Civic Association, Inc.",6800,ein_absent,,,,,pdf_confirms,9703,6800,1,"Van Bramer Dutch Kills Civic Association, Inc. 112806214 $6,800 DYCD opportunities and services available to constituents in Dutch Kills."
data/fy21/schedule_c/fy21_appendix_b_local.csv,939,2021,133202305,Dyckman Resident Association,5000,ein_absent,,,,,pdf_confirms,9709,5000,1,"Rodriguez Dyckman Resident Association 133202305 $5,000 DYCD and trainings."
data/fy21/schedule_c/fy21_appendix_b_local.csv,947,2021,824418780,"East New York 4 Gardens, Inc.",5000,ein_absent,,,,,pdf_confirms,9726,5000,1,"Barron East New York 4 Gardens, Inc. - Council District 42 824418780 $5,000 DYCD programming in Council District 42."
data/fy21/schedule_c/fy21_appendix_b_local.csv,965,2021,814449558,"Educators for Student Success Association, Inc.",5000,ein_absent,,,,,pdf_confirms,9769,5000,1,"Ayala Scholars program 814449558 $5,000 DYCD and career readiness."
