item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
11,Department of Correction,072,002; 003,2,"December 31, 2021; January 1, 2022; January 15, 2022; July 1, 2021; July 15, 2022; June 30, 2022","July 1, 2021 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction (“DOC”) shall provide semi -annual headcount reports to the Council detailing the number of uniform officers that perform duties that do not require uniformed expertise and are traditionally and primarily performed by civilian perso nnel. Such reports shall be disaggregated by rank, and shall include the salary range, average salary, and title of the civilian positions in which the uniformed officers are working. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2022 and shall cover the period beginning July 1, 2021 and ending December 31, 2021. The second report shall be submitted on or before July 15, 2022 and shall cover the period beginning January 1, 2022 and ending June 30, 2022."
12,Department of Correction,072,001; 002; 003; 004,4,"October 15, 2021",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, and 004, the Department of Correction (“DOC”) shall submit to the Council, no later than October 15, 2021, a report detailing the demographics of uniformed personnel, including gender, race and ethnicity. Such information shall be disaggregated by rank, gender, race and ethnicity."
13,Department of Education,040,436,1,"September 30, 2021",,"As a condition of the funds in unit of appropriation number 436, the Department of Education (“DOE”) shall submit to the Council, no later than September 30, 2021, an annual report on the New York City School Support Services ( “NYCSSS”) budget for Fiscal 2022, including a headcount breakdown disaggregated by title, full -time staff, and part-time staff. T he DOE shall provide a breakdown of the budget by the following categories: regular school day, emergency work, extended use, administration, spending and headcount, as well as building -based custodial budgets. In addition, the DOE shall provide a breakdown of the budget by the following categories: contractually-mandated, program-related, need-based, and fringe."
14,Department of Education,040,436; Budget Line E2364 and E2365 – All Projects,2,"December 31, 2021; January 1, 2022; January 31, 2022; July 1, 2021; July 31, 2022; June 30, 2022","July 1, 2021 to December 31","As a condition of the funds in unit of appropriation number 436 and budget lines E2364 and E2365, the Department of Education (“DOE”) and the School Construction Authority (“SCA”) shall submit to the Council semi -annual reports regarding the installation and re placement of air conditioners. Such report shall provide the following information for each school (identified by name and DBN): 1) if the school has central air conditioning, whether it is functioning or nonfunctioning; 2) the total number of classrooms, auditoriums, gyms, and other instructional spaces broken down by type, disaggregated by those spaces with functioning air conditioners, nonfunctioning air conditioners, and no air conditioner; 3) for each such space with a non-functioning air conditioner or without an air conditioner, a schedule and estimated cost for replacement or installation of air conditioners; 4) the number of instructional spaces that require electrical upgrades in order to make air conditioning installations; 5) the estimated cost of each electrical upgrade project; 6) total actual spending, both expense and capital as well as a list of all completed capital projects in the prior year; and 7) list all installation and replacement projects begun and completed during the reporting period, as well as an explanation of the process or criteria by which those schools and classrooms were prioritized. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than January 31, 2022 and shall cover the period beginning July 1, 2021 and ending December 31, 2021. The second report shall be submitted no later than July 31, 2022 and shall cover the period beginning January 1, 2022 and ending June 30, 2022."
15,Department of Education,040,436,1,"December 31, 2021",,"As a condition of the funds in unit of appropriation number 436, the Department of Education (“DOE”) shall submit to the Council, no later than December 31, 2021, a report by school building detailing the number and type of science laboratories av ailable, disaggregated by type, such as STEAM/STEM, demonstration, full, and other science laboratories."
16,Department of Education,040,401; 402; 403; 404; 415; 416; 453; 454; 481; 482,10,"January 31, 2022",,"As a condition of the funds in unit of appropriation numbers 401, 402, 403, 404, 415, 416, 453, 454, 481, and 482, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2022, a list of every community school, including the school name and DBN, as well as a list of the community school core programs with the budgeted amount for such core programs for each school. Such report shall be disaggregated by services provided by the DOE and those provided through a contracted community-based organization."
17,Department of Education,040,436,1,"August 1, 2022; December 31, 2021; January 1, 2022; July 1, 2021; June 30, 2022; March 1, 2022","July 1, 2021 to December 31","As a condition of the funds in unit of appropriation number 436, the Department of Education (""DOE"") shall submit semi -annual reports to the Council regarding charter matching projects, including a list of all charter matching projects and the amount spent on e ach project, with a breakdown of expense and capital spending. For any charters where the school's expenditures and the DOE's match obligation do not match, DOE shall provide an explanation as to why it does not. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than March 1, 2022 and shall cover the period beginning July 1, 2021 and ending December 31, 2021. The second report shall be submitted no later than August 1, 2022 and shall cover the period beginning January 1, 2022 and ending June 30, 2022."
18,Department of Education,040,406; 444,2,"January 31, 2022",,"As a condition of the funds in unit of appropriation numbers 406 and 444, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2022, a report on the number of leases held by DOE and by a charter school for which the charter school is paid a lease subsidy by DOE. For each lease held by DOE, such report shall include: 1) the building identification code; 2) the address; 3) the start and end dates of the lease; 4) the annual cost of the lease; 5) the occupant of the leased space; 6) the budget code; 7) the building use; and 8) actual spending per lease in Fiscal 2022. For each lease held by a charter school for which the charter school is paid a lease subsidy by DOE. The report shall include, for each building: 1) the names of the charter school and charter operator; 2) the address; 3) the start and end dates of the lease, 4) the annual cost of the charter school's lease for the current fiscal year; 5) the annual cost of the lease DOE is obligated to pay for; 6) the total lease payments from DOE to date; 7) the projected total lease payments from DOE; 8) the per pupil cost of the lease to DOE; and 9) the owner of the property the charter school is leasing from."
19,Department of Education,040,401; 403; 407; 409; 415; 481,6,"March 15, 2022; November 15, 2021",,"As a condition of the funds in unit of appropriation numbers 401, 403, 407, 409, 415, and 481, the Department of Education (“DOE”) shall submit semi-annual headcount reports to the Council that lists school-based staff by title and Borough Field Support Center-based staff by title. Additionally, DOE must report on staff by title for all pre -kindergarten staff in DOE facilities and non -DOE facilities. DOE must also report on the total number of school nurses and identify how many of these nurses are funded b y the DOE, how many are contracted through DOE, and how many are funded by the Department of Health and Mental Hygiene (“DOHMH”). DOE must also report on the total number of school based social workers funded centrally , as well as the total number of social workers hired by individual schools. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than November 15, 2021 and the second report shall be submitted no later than March 15, 2022."
20,Department of Education,040,406,1,"December 1, 2021; June 1, 2022",,"As a condition of the funds in unit of appropriation number 406, the Department of Education (“DOE”) shall submit to the Council a semi -annual list detailing the total number of charter schools, listed by name and addre ss, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi-annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year -end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. The first list shall be submitted no la ter than December 1, 2021 and the second list shall be submitted no later than June 1, 2022."
21,Department of Education,040,All,1,,,"As a condition of the funds in all the units of appropriation associated with the Department of Education (“DOE”), the DOE shall issue the Financial Status Reports for the following dates: FINANCIAL STATUS REPORT REPORT CONTENT ISSUE DATE ANTICIPATED MEETING DATE SEPTEMBER 2022 FY 2022 FSROpening Condition October 2nd October 27th OCTOBER 2022 FY 2021 Year-End Close November 5th December 3rd DECEMBER 2022 FY 2021 FSR Update; FY 2022 November Plan Summary December 8th January 14th FEBRUARY 2022 FY 2022 FSR Update, including Fiscal Analysis; FY 2023 Preliminary Budget Summary February 11th March 11th MARCH 2021 FY 2022 FSR Update, including Fiscal Analysis; FY 2023 Preliminary Budget Summary April 8th May 6th MAY 2022 FY2022 FSR Update, including Fiscal Analysis; FY 2023 Executive Budget Summary May 24th June 15th"
22,Department of Education,040,481,1,"June 30, 2022",,"As a condition of the funds in unit of appropriation number 481, the Department of Education (“DOE”) shall submit to the Council, no later than June 30, 2022, an annual report on adult literacy programs offered directly by, or pursuant to a contract with the City. Such report shall include: 1) the number of adult literacy programs offered, disaggregated by those issued directly by the Department of Education DOE and those provided pursuant to contract; 2) the number of applicants who applied to such programs; 3) the total number of enrolled students in such programs; 4) the average retention for such programs; and 5) student outcomes of such programs."
23,Department of Education,040,438,1,"December 31, 2021; January 1, 2022; January 15, 2022; July 15, 2022; June 30, 2022; September 1, 2021","September 1, 2021 and e nding December 31, 2021. The second report shall be submitted no later than July 15, 2022 and shall cover the period beginning January 1, 2022 to June 30","As a conditi on of the funds in unit of appropriation number 438, the Department of Education (“DOE”) shall submit to the Council semi-annual reports on busing provided for students living in shelters. Such reports shall detail the number of students who have been routed and a snapshot of the number of students who are waiting to be routed. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2022 and shall cover the period beginning September 1, 2021 and e nding December 31, 2021. The second report shall be submitted no later than July 15, 2022 and shall cover the period beginning January 1, 2022 and ending June 30, 2022."
24,Department of Education,040,407; 408; 409; 410; 470,5,"February 28, 2022; May 24, 2022",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education (“DOE”) shall submit to the Council a semi-annual report on Universal Prekindergarten, 3K for All, and Early Childhood Education enrollment disaggregated by school district and program detailing the number of students enrolled in each full -day program broken down by special education and non-special education students, the number of students enrolled in each half -day program by special education and non -special education students, and the total capacity of each facility. The first report shall be submitted no later than February 28, 2022 and include preliminary enrollment data. The second semi report shall be submitted no later than May 24, 2022 and include final enrollment data."
25,Department of Education,040,439; 440,2,"April 1, 2022; February 15, 2022",,"As a condition of the funds in unit of appropriation numbers 439 and 440, the Department of Education (“DOE”) shall submit to the Council, no later than April 1, 2022, a report detailing, for each school: 1) the total number of breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria; 2) the total number of lunches served disaggregated by traditional, halal, and kosher meals; 3) the total number of summer meals served; 4) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form; and 5) the participation rates – average meals per dayfor breakfast, lunch, and summer meals. In addition, the report must provide: 6) the total average cost per meal for breakfasts served disaggregated between those served in the cafeteria and those not served in the cafeteria ; 7) the total average cost per meal for lunches served disaggregated by traditional, halal, and kosher meals; and 8) the total average cost per summer meal served. Additionally, such report shall include: 1) the number of grab and go meals served during the COVID -19 pandemic, broken out by meals served to children and meals served to adults; 2) the total number of kosher and halal meals served disaggregated by child and adult meals; and 3) the total average cost per such meals. Department of Education (40) Unit of Appropriation [401] Unit of Appropriation [402] As a condition of the funds in unit of appropriation numbers 401 and 402, the Department of Education (“DOE”) shall issue a new School Allocation Memoranda ( “SAM”) that provides a breakdown of where new funding was added to the Fiscal 2022 Adopted Budget to address class size was distributed, broken down by school. The DOE shall also submit to the Council, no later than February 15, 2022, a report on the class size reduction program for the 2021 -2022 academic year. For funding appropriated specifically for class size reduction, such report shall show the number of teachers hired and the difference in class size from school year 2019 -2020 to school year 2021-2022 for each school funded and identified in the class size reduction SAM."
26,Department of Education,040,401; 402; 481; 482,4,"November 1, 2021",,"As a condition of the funds in unit of appropriation numbers 401, 402, 481 and 482, the Department of Education (“DOE”) shall submit to the Council, no later than November 1, 2021, a report on the Public Schools Athletic League summer enrollment and attendance, disaggregated by school district, student grade level, and by special education and non-special education students."
27,Department of Environmental Protection,826,002; 004; 200,3,,,Department of Housing Preservation and Development Unit of Appropriation [012]
28,Department of Information Technology and Telecommunications,858,010; 002; 006; 002; 003; 006; 103; 104; 002,9,"March 15, 2022; September 15, 2021",,"As a condition of funds in unit of appropriation numbers 002 and 004 in the Department of Environmental Protection’s (“DEP”) budget, unit of appropriation number 200 the Department of Homeless Services’ (“DHS”) budget, unit of appropriation number 012 in t he Department of Housing Preservation and Development (“HPD”), unit of appropriation number 010 in the Department of Information Technology and Telecommunications’ budget (“DoITT”), unit of appropriation numbers 002 and 006 in the Department of Parks and Recreation’s (“DPR”) budget, unit of appropriation number 006 in the Department of Small Business Services’ (“SBS”) budget, unit of appropriation number 103 in the Department of Social Services’ (“DSS”) budget, unit of appropriation numbers 002 and 003 in the Department of Probation’s (“DOP”) budget, unit of appropriation number 104 in the Department of Transportation’s (“DOT”) budget, and unit of appropriation number 002 in the Miscellaneous Budget, DEP, DHS, HPD, DoITT, DPR, SBS, DOP, DOT, and the Human Resources Administration (“HRA”) shall submit semi-annual reports detailing the total budget and headcount with the total number of staff associated with the New York City Cleanup Corps (""CCC""), disaggregated by title, agency and borough. In addition, t he reports shall include the other than personal services budget for CCC, and a description of the locations and boroughs served, including where possible the locations and/or sites where these services were provided, disaggregated by borough. The first report shall be submitted no later than September 15, 2021, and the second report shall be submitted no later than March 15, 2022."
29,Department of Finance,836,001; 011,2,"April 1, 2021; March 31, 2022; May 1, 2022","April 1, 2021 to on March 31","As a condition of the funds in unit of appropriation numbers 001 and 011, the Department of Finance (“DOF”) shall submit to the Council, no later than May 1, 2022, an annual report detailing the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions or business tax exemptions, whichever is applicable. Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such recommendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; the number and nature of inquiries referred to the Taxpayer Advocate by 311. Such report shall cover the period beginning April 1, 2021 and ending on March 31, 2022."
30,Department of Health and Mental Hygiene,816,102; 112,2,"April 1, 2021; April 15, 2022; March 31, 2022",,"As a condition of the funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council, no later than April 15, 2022, a report detailing the wait times for services sought in DOHMH’s clinics. The report shall provide the average wait times of services sought, disaggregated by service type, for each DOHMH clinic. Such report shall cover the period of April 1, 2021 through March 31, 2022."
31,Department of Health and Mental Hygiene,816,102; 112,2,"December 30, 2021; June 30, 2022; March 1, 2021; March 31, 2022",,"As a condition of funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council a semi -annual report detailing the number of new infections other than COVID -19. The report shall provide the number of new infections for tuberculosis, HIV/AIDS, hepatitis, and measles. Additionally, the report shall include a rate comparison for the past two years. Such reports shall cover the period of March 1, 2021 through March 31, 2022 and shall be submitted by December 30, 2021 and June 30, 2022."
32,Department of Health and Mental Hygiene,816,103; 113; 423; 424; 001,5,"April 1, 2022; August 1, 2022; December 31, 2021; February 1, 2022; January 1, 2022; July 1, 2021; June 30, 2022; March 31, 2022; May 1, 2022; November 1, 2021; October 1, 2021; September 30, 2021","July 1, 2021, to September 30","As a condition of funds in unit of appropriation numbers 103 and 113 in the Department of Health and Mental Hygiene’s (“DOHMH”) budget, unit of appropriation number s 423 and 424 in the Department of Education’s (“DOE”) budget, and unit of appropriation number 001 in the Health and Hospitals Corporation’s (“H+H”) budget, DOHMH, DOE and H+H shall submit to the Council quarterly reports identifying the number of full-time equivalent employees and contracted nurses hired by each agency, disaggregated by title if applicable, the salary range, and a listing of schools being served. These quarterly reports shall be submitted on: (i) November 1, 2021, covering the period beginning July 1, 2021, and ending September 30, 2021; (ii) February 1, 2022, covering the period beginning October 1, 2021, and ending December 31, 2021; (iii) May 1, 2022, covering the period beginning January 1, 2022, and ending March 31, 2022; and (iv) August 1, 2022, covering the period beginning April 1, 2022, and ending June 30, 2022."
33,Department of Housing Preservation and Development,806,004; 009; Budget Line HD-0009 – All Projects,3,"July 1, 2020; June 30, 2021; October 15, 2021","on July 1, 2020 to on June 30","As a condition of the funds in unit of appropriation number s 004 and 009 and budget line HD0009, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than October 15, 2021, a report detailing the number of buildings in the Article 7A program and the expenditure amou nt at each building. Such report shall cover the period beginning on July 1, 2020 and ending on June 30, 2021."
34,Department of Housing Preservation and Development,806,004; 011,2,"July 1, 2021; July 15, 2022; June 30, 2022","on July 1, 2021 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 011, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than July 15, 2022, a report on the Underlying Conditions Program. Such report shall include the number of underlying conditions issued by HPD, the address of each building to which an underlying condition was issued, and the result of each order that was issued. Such report shall cover the period beginning on July 1, 2021 and ending on June 30, 2022."
35,Department of Sanitation,827,101; 102; 103; 104; 105; 107,6,"October 15, 2021",,"As a condition of the funds in unit of appropriation numbers 101, 102, 103, 104, 105, and 107, the Department of Sanitation (“DSNY”) shall submit to the Council, no later than October 15, 2021, a report detailing the demographics of uniformed personnel, including gender and race. Such information shall be disaggregated by rank, gender, and race."
36,Department of Small Business Services,801,006,1,"December 31, 2021; January 1, 2020; January 31, 2022",,"As a condition of the funds in unit of appropriation 006 in the budget of the Department of Small Business Services (“SBS”), the Economic Development Corporation (“EDC”) shall submit to the Council an annual report regarding NYC Ferry. The annual report shall include: 1) current route map and list of routes and landings served; 2) annual ridership by routes; 3) systemwide On-Time Performance as reported by th e Operator; 4) latest demographic information available for ferry riders including percent identifying as New Yorkers; 5) the number and class of vessels currently in the NYC Ferry fleet including their passenger capacity; 6) a breakdown of city capital spending for any major facility completed in the prior year (landings, maintenance facilities, etc); 7) the total city capital spending for any vessel built or acquired in the prior year; and 8) the systemwide subsidy from the prior fiscal year. Such report shall be submitted on January 31, 2022, and except where noted shall cover the period from January 1, 2020 to December 31, 2021."
37,Department of Small Business Services,801,002,1,"January 15, 2022; July 1, 2020; June 30, 2021","on July 1, 2020 to on June 30","As a condition of the funds in unit of appropriation number 002, the Department of Small Business Services (“SBS”) shall submit to the Council, no later than January 15, 2022, a report detailing the number of small businesses served through SBS’s Commercial Lease Assistance Program, disaggregated by borough. The report shall also include a description of the various types of assistance provided to small businesses through the program. Such report shall cover the period beginning on July 1, 2020 and ending on June 30, 2021."
38,Department of Small Business Services,801,010; 011,2,"April 15, 2022; February 28, 2022; July 1, 2021","on July 1, 2021 to on February 28","As a condition of the funds in unit of appropriation numbers 010 and 011, the Department of Small Business Services (“SBS”) shall provide to the Council, no later than April 15, 2022, a report detailing the: 1) number of registrants placed at jobs; 2) zip codes in which registrants placed at jobs reside; 3) job category/job classification of job placements (direct managed hire s or selfplacement); 4) industry of job placement; and 5) average hourly wage at placement. Such report shall cover the period beginning on July 1, 2021 and ending on February 28, 2022."
39,Department of Social Services,069,105; 205,2,,,"As a condition of the funds in unit of appropriation numbers 105 and 205, the Human Resources Administration (“HRA”) and the Mayor’s Office to End Domestic and Gender -Based Violence (“ENDGBV”) shall work collaboratively to submit t o the Council a report that reflects the ENDGBV funding in its entirety including the total budget of ENDGBV, the total budget by program area, and the total headcount for ENDGBV. Such report shall be submitted within 10 days of each financial plan release."
40,Department of Youth and Community Development,260,106; 312,2,,,"As a condition of the funds in unit of appropriation numbers 106 and 312 for the Department of Youth and Community Development’s (“DYCD”) budget for 1) Summer Youth Employment Program, 2) Summer Rising, 3) Comprehensive After School NYC, 4) Beacon and 5) Cornerstone programs, DYCD shall provide, via mail or by electronic means, to all of its contract recipients literature advertising the availabil ity of the free “Grab and Go” Program offered through the Department of Education (“DOE”), and shall request the contractors to provide to participants the addresses of the closest locations at which these youth may avail themselves of these meals."
41,Fire Department,057,001; 002; 003; 004; 005; 006; 007; 008,8,"October 15, 2021",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 005, 006, 007, and 008, the Fire Department (“FDNY”) shall submit to the Council, no later than October 15, 2021, a report detailing the demographics of uniformed personnel and the demogr aphics of all Emergency Medical Services personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank or title, gender, race, and ethnicity."
42,Health and Hospitals Corporation,819,001,1,"January 31, 2022",,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council, no later than January 31, 2022, a report on budgeted and actual headcount for H+H's correctional health staff by title."
43,Health and Hospitals Corporation,819,001,1,"December 31, 2021; February 15, 2022; January 1, 2021","January 1, 2021 to on December 31","As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council, no later than February 15, 2022, a report on the hospital utilization rate of beds and the average length of stay, in total and disaggregated by hospital. Such report shall cover the period beginning January 1, 2021 and ending on December 31, 2021."
44,Health and Hospitals Corporation,819,001,1,"June 30, 2022; September 30, 2021",,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council quarterly reports identifying H+H's actual full- time headcount, disaggregated by job title grouping. Rep orts must also include variance reports against the end of June of the previous fiscal year. These quarterly reports shall be submitted no later than thirty days after the end of the previous quarter, with the first quarter ending September 30, 2021, and the last quarter ending June 30, 2022."
45,Health and Hospitals Corporation,819,001,1,,,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council quarterl y reports identifying H+H’s actual expenditures related to Test and Trace. The se quarterly reports related to Test and Trace shall be submitted within thirty-five days of each financial plan."
46,Mayoralty,002,020,1,,,"As a condition of the funds in unit of appropriation number 020, within 10 days of each financial plan release, the Office of Management and Budget (“OMB”) and the Mayor's Office of Community Mental Health will provide the Council with an 1) updated multi-agency Thrive NYC Program Budget reflecting the budget in each initiative in each year of the financial plan, and 2) updated City headcount budget by agency and Thrive NYC Program. Such report shall be provided in excel and PDF format."
47,Mayoralty,002,050; 051,2,"March 15, 2022; September 15, 2021",,"As a condition of the funds in unit of appropriation numbers 050 and 051, the Criminal Justice Coordinator (“CJC”) shall submit to the Council semi-annual reports detailing the total budget and headcount with the total number of staff associated with the Office of Special Enforcement (“OSE”), disaggregated by title and agency. In addition, the reports shall include the other than personal services budget for the OSE. The first report shall be submitte d no later than September 15, 2021, and the second report shall be submitted no later than March 15, 2022."
48,Mayoralty,002,090; 091,2,,,"As a condition of the funds in unit of appropriation numbers 090 and 091 , the Mayor's Office of Contract Services (“MOCS”) shall include in the report required by Local Law 18 of 2012 the number of bidders to each original contract."
