member,organization,program,ein,amount,agency,purpose
Adams,"A Better Jamaica, Inc.",,113804421,5000,DCLA,Funds will support expenses for outdoor film screenings in Council District 28. Page 30 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Brooks-Powers,"A Better Jamaica, Inc.",,113804421,5000,DCLA,Funding to support Arts Services and programming for Council District 31 at senior centers within southeast Queens.
Gennaro,"A Better Jamaica, Inc.",Classic Film Fridays,113804421,5000,DCLA,"Funding will go to ""Classic Film Fridays"" for summer movie series. Funds will be used for exhibition licenses, marketing costs, and staff costs."
Miller,"A Better Jamaica, Inc.",Family Movies in the Park,113804421,5000,DCLA,Funds to support expenses related to presenting family-friendly movies at Jamaica parks.
Miller,"A Better Jamaica, Inc.",Jamaica Reads,113804421,10000,DCLA,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program.
Perkins,"Aaron Davis Hall, Inc.",Education Program,133166308,10000,DCLA,Fund will support Aaron Davis Hall Education Program.
Rodriguez,"ABADA-Capoeira Bronx Arts, Inc.",,814401281,5000,DYCD,To support general programming expenses.
Levin,"Actors Fund of America, The",Arts Center,131635251,3000,DCLA,"To support the Actors Fund Arts Center, a community resource and affordable performance venue for small, emerging and culturally-specific Brooklyn-based artists and arts groups."
Treyger,ACTS Community Development Corporation,Coney Island Lighthouse Mission,010679652,5000,DYCD,"Funding will be used to defray operating expenses and programs including a food pantry, benefits enrollment program, afterschool program for children, health services and free income tax preparation."
Dromm,Adhikaar for Human Rights and Social Justice,Services to Immigrants,203384725,7000,DYCD,"To fund immigration services, adult literacy classes, and programming expansion due to increased caseloads in response to COVID-19."
Kallos,"Advocates for Children of New York, Inc.",,112247307,2500,DYCD,"To supports the Jill Chaifetz Helpline which provides information about the policies, programs and practices of the Department of Education and its schools."
Ayala,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,DYCD,"To provide funding for the Jill Chaifetz Education Helpline, which assists parents and guardians with school-related issues."
Chin,"Advocates for Children of New York, Inc.",Jill Chaifetz Education Helpline,112247307,5000,DYCD,Funding will support the Jill Chaifetz Education Helpline.
Cornegy,"African American Planning Commission, Inc.",Domestic Violence Services,113305070,5000,MOCJ,"Funding will be used to support Domestic Violence programming and services, including case management, crisis intervention and legal services/assistance."
Rose,"African Refuge, Inc.",Drop In Center,010873188,18500,DYCD,"Funds will support the administrative, staffing and operational costs associated with providing drop-in support and advocacy services for low-income communities on the North Shore."
Kallos,"African Services Committee, Inc.",Adult Literacy Program,133749744,2500,DYCD,Funds will support the Adult Literacy Program.
Cumbo,"African Voices Communications, Inc.",Artistic Programs,133687018,5000,DCLA,Funding for general operating support to provide artistic programs for low-income and fixed income residents in Brooklyn.
Louis,"African Voices Communications, Inc.",Council District 45,133687018,6000,DCLA,Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45.
Perkins,"African Voices Communications, Inc.",Get Your Read On & Reel Sisters,133687018,5000,DCLA,Funding to support Get Your Read On & Reel Sisters programming for persons residing from Council District 9.
Gibson,"Afro-Latin Jazz Alliance of New York, Inc.",Music Residency Program - Council District 16,453665976,5000,DCLA,Funding to support Afro Latin Jazz Academy of Music Residency program in Council District 16.
Reynoso,"Afro-Latin Jazz Alliance of New York, Inc.",Public School 120K,453665976,5000,DCLA,"Funding to support Afro Latin Jazz Academy of Music Residency program at P.S. 120K. CD48 Agudath Israel of America Community Services, Inc."
,"Funding to support Afro Latin Jazz Academy of Music Residency program at P.S. 120K. CD48 Agudath Israel of America Community Services, Inc.",,133975090,10000,DYCD,"Funding to support education, career counseling and job services, family support, social services, legal needs and referrals to unemployed or under employed individuals. Page 31 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Levine,"Agudath Israel of America Community Services, Inc.",Adult Literacy - ESL,133975090,3500,DYCD,"Funding for career counseling, job services for unemployed and underemployed individuals, pre-employment counseling, literacy, and skills training."
Louis,"Agudath Israel of America Community Services, Inc.",Brookdale Neighborhood Center,133975090,5000,DYCD,Funds will support programming at Brookdale Neighborhood Center.
Gennaro,"Agudath Israel of America Community Services, Inc.",COPE Program,133975090,9000,DYCD,"Funding to provide education, career counseling, and job services for unemployed and underemployed individuals, many of whom are low income. Services will include pre- employment counseling, literacy, and skills training."
Chin,"AIDS Service Center of Lower Manhattan, Inc.",,133562071,5000,DHMH,Funding to provide staff support for a dedicated Peer Health Coach.
Johnson,"AIDS Service Center of Lower Manhattan, Inc.",,133562071,5000,DHMH,Funding to support End the Epidemic project list to continue supporting the Alliance’s HIV Prevention Network.
Rivera,"AIDS Service Center of Lower Manhattan, Inc.",Alliance for Positive Change,133562071,5000,DHMH,Funds will support Alliance for Positive Change's programs and operations.
Riley,"AIMHigh Empowerment Institute, Inc.",,813143733,40000,DYCD,"Funds to be used to operate the AIMHigh Empowerment Institute, The Epic Impact Program, College Fair, & the Student Empowerment Symposium. CD22 AKTINA Productions, Inc. - Greek Radio Program"
,"Funds to be used to operate the AIMHigh Empowerment Institute, The Epic Impact Program, College Fair, & the Student Empowerment Symposium. CD22 AKTINA Productions, Inc.",Greek Radio Program,113220961,14000,DOITT,Funds will be used to support radio programming promoting Greek culture in NYC.
Gjonaj,Albanian & American Open Hand Association,,464607518,10000,DYCD,"Funds will be used to distribute food and clothing, and administrative expenses."
Eugene,"Allama Iqbal community center, Inc.",,273612001,30000,DYCD,"To support community services,immigration general informations,hand out pamphlets for awarance , arranage culltural events and recraction events ,bilingual classes in Urdu and Hindi ,counseling , and COMPASS."
Gennaro,"Allen Community Senior Citizens Center, Inc.",Shelton Houses,112326244,3000,DFTA,Funding will support operational costs associated with transportation and activities for the senior center at Shelton Houses.
Vallone,"Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,25000,DCLA,
The,"funding will be used to cover the various costs associated with implementing APECs educational programs. Speaker Treyger Alliance for Coney Island, Inc.",,460802042,125000,DYCD,Funds will be used to support cultural events and workforce recruitment events.
Treyger,"Alliance for Coney Island, Inc.",Holiday Lighting & Gift Giveaway,460802042,30000,DYCD,Funds will used to install holiday lighting in Coney Island and to support a holiday gift giveaway event for children in need.
Gennaro,Alliance Of Bukharian Americans,,820806280,10000,DYCD,"To cover the cost of running free resource hotline, assisting community with needs related to education & youth health including drug awareness & abuse, housing issues, adult services & food related services, & hosting community seminars in CD 24."
Ulrich,Alliance Of Bukharian Americans,,820806280,7500,DYCD,"Funds will be used for services to the Bukharian American community including health, housing, food related services and community seminars and events."
Johnson,"Alliance of Resident Theatres/New York, Inc.",,132768583,5000,DCLA,Funding to support programming expenses with an emphasis on three new initiatives addressing equity and access for under-represented artists and audiences.
Cumbo,"Alliance of Resident Theatres/New York, Inc.",Access A.R.T./New York Program,132768583,3000,DCLA,"Funding to support the Access A.R.T./New York program, which provides nonprofit theaters with tools to help them reach and serve more physically and developmentally disabled and neuro-diverse individuals."
Holden,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Memorial Day Parade,383853340,5000,DYCD,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies. Page 32 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Levin,"Alonzo A. Daughtry Memorial Day Care Center, Inc.",,112248164,5000,ACS,Funding to support enhanced child care programming for children attending the Alonzo Daughtry Day Care program.
Rosenthal,"Alvin Ailey Dance Foundation, Inc.",Public School Dance Programs,132584273,5000,DCLA,Funds support Alvin Ailey dance programs in Council District 6 public schools.
Koo,Alzheimers Disease and Related Disorders Association,"New York City, Inc. - Medic Alert Program",133277408,5000,DFTA,"To provide for the enrollment of individuals in Council District 20 into Medic Alert, which allows for the safe return of individuals with memory disorders to their home. CD48 American Brotherhood for the Russian Disabled, Inc."
,"To provide for the enrollment of individuals in Council District 20 into Medic Alert, which allows for the safe return of individuals with memory disorders to their home. CD48 American Brotherhood for the Russian Disabled, Inc.",,113314347,5000,DYCD,"Funding to support workshops, excursions and meetings for disabled individuals."
Treyger,"American Brotherhood for the Russian Disabled, Inc.",,113314347,3000,DYCD,"Funding to support workshops, excursions and meetings for disabled individuals."
Eugene,"American Council Of Minority Women, Inc.",,270861591,15000,DHMH,"To support the breast cancer screening program, with funding supporting the cost associated with the operation of the Mobile Care Clinic. Funding will also support community outreach and navigation."
Eugene,American-Italian Cancer Foundation,,133035711,5000,DYCD,Funding will support the American-Italian Cancer Foundation’s (AICF) Breast Cancer Outreach and Patient Navigation Program which brings medically under-served NYC women into screening.
Kallos,American-Italian Cancer Foundation,,133035711,10000,DHMH,"To support no-cost breast cancer screening and education services on a Mobile Care Clinic on at least 4 occasions at locations in City Council District 5 including but not limited to NYCHA developments, senior and community centers, and publicly noticed."
Rosenthal,American-Italian Cancer Foundation,,133035711,5000,DHMH,Funds support free breast cancer screening outreach and patient navigation for Council District 6 residents.
Ulrich,American-Italian Cancer Foundation,,133035711,5000,DHMH,Funds will be used to support the free breast cancer screening program.
Grodenchik,American-Italian Cancer Foundation,Breast Cancer Screening,133035711,4000,DHMH,To help fund No-cost Breast Cancer Screening program in Council District 23.
Brannan,American-Italian Cancer Foundation,Cancer Outreach - Council District 43,133035711,4000,DHMH,Funding will support Cancer Outreach program in Council District 43.
Powers,American-Italian Cancer Foundation,Free Mammograms & Clinical Breast Exams,133035711,2500,DHMH,Funding will support free mammograms and clinical breast exams for economically disadvantaged women in Council District 4.
Cornegy,"Amida Care, Inc.",,134154068,5000,DHMH,"Funds will be used to promote events; secure the services of instructors, facilitators, and other experts to lead events; provide healthy refreshments and meals for participants; pay for event-related supplies; and to pay for venue space when needed."
Kallos,"Amigos Del Museo Del Barrio, Inc.",,237156720,3000,DCLA,"To support Making Connections, an extensive bilingual partnership program that focuses on schools and community organizations and artist-in-residency programs including visits to El Museo by schools in Council District 5."
Powers,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,Funding will support El Museo's bilingual partnership program at a school in Council District 4.
Ayala,"Amigos Del Museo Del Barrio, Inc.",Community Engagement & Programming - Council District 8,237156720,5000,DCLA,To provide funding for El Museo's local community engagement and educational initiatives.
Gennaro,"Amudim Community Resources, Inc.",,470984801,5000,MOCJ,"Funding will help cover the cost of an additional case manager who will provide services to individuals/family units; providing comprehensive case management for issues relating to drugs, mental health and sexual abuse."
Kallos,Animal Care and Control of New York City,,133788986,2000,DHMH,"Funds to be used for mobile adoption events, publicly noticed through Council District 5 monthly newsletter and website."
Louis,Animal Care and Control of New York City,,133788986,2500,DHMH,Funds will support various services/programs of the ACC. Page 33 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Moya,Animal Care and Control of New York City,,133788986,20000,DHMH,"Funding to support spay and neuter clinics, vaccination clinics, and adoption events in Council District 21."
Holden,Animal Care and Control of New York City,Community Pet Care Program,133788986,10000,DHMH,"Funds to be used for adoption events, animal rescue, wellness clinics and spay/neuter in Council District 30."
Gjonaj,Animal Care and Control of New York City,Community Pets,133788986,10000,DHMH,"Funds to be used for mobile adoption, wellness clinics, spay/neuter and microchip events in Council District 13."
Vallone,Animal Care and Control of New York City,Surrender Prevention & Community Pets,133788986,7500,DHMH,Funding will support ACC and the community pets program.
Johnson,Animal Care and Control of New York City,Surrender Prevention Program,133788986,5000,DHMH,Funding to support the Surrender Prevention program which provides residents with free one-on-one education and resources.
Chin,"Anne Frank Center USA, Inc., The",,132991719,5000,DCLA,To support historical educational programs for students and adults.
Lander,Annual Gowanus Artists Studio Tour,,753192120,5000,DYCD,"Funding to support outreach and online presence to promote art events and support artists in Gowanus including the Arts Gowanus ArtWalk on Atlantic Avenue. CD22 Ansob Center for Refugees, Inc. - Immigration Legal Services"
,"Funding to support outreach and online presence to promote art events and support artists in Gowanus including the Arts Gowanus ArtWalk on Atlantic Avenue. CD22 Ansob Center for Refugees, Inc.",Immigration Legal Services,113534833,25000,DYCD,Funding will be used to provide counseling to immigrant and refugee communities in Council District 22.
Moya,Antioch Bible Institute,,311714800,5000,DYCD,"Funding to support community outreach, youth services, and elderly services."
Chin,APICHA Community Health Center,,133706365,5000,DHMH,"To support the provision of comprehensive health services, and specifically to support staff to conduct community health education."
Rivera,APICHA Community Health Center,,133706365,5000,DHMH,Funds will support Apicha's programs and operations.
Dromm,APICHA Community Health Center,Community Health,133706365,5000,DHMH,To support the provision of comprehensive health services and specifically to support staff to conduct community health education.
Levine,APICHA Community Health Center,Community Outreach,133706365,3500,DHMH,To fund community outreach and public health programming and services.
Treyger,"Apna Brooklyn Community Center, Inc.",,820706930,5000,DYCD,"Funding to support social services, including benefits navigation, workforce development, digital literacy, and food distribution, with an emphasis on serving the South Asian community of Council District 47."
Levine,"Apollo Theater Foundation, Inc.",Education Programs,133630066,3500,DCLA,"Funding for art and mentorship programs for K-12 students, families, community partners, and educators."
Perkins,"Apollo Theater Foundation, Inc.",Education Programs,133630066,7500,DCLA,Funds will support Apollo Theater Education Programs.
Brannan,"Arab American Association of New York, Inc.",,113604756,7500,DYCD,Funding will be used to support costs associated with the Arab American Bazaar.
Menchaca,"Arab American Association of New York, Inc.",Services Supporting DV Victims,113604756,25000,MOCJ,Funding to support caseworker and services dedicated to supporting DV victims.
Eugene,"Arab-American Family Support Center, Inc., The",,113167245,5000,DYCD,"Funding to support operating expenses, including staff support, educational materials/supplies, and events/activities."
Levin,"Arab-American Family Support Center, Inc., The",Adult Education and Literacy,113167245,3500,DYCD,To support the Adult Education and Literacy program.
Dromm,"Arab-American Family Support Center, Inc., The",Anti- Violence Program,113167245,5000,MOCJ,"To fund administrative costs associated with anti-violence programming and services. CD22 Arab-American Family Support Center, Inc., The - Emergency Fund"
,"To fund administrative costs associated with anti-violence programming and services. CD22 Arab-American Family Support Center, Inc., The",Emergency Fund,113167245,6000,DYCD,"Funds will be used to support the Emergency Fund which will provide food, clothing and referral services for residents of Queens."
Diaz,"Ariva, Inc.",,320028598,5000,DYCD,To provide free income tax assistance to low income individuals and families.
Johnson,"Ars Nova Theater I, Inc.",Greenwich House Night,800339038,3500,DCLA,Funding to support Greenwich House Night. Page 34 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Chin,"Art Beyond Sight, Inc.",,133477104,5000,SBS,To support community training sessions in Manhattan for small businesses around ADA compliance and inclusion.
Rivera,"Art Beyond Sight, Inc.",,133477104,5000,DYCD,Funds will support Art Beyond Sight's programs and operations.
Rose,"Art Lab, Inc.",Programming & Events,132977495,5000,DCLA,"Funds will be used to provide free art programming and services at various locations on Staten Island, pairing with other community and cultural organizations."
Gennaro,"Art Transforms, Inc.",,814182354,5000,DYCD,"Funding to support expenses related to art exhibition including supplies, venue costs, entertainment and other expenses."
Lander,"Arts & Democracy, Inc.",,474287935,9500,DCLA,Funding to support arts and cultural programing for the Bangladeshi community of Kensington and elsewhere in the 39th Council District.
Koo,"Arts Connection, Inc., The",Public School 20Q,132953240,5000,DCLA,To support programming at Public School 20Q.
Rivera,"Arts for Art, Inc.",,133991848,3000,DCLA,Funds will support Arts for Art's programs and operations.
Chin,"Arts for Art, Inc.",Council District 1,133991848,3500,DCLA,To support low cost and free cultural programming in public and community spaces in Council District 1. Funds will pay artist and production costs associated with the program.
Treyger,"Art's House Schools, Inc.",,870790139,17000,DCLA,"Funding to support Dance Off the Streets, arts programming which serves children who are having difficulties academically, socially and/or domestically who are at risk, and operating expenses."
Brooks-Powers,"Arverne Church of God, Inc.",Doing Right Under Guidance and Supervision (D.R.U.G.S.),113031878,10000,DYCD,Funding to support operational costs associated with the Doing Right Under Guidance and Supervision (D.R.U.G.S.) program.
Gennaro,"Asian American Federation, Inc.",,133572287,12500,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Grodenchik,"Asian American Federation, Inc.",,133572287,6000,SBS,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Koo,"Asian American Federation, Inc.",,133572287,7000,DYCD,"To help support advocacy efforts and programming for Pan-Asian American groups, including direct services, technical assistance, professional development, research, and small business support."
Levin,"Asian American Federation, Inc.",,133572287,2000,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Speaker,"Chin, Rivera Asian American Federation, Inc.",,133572287,100000,DYCD,"Funding will be used to support AAF's research, policy, and advocacy work to uplift underserved Asian American Pacific Islander communities in NYC."
Koo,"Asian Americans For Equality, Inc.",,133187792,8000,DYCD,"To provide comprehensive housing and community services to residents living in Council District 20, including assistance with immigration, interpretation, consultation of housing rights, and entitlements."
Powers,"Asian Americans For Equality, Inc.",,133187792,5000,SBS,Funding will support small business technical assistance and development services.
Rivera,"Asian Americans For Equality, Inc.",,133187792,5000,DYCD,Funds will support AAFE's programs and operations.
Chin,"Asian Americans For Equality, Inc.",Affordable Housing - Outreach & Capacity Support,133187792,15000,HPD,To provide outreach and capacity support to help diverse communities navigate through the affordable housing application process.
Reynoso,"Asian Americans For Equality, Inc.",Business Development & Social Services,133187792,5000,SBS,Funding to support business assistance and development services to small business owners and entrepreneurs; and support community social service programming.
Dromm,"Asian Americans For Equality, Inc.",ESOL Education,133187792,5000,DYCD,To support culturally sensitive in-language counseling and ESOL education to NYC's Asian immigrants. Page 35 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Koslowitz,"Asian Americans For Equality, Inc.",Homeownership Counseling and Education,133187792,5000,HPD,"To support the Homeownership Counseling and Education Program, which provides first time home buyers comprehensive counseling and education to purchase a home."
Chin,"Asian Americans For Equality, Inc.",Housing & Community Services - Council District 1,133187792,5000,HPD,To provide comprehensive housing and community services to residents living in Council District 1. Funds will support frontline staff providing critical services at two storefront offices in Chinatown and the Lower East Side.
Grodenchik,"Asian Americans For Equality, Inc.",Small Business Development,133187792,10000,SBS,Funding to support small business technical assistance and counseling/development programming in Council District 23.
Speaker,"Women's Asian-American Coalition for Children and Families, Inc.",,133682471,10000,DYCD,Funding will support the Asian American Student Advocacy Project (ASAP).
Dromm,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,5000,DYCD,To fund Asian American Student Advocacy Project (ASAP).
Brannan,Asiyah Women's Center,,822712941,5000,DYCD,To fund social work and supportive services.
Kallos,"Asphalt Green, Inc.",,136533158,7500,DPR,"To support the Big Swim, Sprinkler Day, Senior Day, and Snowman Showdown events."
Speaker,"Kallos, Manhattan, Powers Asphalt Green, Inc.",,136533158,50000,DPR,"To support Asphalt Green's Recess Enhancement Program (REP), Waterproofing Program and Community Sports Leagues (CSL)."
Gibson,"Asphalt Green, Inc.",Recess Enhancement & Waterproofing Programs - Council District 16,136533158,10000,DPR,Fund will support the Recess Enhancement and Waterproofing programs in Council District 16.
Powers,"Asphalt Green, Inc.",Waterproofing & Community Sports Leagues,136533158,5000,DPR,To support Asphalt Green's Waterproofing Program and Community Sports Leagues (CSL).
Moya,"Association of Community Employment Programs for the Homeless, Inc.",,133846431,50000,DYCD,To support supplemental clean up services in Council District 21.
Dromm,"Association of Community Employment Programs for the Homeless, Inc.",69th Street Cleanup,133846431,3500,DYCD,To extend clean-up services on 69th Street between 37th Avenue and 35th Avenue in Queens.
Holden,"Association of Community Employment Programs for the Homeless, Inc.",Environmental Initiatives,133846431,60000,DYCD,"Clean up business sectors in Council District 30. CD22 Association of Community Employment Programs for the Homeless, Inc. - Neighborhood Cleanup"
,"Clean up business sectors in Council District 30. CD22 Association of Community Employment Programs for the Homeless, Inc.",Neighborhood Cleanup,133846431,8000,DYCD,Funding will be used for clean-up programs in Council District 22.
Ampry-Samuel,"Association of Community Employment Programs for the Homeless, Inc.",Project Comeback Outreach,133846431,10000,DYCD,Funds will be used to support Project Comeback Outreach.
Rodriguez,"Association of Dominican Classical Artists, Inc.",,133843597,5000,DCLA,"To cover programming expenses of the Washington Heights Community Conservatory of Fine Arts & A Celebration of Dominican Classical Artists Composers and Musicians Concert Series. CD48 Association of East-European Jewry, Corp."
,"To cover programming expenses of the Washington Heights Community Conservatory of Fine Arts & A Celebration of Dominican Classical Artists Composers and Musicians Concert Series. CD48 Association of East-European Jewry, Corp.",,461135533,5000,DYCD,"To organize events for Holocaust survivors and families through educational lectures, culture and history."
Treyger,"Association of East-European Jewry, Corp.",,461135533,5000,DYCD,"Funds will be used to support community events including holiday celebrations, Holocaust Remembrance Day event, and educational programming such as lectures."
Riley,Astor Services for Children & Families,Wraparound Support,141397918,10500,DHMH,"Funds to be used to provide basic need items to families via ""Wraparound Support"". CD22 Astoria Performing Arts Center, Inc. - Theater Programming"
,"Funds to be used to provide basic need items to families via ""Wraparound Support"". CD22 Astoria Performing Arts Center, Inc.",Theater Programming,651209580,15000,DCLA,"Funds will be used to support costs for theater programs in Council District 22. Page 36 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds CD22 Astoria/Queens Share-ing and Care-ing, Inc. - Cancer Prevention Initiative"
,Funds will be used to support costs for theater programs in Council District 22. Page 36 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization,"Program Name Tax ID Amount Agency Purpose of Funds CD22 Astoria/Queens Share-ing and Care-ing, Inc. - Cancer Prevention Initiative",113220371,20000,DHMH,Funds will be used for a districtwide cancer prevention initiative.
Dromm,"Astoria/Queens Share-ing and Care-ing, Inc.",Health Workshops,113220371,5000,DHMH,"To support community outreach and education in Council District 25 as well as various education and supportive services for those diagnosed with cancer, including breast, colon and ovarian cancers."
Levin,Atlantic Avenue Association Local Development Corporation,Atlantic Antic Festival and Art Walk,112786225,5000,DYCD,To support the Atlantic Avenue-Arts Gowanus Walk.
Vallone,"Auburndale Soccer Club, Inc.",Youth Soccer Program,112476178,7500,DYCD,"Funds will be used to offset expenses related to executing programs, field rentals and utilities directly related to the Auburndale Soccer Youth program."
Gennaro,Autism Society Habilitation Association,,474857582,5000,DHMH,"Funding to support operational expense including supervision and consultation, parent training, professional development and workshops, distance consultation, advocacy and referral."
Johnson,"Bailey House, Inc.",,133165181,7500,DHMH,"Funds will support the 24/7 services provided at Bailey-Holt House (BHH), the nation’s first congregate residence for people with AIDS."
Rosenthal,"Bailey House, Inc.",Veteran's Housing,133165181,5000,DHMH,Funds support programming at the Veterans Housing at 95th Street.
Cornegy,Bailey's Cafe,As Quiet As It's Kept,200221451,5000,DCLA,"Funding to support the As Quiet As It's Kept (AQAIK) program, a work created/based on the stories of Veterans of color."
Johnson,"Ballet Hispanico of New York, Inc.",,132685755,5000,DCLA,"Funding to support performances in schools by dancers of BHdos, Ballet Hispánico's second company of eight pre-professional dancers."
Chin,"Ballet Theatre Foundation, Inc.",Public School 124M,131882106,3500,DCLA,To support the American Ballet Theatre at School program at Public School 124M.
Cornegy,"Ballroom Basix USA, Inc.",Council District 36 Students,273218865,5000,DOE,To provide social and cultural interactions for students in Council District 36 schools through dance and music.
Cabrera,"Ballroom Basix USA, Inc.",Intermediate School 206X & Public School / Middle School 15X,273218865,10000,DOE,Funding to support Ballroom Basix at I.S. 206X and P.S./M.S. 15X in Council District 14.
Grodenchik,"Ballroom Basix USA, Inc.",Public School/Intermediate School 266Q & Public School/Intermediate School 208Q,273218865,6000,DCLA,Funds will be used to provide programming for Public School/Intermediate School 266Q and Public School/Intermediate School 208Q.
Miller,"Ballroom Basix USA, Inc.",Public School/Middle School 147Q (29Q147) & Public School/Intermediate School 268Q (29Q268),273218865,5000,DOE,Funding will support instruction at Public School/Intermediate School 268Q and Public School/Middle School 147Q.
Rose,"Ballroom Basix USA, Inc.",School Programs - Council District 49,273218865,5000,DCLA,Funding will cover operational cost to serve two schools within Council District 49.
Rodriguez,Bameso USA,,342056362,20000,DYCD,To support operating and programming expenses.
Adams,"Bangladeshi American Society, Inc.",Friends Helping Friends - Council District 28,852723489,5000,DYCD,"Funds will support community services including food relief, housing applications, school supplies for disadvantaged youth, translation assistance and voter registration."
Speaker,Rivera Bank Street College of Education,,135562167,100000,DYCD,Funds will support Bank Street's partnership with School District 1 elementary schools to increase literacy and improve educational outcomes.
Brooks-Powers,Bard College,,141713034,10000,MOCJ,Funding to provide support for Reentry programming and services in Council District 31.
Gennaro,Bard College,,141713034,8000,MOCJ,Funding will support reentry services for individuals who participated in the Bard Prison Initiative.
Levine,Bard College,Bard Prison Initiative - Reentry & Alumni Affairs,141713034,5000,MOCJ,Funding will support reentry services for individuals who participated in the Bard Prison initiative.
