fiscal_year,stream,member,organization,program,ein,amount,agency,purpose,status,confidence,source_file
2016,appendix_b_local,Van Bramer,"India Home, Inc.",,208747291,3500,DFTA,"To support the three day a week senior center programming primarily in English, Hindi, and Bengali to immigrant seniors in Queens, providing hot vegetarian and halal congregate meals. In addition, we provide exercise, physical therapy, and yoga sessions for all our seniors to keep them healthy and active",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Grodenchik,"India Home, Inc.",,208747291,22500,DFTA,"To provide programs primarily in English, Hindi, and Bengali to immigrant seniors in Queens, along with hot vegetarian and halal congregate meals, exercise, physical therapy, and yoga sessions.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,"India Home, Inc.",,208747291,50000,DFTA,"To provide hot vegetarian and halal congregate meals, as well as exercise, physical therapy, and yoga sessions primarily in English,Hindi and Bengali to immigrant seniors in Queens.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Ulrich,"Indo-Caribbean Alliance, Inc.",,272848254,5000,DYCD,Funds will be used to support youth and community engagement programs for students and immigrants and for operational and administrative expenses,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Levin,"Institute for Community Living, Inc.",,133306195,2500,DOHMH,To support programming at the ICL Guidance Center of Brooklyn.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Van Bramer,"Institute for Community Living, Inc.",,133306195,5000,DOHMH,To make improvements and purchase books for the library at the Borden Avenue Veterans Shelter,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Kallos,InterSchool Orchestras of New York Inc.,,237401867,3000,DCLA,"To provide free weekly music lessons for beginning and intermediate students at the Julia Richman Education Complex on East 67th Street. An instrument introduction event and a free concert at the school will be used to encourage children to participate. Children who cannot afford an instrument can be loaned one for no cost. Additionally, these students will receive reduced or free tuition to participate in ISO’s orchestras or band.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Grodenchik,InterSchool Orchestras of New York Inc.,,237401867,10000,DCLA,To subsidize tuition for children who need it for the beginner's orchestra in Queens.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,Intermediate School 278k,,136400434,1500,DOE,To purchase music instruments and support the music/band program at IS278k,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,Intermediate School 78k,,136400434,1500,DOE,To purchase music instruments and support the music/band program at IS78k,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Cornegy,International African Arts Festival,,112953522,5000,DCLA,To support IAAF's Family Entertainment Concert Series & Children's Art & Cultural Awareness programs within the African Arts Festival grounds.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Mealy,International African Arts Festival,,112953522,5000,DCLA,"The funds will be used to support the International African Arts Festival's programming. The funds will be used to pay performers, purchase and rent supplies and equipment, and general operating expenses for the Festival, and the IAAF's Kidzone",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Barron,International African Arts Festival,,112953522,15000,DCLA,"Funds are to be used for the International African Arts Festival (IAAF) Family Entertainment Concert Series. The funds will be used to offset the expenses of producing nationally and internationally recognized artist of various, e.g., vocal,  instrumental, dance, spoken word, etc.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Reynoso,"International Studio & Curatorial Program, Inc.",,205052686,5000,DCLA,"To support the Participatory Arts and Studio Assistant programs. Funding will be allocated for stipends, materials, and program development.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Cumbo,Irondale Productions Inc.,,133178772,5000,DCLA,Funding will be used to support programs at Ft. Green Preparatory School in presentation skills for the Robotic/STEM team,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,"Isabella Geriatric Center, Inc.",,133623808,20000,DYCD,To support the Our Caring Partners after school program.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Matteo,"Italian Club of Staten Island, Inc.",,133428736,2000,DYCD,"Funds will be used to purchase food including canned goods, fresh produce and canned hams for distribution for the Food Drive.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Williams,"J'Ouvert City International, Inc.",,113362754,6000,DYCD,Funds will support solely the operating expenses for the execution of the Labor Day Parade.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Garodnick,"JBI International, Inc.",,131683279,5000,DFTA,Funding will support programing that serves visually handicapped senior citizens in New York City,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,"JLSC Educational Tour Bus, Inc.",,134085631,10000,DCLA,"In honor of what would have been John Lennon's 75th birthday on October 9, 2015, The Lennon Bus will be dedicated to the City of New York for an entire month. During the residency, the Bus will visit locations in all five boroughs giving the general public and students free hands-on access to the state of the art production studios. Programming will include school visits (5 dates per borough) with hands-on opportunities for students to create. Educational services focus on team building and career path development.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Dromm,"JLSC Educational Tour Bus, Inc.",,134085631,11500,DCLA,"To support development and logistical elements such as permitting, power, fuel, and housing of Lennon Bus residency in NYC, which will include schools and other locations to give the general public and students access to state-of-the-art production studios.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Cumbo,"Jack Arts, Inc.",,455346846,5000,DCLA,"Funding will be used to support theater, music and dance performances, all with an aim of expanding access to the arts by presenting low-cost programming that reflects the diversity of the city.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Gibson,Jackson Avenue Block Association inc,,030549313,5000,DYCD,"Funds will be used to cover cost of running JABA events such as services, food, tickets, and transportation",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Dromm,Jackson Heights Beautification Group,,112925587,7000,DYCD,"To fund indoor & outdoor public concerts, printing of programs, publicity, reception for audience members, environmental sustainability program, dog park / run, and graffiti removal.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Van Bramer,"Jacob A. Riis Neighborhood Settlement, Inc.",,111729398,3500,DYCD,To support the Friends of Queensbridge Park community events and community organizing efforts,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Matteo,"Jacques Marchais Museum of Tibetan Art, Inc.",,237280740,3000,DCLA,"Funds will be used to support  programs  salary for staff, purchase of supplies for exhibits, and marketing initiatives such as flyers and postcards.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Rose,"Jacques Marchais Museum of Tibetan Art, Inc.",,237280740,3500,DCLA,"Funding will support staffing, operational and marketing costs associated with the Museum's on-going public programming including displays of artifacts, tai chi classes, lectures and performances by Tibetan authors, artists and musicians, an on-going Sunday afternoon film series, and demonstrations of traditional Tibetan art forms.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Miller,Jamaica Center Improvement,,112489195,5000,DSBS,"Funds will be used to prepare for the 4th Annual Jamaica Collections Fashion Series, including creative marketing tools, production costs, venue costs, video, photography, catering, style vendors and promotional costs",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Miller,Jamaica Center Improvement,,112489195,5000,DSBS,"Funds will be used to assist in the launch of seasonal walking tours, bus tours, and food tours of Jamaica, Queens. Expenses will include marketing costs, supplies, vehicle rentals, and personnel.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,Jamaica Center Improvement,,112489195,10000,DSBS,"Funds will be used for obtaining creative marketing tools, production, venue, video, photos, catering, style vendors and media to promote the fashion series, in its 4th year strong. It is designed to brand Jamaica as a vibrant shopping destination, to lure more consumers to the district and to therefore strengthen the local economy. The fashion series additionally attracts the attention of international chain stores, franchises and independent retailers to locate in the district. Residents and retailers look forward to high impact fashion events that engages the press city-wide and important private and public stakeholders throughout Jamaica and the Queens and NY community at-large.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,"Jamaica Center for Arts and Learning, Inc.",,112478709,5000,DCLA,"Funds will be used to defray the ticket price and to support expenses incurred in providing year-long quality live performance experiences to students in Southeast Queens, where cultural opportunities are extremely limited.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,CD28,"Jamaica Center for Arts and Learning, Inc.",,112478709,5000,DCLA,"The requested funding will support the following: ACW - Art Center Workshops for children and adults to encourage arts education through visual, fine and performing arts instruction Summer Arts Academy - Summer Ballet Dance Intensive -  Next Dance Residency Program - Visual Arts Series -  Expansion of the Annual Making Moves Dance Festival which highlights local dance organizations and provides affordable performance events to the local community.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Miller,"Jamaica Center for Arts and Learning, Inc.",,112478709,15000,DCLA,"The funding will support JCAL's in-school, after-school, Saturdays Arts Center Workshops, and Summer Arts programs",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Grodenchik,"Jamaica Estates, Holliswood, South Bayside Volunteer Ambulance Corp., Inc.",,237351959,6000,FDNY,"To support operating expenses for the three ambulances, first aid and CPR education, medical tent stand bys, first aid services, and free medical equipment loans.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,CD28,"Jamaica Service Program for Older Adults, Inc. (JSPOA)",,510204121,20000,DFTA,"To provide programming for mentally physically frail seniors. Funds requested will be used for outreach materials, upgrade equipment (kitchen, freezers, oven) and other program cost.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,"Jamaica Service Program for Older Adults, Inc. (JSPOA)",,510204121,50000,DFTA,The funds will be used to purchase a 10 passenger van for the center which will allow members to stay for a longer day.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Dickens,"Jazz at Lincoln Center, Inc.",,133888641,5000,DCLA,"To support concerts season, jazz education programs, and community-outreach activities.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Levin,JazzReach Performing Arts and Education Association,,113179208,1000,DCLA,To provide education of jazz to students in District 33.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Levin,JazzReach Performing Arts and Education Association,,113179208,2000,DCLA,To provide education of jazz to students in District 33.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Cumbo,"Jazzmobile, Inc.",,132614483,3000,DCLA,"Funding will be used to support New York City's longest continuous Jazz concert series in NYC neighborhoods in parks, on city streets and in other public spaces in the boroughs",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Kallos,"Jazzmobile, Inc.",,132614483,3500,DCLA,"To fund Summerfest, a free Concert series to bring Jazz, Blues, and Salsa: masters, legends, and emerging artists, into communities throughout NYC.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Miller,"Jazzmobile, Inc.",,132614483,5000,DCLA,"The funding e to employ musicians, audio engineers, and to market the program to the neighborhoods visited.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Dickens,"Jazzmobile, Inc.",,132614483,5000,DCLA,"To support the Harlem Jazz Shrines festival, celebrating the legacy of jazz in Harlem, including arts education programs for students and senior citizens.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Mealy,"Jericho Road, Inc.",,113463615,5000,MOCJ,"The funding will be used to support Jericho Road's domestic violence awareness and education efforts in District 41. The funds provide for staff salaries, purchase and rental of supplies, and space rental for workshops and outreach events in the 41st District.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,Jewish Association for Services for the Aged (JASA),,132620896,2500,DFTA,"Funding to support Arts and Crafts classes, physical fitness , lectures of interest, and transportation.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Vacca,Jewish Association for Services for the Aged (JASA),,132620896,5000,DFTA,To fund consultants that teach physical fitness classes such as aerobics and Zumba.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Mendez,Jewish Association for Services for the Aged (JASA),,132620896,5000,DFTA,Funding towards general support of programming at Evelyn and Louis Green Residence at Seagirt,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,King,Jewish Association for Services for the Aged (JASA),,132620896,7182,DFTA,"To defray costs of consultants to teach  classes such as physical fitness and crafts, lectures of interest,  entertainment, cultural arts programming, special events and trips to areas of interest in the NY Metro area.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,Jewish Association for Services for the Aged (JASA),,132620896,8000,DFTA,"Funding will be used to support monthly group outings and weekly exercise (Yoga and Strength Training) classes, Social services, health support and educational recreational activities are offered to the seniors in the collaboration with O’Dwyer housing.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,Jewish Association for Services for the Aged (JASA),,132620896,10000,DFTA,"Funding to support classes in computers, crafts and exercise; as well as to provide other activities and events for senior citizens",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,Jewish Association for Services for the Aged (JASA),,132620896,100000,DFTA,"JASA is requesting funding to support program staffing and operations and continue the following services 1) .JASA LEAP assists vulnerable older adults who are elder abuse victims.  LEAP provides a legal social work team approach to identifying, resolving and preventing elder abuse situations.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Grodenchik,"Jewish Board of Family and Children's Services, Inc. (aka Pride of Judea)",,135564937,7500,DOHMH,"To provide mental health services for children and adults, including behavioral health clinics in support of health integration, health education, social development, learning, and trauma work. Funds will also support children on the autism spectrum.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Garodnick,"Jewish Board of Family and Children's Services, Inc. (aka Pride of Judea)",,135564937,7500,DOHMH,Funding will support quality mental health care to families and individuals in need.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,"Jewish Board of Family and Children's Services, Inc. (aka Pride of Judea)",,135564937,125000,DOHMH,To provide quality mental health care to families and individuals in need.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Jewish Channel Institute, Inc., The",,134169137,4000,DYCD,"Funds will be put towards a 2-semester program which trains HS seniors and college freshmen on how to deal with hate ideologies before they escalate into action. Expert lecturers will be utilized. Curriculum includes trips, seminar discussions, meetings with representatives of various religions.",Pending,medium,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Deutsch,"Jewish Channel Institute, Inc., The",,134169137,5000,DYCD,Funds will be used for youth programming.,Pending,medium,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,Jewish Child Care Association,,131624060,5000,DYCD,"The Kew Gardens Youth Center (KGYC) is an afterschool program for male teens and young adults, 14-19 years of age. Its purpose is to offer youth positive alternatives and education about negative behaviors in which they engage. It creates a safe space for the youth to relax, mix with peers, share concerns, and receive support.  We would like to offer three trips per year to give the youth an opportunity to become involved, connected with each other, and develop trust.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Eugene,Jewish Children's Museum,,133798344,6500,DCLA,To defray the cost of museum admission for public school children from underserviced areas.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Deutsch,"Jewish Coalition For Youth Education & Support, Inc.",,273152656,8000,DYCD,Recreational activities and events for at risk youth,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Rosenthal,"Jewish Community Center in Manhattan, Inc., The",,133490745,5000,DYCD,"Funding to help sustain support programs, which offer groups that focus on bereavement, illness, separation and divorce, economic stability, single-parent families",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Rose,"Jewish Community Center of Staten Island, Inc.",,135562256,5000,DFTA,"Funding will support operational and administrative expenses associated with various BVSO events such as golf, darts, pocket pool, bridge, bowling, miniature golf, t-shirts, and a luncheon on the final day of the event.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Rose,"Jewish Community Center of Staten Island, Inc.",,135562256,10000,DYCD,Funding will provide operational support  for STEM programming.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,"Jewish Community Council of Canarsie, Inc.",,112608645,18000,DYCD,"To provide case management,  information and referrals, support groups, food and counseling services to at risk elderly, immigrants and disadvantaged families in southeastern Brooklyn.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,"Jewish Community Council of Canarsie, Inc.",,112608645,50000,DFTA,"Caseworkers and social workers will provide comprehensive case management services, information and referrals, support groups, distribution of food parcels and counseling services to at risk elderly immigrants and disadvantaged families throughout Southeastern Brooklyn.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,2000,DFTA,"Funds will be used to support Ocean Parkway Senior Centers Home Delivered Meals program which provides home delivered meals to homebound seniors, who are not able to prepare nutritious meals on their own.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,2500,DFTA,Funds will be used to support Senior Citizen Transportation Program which provides both individual demand responsive and group scheduled trips for frail elderly transporting them to medical and non-medical essential services and appointments.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,2500,DFTA,Funds used to provide critical supportive services to low-income elderly.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Gentile,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,2500,DFTA,Funds will support the Senior Citizen Transportation Program which provides individual and group scheduled trips for the elderly.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,5000,DYCD,"To provide management and strategic development tools and training services for a non-profit
organizations",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Deutsch,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,5000,DFTA,Requested funds will be used to support Senior Citizen Homecare programming.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,8000,DFTA,"Requested funds will be used to support  Haber Senior Centers Healthy Aging services which include health promotion, educational and recreational activities which help keep senior citizens minds and bodies healthy (examples include Exercise, Music, Chorus, Knitting, Library, ESL  Computer Classes).",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Deutsch,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,10000,DYCD,Requested funds will be used to support the Seagate Shuttle.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Eugene,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,12000,DFTA,Requested funds will be used to support Senior Citizen Transportation Program which provides both individual demand responsive and group scheduled trips for frail elderly transporting them to medical and non-medical essential services and appointments.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Deutsch,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,30000,DFTA,Funding to support the senior transportation program used to transport elderly/disabled to medical and non-medical appointments,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,115000,DFTA,"To fund Senior Citizen Transportation, Homecare, and Health Insurance Help.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Vacca,"Jewish Community Council of Pelham Parkway, Inc.",,133099520,19000,DYCD,"To fund additional staff, congregant meals and cultural programming for area seniors and isolated elderly, and local neighborhood associations.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Ulrich,"Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,5000,DYCD,Funds will be used to support social services coordination  and to support youth sports programs.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Richards,"Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,15000,DYCD,Funds will be used to provide programmatic support the Rockaway Nassau Safety Patrol (RNSP).,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Richards,"Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,20500,DFTA,"To support the JCCRP Medicare assistance program, which assists clients in determining Medicare eligibility, understanding and applying for Medicare, enrolling into prescription (part D) plans, Medicare Advantage plans, EPIC and the Medicare Savings Program.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,Jewish Home Lifecare Manhattan,,131624033,50000,DFTA,Funds will be used to install Telehealth Kiosks and/or to offer and provide various programs and services to seniors.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Koslowitz,Jewish Institute Of Queens,,542068797,29500,DYCD,Funds will be used to support  Emergency Food Program. Funds will be used to procure fresh fruits and vegetables to enhance the pantry bag that is distributed.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Speaker,Jewish Institute of Queens,,542068797,150000,DYCD,Funding will support the Emergency Food Program.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Levine,"Jewish Museum, The",,136146854,5000,DCLA,"To support the Jewish Museum's Professional Development Workshops for Teachers/School Outreach, especially to support professional development for teachers with J.H.S. 054 Booker T. Washington School. This program helps educators integrate art into classroom curricula; elements of the Museum's collection relate to identity, immigration, diversity, and history.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Garodnick,"Jewish Museum, The",,136146854,10000,DCLA,"Funding will support the Jewish Museum's multi-generational Family Day programs, which include interactive and intergenerational art activities, collaborative creative workshops, family tours and musical performances.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Matteo,Joe Gheraldi Playwright Theater,,550862258,1000,DYCD,Funds will be used for staged production of the play Heiress,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Rosenthal,John Jay College of Criminal Justice,,133893536,5000,CUNY,Support the Community Rooftop Performing Arts Series,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Rosenthal,John Jay College of Criminal Justice,,133893536,5000,CUNY,"Support a community based Justice and the Arts series combining live performances, films, art exhibitions, and post-show discussions geared towards exploring global social justice issues.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Johnson,"Joyce Theater Foundation, Inc.",,133038262,7500,DCLA,To implement its Community Connections initiative with a focus on corporations in the neighborhood and employees. Funds will be used for marketing materials and staff outreach efforts that promote performances and other cultural opportunities available in the community.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Cumbo,"Judah International Christian Center, Inc.",,113352075,5000,DOHMH,"Funding will be used to support families with wholesome, engaging and empowering family-centered events and services.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Chin,Judd Foundation,,742798673,5000,DCLA,Funding will contribute to the hiring of artist guides to give public tours of the historic house museum and art collection at 101 Spring Street.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Kallos,Junior High Annex [02M226],,136400434,3500,DOE,To provide support for Literacy and Math In-Class Materials.,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,CD28,Junior High School 226Q,,136400434,6500,DOE,To support the programmatic and operating cost for Photography Program including equipment,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Menchaca,"Just 3, Inc.",,462004223,5000,DYCD,The funds will be used to support the operational costs of two local festivals; 24th Street Festival and the Mar y Sol Festival,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Ferreras-Copeland,"Just-Us, Inc.",,132954007,10000,DFTA,"To support the Senior Tech Program aimed at teaching Seniors basic computer skills to utilize technology. Programming enriches lives, decreases isolation, and provides viable methods for maintaining social contact with friends, family and the community.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Mark-Viverito,"Keep Rising to the Top, Inc.",,133948379,10000,DYCD,"To bolster and improve dance and support programs to the community as a healthy, productive alternative to street and social pressures in an effort to develop the personal skills and abilities of participants.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,Kehilas Ishei Yisrael,,562526290,10000,DYCD,"Funds will be used to cover group activities, educational supplies and refreshments during  Saturday morning youth groups and Saturday night learning program.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Ulrich,Kehilat Sephardim of Ahavat Achim,,113101774,5000,DYCD,"Funds will be used to support an after school program, food pantry program, costs associated and to purchase supplies and equipment",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,Kehilat Sephardim of Ahavat Achim,,113101774,20000,DYCD,"Funding to support for an after school intergenerational family learning program to help students with subjects such as math, reading and writing and to encourage better family relationships.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lander,"Keren Zichron Yisroel Meir, Inc.",,364579309,5000,DYCD,"To support the overhead expenses for organization, which provides assistance to individuals and families in need, including insurance, telephone, utilities, occupancy and other overhead costs.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Greenfield,"Keren Zichron Yisroel Meir, Inc.",,364579309,10000,DYCD,"Funds will be used to cover the expense of running the organization, central insurance program, telephone, utilities, and other operational expenses.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Greenfield,"Kids Of Courage, Inc.",,263364700,5000,DYCD,Funds will be used to facilitates costs of the  Kids of Courage Summer Adventure Camp,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Miller,"King Manor Association of Long Island, Inc.",,112396324,5000,DCLA,"Funding will be directed to museum educators' salaries, program presenter fees, educational materials/supplies, and marketing.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Lancman,"King Manor Association of Long Island, Inc.",,112396324,10000,DCLA,"Funding to provide history programming for school children, a concert series for adults, and historic food preparation and tasting programming for families.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Cabrera,King of Glory Tabernacle,,133962733,8000,DYCD,"The programming that needs funding will be the mentoring groups offered in the community serving ages 5-25. Providing a source of food and supplies for activities related to different empowering activities. Money to help support future block parties, feeding the homeless. we also have opened a non government funded After school program serving the children in the neighborhood. The funding could help keep this program opened to help the academically and social development for the youth.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Miller,"King of Kings Foundation, Inc.",,030583790,5000,DYCD,Funds will support operational costs (staff salaries and marketing costs) associated with running our Anti-Drug-Anti-Gang Warriors Tour Program and our Positive Impact Movement (P.I.M) Mentoring Program,Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,"Kings Bay YM-YWHA, Inc.",,113068515,21250,DFTA,"To support the Alzheimer's Respite program for patients with moderate to severe Alzheimer's and Dementia diseases, offering recreational and social activities in a non-medical environment and transportation for participants.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,"Kings Bay YM-YWHA, Inc.",,113068515,26250,DYCD,"To support the Kings Bay YM-YWHA Immigration Initiative, providing ESOL and CIVICS preparation courses for immigrants.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Maisel,"Kings Bay Youth Organization, Inc.",,116020722,3000,DYCD,"To support youth baseball, football and basketball programs. Funds will be used to purchase sports supplies and equipment, uniforms and trophies.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Greenfield,"Kings Highway Beautification Association, Inc",,204986882,12500,DYCD,"Funding will be used to launch districts-wide graffiti cleaning programs in the 47th and 44th Council Districts, including complaint program in which constituents can call in graffiti-ridden locations for fast response clean up.",Cleared,high,funded_disclosure_FY2016.xlsx
2016,appendix_b_local,Treyger,"Kings Highway Beautification Association, Inc",,204986882,15000,DYCD,"The funding will be used to launch district-wide beautification programs, including tree guard installations, graffiti cleaning, constituent educational outreach for neighborhood improvement, and other beautification initiatives in the 47th District.",Cleared,high,funded_disclosure_FY2016.xlsx
