member,organization,program,ein,amount,agency,purpose
Powers,"AIDS Service Center of Lower Manhattan, Inc.",Patients Access to Health - Council District 4,133562071,5000,DHMH,Funding will support program costs of Patients Access to Health in Council District 4.
Riley,"AIMHigh Empowerment Institute, Inc.",,813143733,51000,DYCD,Funds to be used to operate the AIMHigh Empowerment Institute and all related programming.
Caban,"AKTINA Productions, Inc.",Greek Television Program,113220961,5000,DOITT,Funds will be used to support television programming promoting Greek culture in NYC and Council District 22 specific outreach.
Carr,"Albanian-American Association of Ulqin, Inc.",,881042164,5000,DYCD,"Funds to be used for operating costs, events and programming."
Hanks,"Albanian-American Association of Ulqin, Inc.",Community Engagement,881042164,8000,DYCD,Funding will support the language school and community events.
Aviles,"Alex House Project, Inc., The",Maternal & Child Health Services,475488301,20000,DHMH,"Funds will support workshops and seminars including parenting courses and topics including cooking, nutrition, techniques for de-stressing and emotional well-being, and vaccine education."
Jordan,Ali Forney Center,,300104507,20000,DYCD,Funds will be used to support Ali Forney's Trans Equity Programs.
Williams,Allen A.M.E. Housing Corp,,112600290,16000,DYCD,"The requested funds will be used for programmatic staffing and planning, office supplies/equipment, and program supplies/equipment."
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,9500,DFTA,"Funding is to support virtual and IT services, recreational and nutritional programming and staff at the senior center."
Brooks-Powers,Allen Neighborhood Preservation & Development Corporation,Council District 31,112705085,7500,DFTA,Funding will support in-person and virtual district-based senior services in Council District 31. Appendix B: Local Initiatives Page 29 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Ung,"Alley Pond Environmental Center, Inc.",Environmental Education,112405466,5000,DYCD,To support programming costs for environmental education for students and residents of Council District 20.
Paladino,"Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,5000,DCLA,The funding will be used to cover the various costs associated with implementing APEC's educational programs.
Kagan,"Alliance for Coney Island, Inc.",BID Formation - Council District 47,460802042,10000,SBS,Funds will be used for the continuation of the process of forming a business and improvement of Council District 47.
Kagan,"Alliance for Coney Island, Inc.",Holiday Lighting & Toy Giveaway,460802042,20000,SBS,Funds will be used to install holiday lighting for the sixth year in a row on Surf Avenue and Mermaid Avenue.
Gennaro,Alliance Of Bukharian Americans,,820806280,10000,DYCD,"To cover the cost of running free resource hotline, assisting community with needs related to education & youth health including drug awareness & abuse, housing issues, adult services & food related services in Council District 24."
Bottcher,"Alliance of Resident Theatres/New York, Inc.",,132768583,5000,DCLA,To provide comprehensive support services producers and artist members.
Rivera,"Allied Productions, Inc.",Le Petit Versaille,133123525,5000,DCLA,Funds will support Allied Productions programs including Le Petit Versaille garden programs and operations.
Ariola,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",,383853340,2500,DYCD,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Holden,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Annual Memorial Day Parade,383853340,2500,DYCD,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Schulman,Alphapointe,Workforce Development - New Yorkers Who are Blind,440552486,10000,DYCD,Funding to support operational costs of workforce development programming for blind and visually impaired individuals including assessment and participation in skill development training.
Menin,"Alvin Ailey Dance Foundation, Inc.",,132584273,5000,DCLA,Funds will support Physical dance choreography with seniors at Stanley Isaacs and other locations within Council District 5.
Brewer,"Alvin Ailey Dance Foundation, Inc.",Youth Dance Program,132584273,5000,DCLA,Funds will bring dance to New York City public school children.
Kagan,"American Brotherhood for the Russian Disabled, Inc.",Cultural Programs - Council District 47,113314347,5000,DYCD,Funds will be used for classes and education of American History and Culture in Council District 47.
Menin,American Composers Orchestra,Talent Unlimited High School,132838450,5000,DCLA,Funds will be used to partner with Talent Unlimited HS for after school program or during school hours music program.
Joseph,"American Council Of Minority Women, Inc.",Access to Food & Nutritional Education - Council District 40,270861591,6000,DYCD,"Funding will support food distribution, health seminars, and community events."
Narcisse,"American Debate League, Inc.",Debate & Leadership Program,471624385,10000,DYCD,"Funds will be used to provide youth speech, debate, leadership programs and activities throughout the year and summer for school district 17, 18 and 22."
Louis,"American Debate League, Inc.",Debate & Leadership Program,471624385,5000,DYCD,"Funds will be used to provide you speech, debate, and leadership programs and activities throughout the year and summer for school districts 17, 18 and 22."
Menin,American-Italian Cancer Foundation,,133035711,11000,DHMH,"To support no-cost breast cancer screening and education services on a Mobile Care Clinic at locations in City Council District 5 including but not limited to NYCHA developments, senior and community centers, and publicly noticed."
Vernikov,American-Italian Cancer Foundation,,133035711,5000,DHMH,"Funding will support programming, outreach and community events."
Brewer,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program",133035711,6000,DHMH,"Funding will support Breast Cancer Outreach, Education and Navigation Program. Appendix B: Local Initiatives Page 30 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Schulman,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program",133035711,4000,DHMH,Bring Mammogram Bus to District 29 and provide patient navigation services to constituents.
Ung,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program - Council District 20",133035711,5000,DHMH,Funding to be used for free mobile mammography services in Council District 20.
Joseph,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program - Council District 40",133035711,10000,DHMH,Funding will support four breast cancer screening van events in Council District 40.
Narcisse,American-Italian Cancer Foundation,Breast Cancer Screening - Council District 46,133035711,12000,DHMH,Funding to support breast cancer screening events and outreach in Council District 46.
Brannan,American-Italian Cancer Foundation,Breast Cancer Screenings - Council District 43,133035711,5000,DHMH,To support free breast cancer screening events in Council District 43.
Abreu,American-Italian Cancer Foundation,Breast Cancer Screenings - Council District 7,133035711,12000,DHMH,Funding to support breast cancer screenings and outreach in Council District 7.
Moya,American-Italian Cancer Foundation,Breast Cancer Services & Outreach - Council District 21,133035711,10000,DHMH,"Funds will be used to support Breast Cancer Outreach, Education, Navigation Program, screenings, and mammogram bus for Council District 21."
Lee,American-Italian Cancer Foundation,Council District 23,133035711,5000,DHMH,To help fund no-cost breast cancer screening in Council District 23.
Hanif,American-Italian Cancer Foundation,Council District 39,133035711,5000,DHMH,Funds will support breast cancer screening events in Council District 39.
Powers,American-Italian Cancer Foundation,Free Mammograms & Clinical Breast Exams,133035711,5000,DHMH,Funding will support free mammograms and clinical breast exams for economically disadvantaged women in Council District 4.
Velazquez,American-Italian Cancer Foundation,Mammogram Bus,133035711,5000,DHMH,"To support AICF's breast cancer outreach, education, and navigation program in Council District 13."
Borelli,Americans Against Antisemitism,,841893677,5000,DYCD,Funds will support educational training programs in Council District 51.
Carr,Americans Against Antisemitism,,841893677,5000,DYCD,"Funds to be used for operational expenses including rent, advertising and staff support."
Yeger,Americans Against Antisemitism,,841893677,8000,DYCD,"Funds will be used to conduct a community engagement series in publicly accessible venues, focusing on the topic of antisemitism."
Kagan,Americans Against Antisemitism,Anti Hate Program - Council District 47,841893677,7000,DYCD,Funds will be used for programs focused on educating people against Anti-Semitism.
Vernikov,Americans Against Antisemitism,Engagement Series,841893677,10000,DYCD,"Funds to conduct a community engagement series in publicly accessible venues, focusing on the topic of antisemitism."
Menin,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,To support bilingual partnership program that focuses on schools and community organizations and artist-in-residency programs including visits to El Museo by schools in Council District 5.
Powers,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,Funding will support El Museo's bilingual partnership program at a school in Council District 4.
Ayala,"Amigos Del Museo Del Barrio, Inc.",Community Engagement & Programming - Council District 8,237156720,5000,DCLA,To provide funding for El Museo's local community engagement and educational activities.
Abreu,"Amigos Del Museo Del Barrio, Inc.",Permanent Collection Exhibition - Council District 7,237156720,5000,DCLA,Funding to support In-Classroom Partnerships with El Museo del Barrio in Council District 7.
Narcisse,"Amity Little League, Inc.",Sports Program - Council District 46,112705385,5000,DYCD,Funding to support sports programming for youth in Council District 46.
Gennaro,"Amudim Community Resources, Inc.",,470984801,5000,DYCD,"Funding will help cover the cost of an additional case manager who will provide services to individuals/family units; providing comprehensive case management for issues relating to drugs, mental health and sexual abuse. Appendix B: Local Initiatives Page 31 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Powers,"An Claidheamh Soluis, Inc.",Irish Arts Center,510244834,5000,DCLA,Funding will support programming and events at the Irish Arts Center.
Bottcher,Animal Care and Control of New York City,,133788986,5000,DHMH,Funds will be used to support programs to end animal homelessness.
Moya,Animal Care and Control of New York City,,133788986,20000,DHMH,"Funding to support spay and neuter clinics, vaccination clinics, and adoption events in Council District 21."
Holden,Animal Care and Control of New York City,Animal Care,133788986,7000,DHMH,"Funds to be used for adoption events, animal rescue, wellness and spay/neuter in Council District 30."
Louis,Animal Care and Control of New York City,Council District 45,133788986,3000,DHMH,Funds will be used to support various services/programs of the ACC.
Paladino,Animal Care and Control of New York City,Surrender Prevention & Community Events,133788986,7500,DHMH,Funds will support Keeping Families Together: Surrender Prevention and Community Pets programming and services.
Hanif,"Annual Gowanus Artists Studio Tour, Inc.",,753192120,5000,DCLA,"Funds will support staff and outreach to promote art events in Gowanus including ""Gowanus Open Studios"" and/or other events where the public has an opportunity to interact with art."
Restler,"Annual Gowanus Artists Studio Tour, Inc.",Gowanus Art Walk,753192120,5000,DCLA,Funds will be used to support the Gowanus Art Walk.
Speaker,"Ansob Center for Refugees, Inc.",,113534833,20000,DYCD,Funds will be used to support legal services for immigrants and refugees.
Caban,"Ansob Center for Refugees, Inc.",Ansob Center Immigration Legal Services Program - Council District 22,113534833,25000,DYCD,Funding will be used to provide counseling to immigrant and refugee communities in Council District 22.
Osse,Antioch Development Corporation,,113441170,5000,DYCD,Funds will be used to support events and programs in Council District 36.
Speaker,"Brewer Aperture Foundation, Inc.",Work Scholar Program,133120824,50000,DYCD,"To provide funding support for paid professional training for New York City college graduates transitioning from school to careers in publishing, exhibitions, design, arts education, communications, and not-for-profit development and management."
Krishnan,APICHA Community Health Center,,133706365,9000,DHMH,To support the provision of comprehensive health services and specifically to support staff to conduct community health education.
Rivera,APICHA Community Health Center,,133706365,5000,DHMH,Funds will support Apicha's programs and operations.
Ung,APICHA Community Health Center,Apicha Community Health Center - Council District 20,133706365,5000,DHMH,Funds will support operational costs and programming of the health center for Council District 20.
Marte,APICHA Community Health Center,Increasing Healthcare Access - Council District 1,133706365,5000,DHMH,"To support the provision of comprehensive health services, and specifically to support staff to conduct community health education."
Vernikov,"Apna Brooklyn Community Center, Inc.",,820706930,10000,DYCD,Funding to support general operating expenses for community programs and events.
Kagan,"Apna Brooklyn Community Center, Inc.",Legal Services - Council District 47,820706930,14000,DYCD,Funds will be used to provide social services to new immigrant and refugee population.
Williams,"Arab American Association of New York, Inc.",,113604756,5000,DYCD,Funding will be used to provide programing in Council District 27.
Aviles,"Arab American Association of New York, Inc.",Adult Education for MENA & AAPI Communities,113604756,20000,DYCD,"To support Adult Education Program, which includes ESOL classes, women’s empowerment groups, new workforce development program, and civics citizenship program."
Hanks,"Arab American Association of New York, Inc.",Council District 49,113604756,5000,DYCD,Funding will support victim services in the 49th Council District.
Kagan,"Arab American Association of New York, Inc.",Workforce Development Services,113604756,5000,DYCD,"Funds will be used to provide programs to develop skills such as resume-writing, interview preparation, and other relevant skills."
Krishnan,"Arab-American Family Support Center, Inc., The",,113167245,7500,DYCD,To fund administrative costs associated with anti-violence programming and services.
Farias,"Arab-American Family Support Center, Inc., The",Anti- Violence Programs - Council District 18,113167245,5000,DYCD,Funding to cover costs associated with anti-violence programming and services in Council District 18. Appendix B: Local Initiatives Page 32 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Caban,"Arab-American Family Support Center, Inc., The",Emergency Fund,113167245,6000,DYCD,"Funds will be used to support residents of District 22 with mental health support, SNAP benefits, food, clothing and referral services."
Nurse,"Arcturus Community Endeavors, Inc.",ACE Trainings & Outreach,871862399,10000,SBS,"Funds will support youth trainings, community outreach, and education to underserved small businesses in Council District 37."
Farias,"Ariva, Inc.",Council District 18,320028598,5000,DYCD,Funding to provide free income tax preparation in Council District 18.
Bottcher,"Ars Nova Theater I, Inc.",Greenwich House,800339038,5000,DCLA,Funds will support community engagement efforts including providing subsidized tickets to Off-Broadway productions for community members and co-producing the community’s annual Juneteenth Jubilee.
Marte,"Art Beyond Sight, Inc.",,133477104,5000,SBS,To support community training sessions in Manhattan for small businesses around ADA compliance and inclusion.
Menin,"Art Beyond Sight, Inc.",,133477104,5000,SBS,To provide assistance for small businesses within Council District 5.
Rivera,"Art Beyond Sight, Inc.",,133477104,5000,DCLA,Funds will support Art Beyond Sight's programs and operations.
Vernikov,"Art for Charity Association, Inc.",,822103220,8000,DYCD,Funds will be used for programs aimed at fighting anti-Semitism and social services for new refugees.
Kagan,"Art for Charity Association, Inc.",Educational Programs - Council District 47,822103220,12000,DYCD,Funds will be used for programs aimed at fighting anti-Semitism and social services for new refugees.
Hanks,"Art Lab, Inc.",Free Programs & Events,132977495,5000,DCLA,Funding will support community events in Council District 49.
Gennaro,"Art Transforms, Inc.",,814182354,5000,DYCD,"Funding to support expenses related to art exhibition including supplies, venue costs, entertainment and other expenses."
Gutierrez,"ArtBridge Projects, Inc.",Art Programs - Council District 34,611682898,5000,DCLA,Funding to support art programs in Council District 34.
Velazquez,Arthur Aviles Typical Theatre,,133997265,10000,DCLA,To provide arts programs through BAAD! to students in Council District 13.
Marte,Artists Alliance Inc.,,134058830,5000,DCLA,"Funds will be used to to support the Council District 1 in-school residency, an arts education program through which New York-based contemporary artists collaborate with Community School District 1 students."
Restler,"Artists In Residence, Inc.",Public Programs & Exhibitions - Council District 33,237343096,5000,DYCD,To support A.I.R. Gallery Free Arts Public Programs and Exhibitions in Council District 33.
Hanif,"Arts & Democracy, Inc.",,474287935,9500,DCLA,"To support staff and artist fees, materials, space, equipment and rentals."
Jordan,"Arts Business Collaborative, Inc.",,832173068,5000,DCLA,"Funds to support connecting POC to business resources to access capital, networks, and institutional knowledge."
Hudson,"Arts Business Collaborative, Inc.",ABC Help Desk - District 35,832173068,5000,DCLA,To fund the ABC Help Desk to support independent artists and nonprofits.
Marte,"Arts Connection, Inc., The",Council District 1,132953240,5000,DCLA,Support for an arts education program through which New York-based contemporary artists collaborate with Community Schools in Council District 1 students.
Rivera,"Arts for Art, Inc.",,133991848,5000,DCLA,Funds will support Arts for Art programs and operations.
Marte,"Arts for Art, Inc.",Council District 1,133991848,5000,DCLA,"To support low cost and free cultural programming in public and community spaces in Council District 1, as well as virtually."
Kagan,"Art's House Schools, Inc.",Dance Off the Streets (D.O.t.S.) - Council District 47,870790139,11000,DCLA,Funds will be use to engage the youth in the 47th Council District.
Brooks-Powers,"Arverne Church of God, Inc.",Doing Right Under Guidance and Supervision (D.R.U.G.S.) Program - Council District 31,113031878,10000,DYCD,Funding to support operational costs associated with Doing Right Under Guidance and Supervision (D.R.U.G.S.) program.
Osse,Asase Yaa Cultural Arts Foundation,,352381871,5000,DYCD,Funding to support AYCAF School of the Arts/ AYCAF Summer Youth Employment Initiative. Appendix B: Local Initiatives Page 33 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Gennaro,"Asian American Federation, Inc.",,133572287,12500,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Hanks,"Asian American Federation, Inc.",,133572287,5000,DYCD,"Funding will support the Empowering Futures: Advancing Justice, Equity, and Opportunity for Asian New Yorkers program in Council District 49."
Ung,"Asian American Federation, Inc.",AAPI Community Support,133572287,7000,DYCD,"To help support advocacy efforts and programming for Pan-Asian American groups, including direct services, technical assistance, professional development, research, and small business support."
Paladino,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,5000,DYCD,Funding will Support programs addressing anti-Asian hate and bias through Hope Against Hate Community Safety Programs.
Restler,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,5000,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Brewer,"Asian American Federation, Inc.",Building a Resilient Recovery for Asian New Yorkers,133572287,5000,DYCD,Funding will support building a resilient recovery for Asian New Yorkers programming and services.
Hudson,"Asian American Federation, Inc.",Empowering Futures,133572287,5000,DYCD,"To support programs addressing anti-Asian hate and bias including research, advocacy, and technical support."
Schulman,"Asian American Federation, Inc.","Empowering Futures: Advancing Justice, Equity & Opportunity - Asian New Yorkers",133572287,3000,DYCD,"To design services that address new or underserved needs in partnership with member and organizations. Recent examples are programs to combat anti-Asian hate, and the lack of culturally competent mental health resources in Council District 29."
Ung,Asian American Growth and Development Center,"Immigration Service Program, Cultural Program & Professional Service",882575402,5000,DYCD,"To support AAGDC programing for immigration, cultural, and professional services."
Krishnan,"Asian Americans For Equality, Inc.",,133187792,7500,DYCD,Funding will support program and operational cost for our Queens based programs in Jackson Heights and neighboring areas.
Powers,"Asian Americans For Equality, Inc.",,133187792,5000,SBS,Funding will support small business technical assistance and development services.
Rivera,"Asian Americans For Equality, Inc.",,133187792,5000,DYCD,Funds will support AAFE's programs and operations.
Gutierrez,"Asian Americans For Equality, Inc.",Business Development,133187792,5000,SBS,Funding to support business assistance and development services to small business owners and entrepreneurs.
Ung,"Asian Americans For Equality, Inc.",Queens Based Community Services - Council District 20,133187792,5000,DYCD,"To provide comprehensive housing and community services to residents living in Council District 20, including assistance with immigration, interpretation, consultation of housing rights, and entitlements."
Schulman,"Asian Americans For Equality, Inc.",Queens based Community Services - Council District 29,133187792,5000,DYCD,"Funds will be used to support Youth Program and participate in a rich and robust civic, volunteer, career and college counseling program for students residing in the Council District 29."
Speaker,"Asian Americans For Equality, Inc.",Small Business Assistance,133187792,50000,SBS,"Funds will support AAFE's housing, financial resources, and social services that assist residents and small businesses in the community."
Krishnan,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,8000,DYCD,Funds will be used to support the Asian American Student Advocacy Project (ASAP).
Schulman,"Asiyah Women's Center, Inc.",Mental Health Programs,832104070,3000,DYCD,"Expand mental health programming for domestic violence and gender-based violence survivors, particularly survivors from communities that have the greatest mental health disparities. Appendix B: Local Initiatives Page 34 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Menin,"Asphalt Green, Inc.",,136533158,10000,DPR,"To support the Big Swim, Sprinkler Day, Senior Day, and Snowman Showdown events."
Nurse,"Asphalt Green, Inc.",Community Programs - Council District 37,136533158,5000,DPR,Funds will support the continuation of the Recess Enhancement Program (REP) in Public School 376K and Public School 599K.
Stevens,"Asphalt Green, Inc.",Community Sports Leagues - Roberto Clemente State Park,136533158,5000,DYCD,Funds will support the Community Sports Leagues at Roberto Clemente State Park.
Powers,"Asphalt Green, Inc.","Recess Enhancement, Waterproofing & Community Sports Leagues",136533158,5000,DPR,"Funding will support Asphalt Green's Recess Enhancement Program (REP), Waterproofing Program, and Community Sports Leagues program (CSL)."
Krishnan,"Association of Community Employment Programs for the Homeless, Inc.",,133846431,5000,DYCD,Funding for workforce development and employment retention programs.
Moya,"Association of Community Employment Programs for the Homeless, Inc.",,133846431,50000,DYCD,To support supplemental clean up services in Council District 21.
Speaker,"Holden Association of Community Employment Programs for the Homeless, Inc.",,133846431,30000,DYCD,To provide Neighborhood cleaning and additional services in Council District 30.
Menin,"Association of Community Employment Programs for the Homeless, Inc.",Council District 5,133846431,5000,DYCD,To support local cleanup initiatives within Council District 5.
Speaker,"Schulman Association of Community Employment Programs for the Homeless, Inc.",Project Comeback,133846431,50000,DYCD,"Funds would support ACE's Project Comeback, a job-readiness training and placement program. Which includes OSHA certification, training in soft skills and general adult education, along with employment placement and assistance."
Narcisse,"Association of Community Employment Programs for the Homeless, Inc.",Workforce Outreach - Council District 46,133846431,5000,DYCD,"Funding to support presentations and workforce development programming in Council District 46 to those receiving services from treatment programs, shelters, community centers."
De La Rosa,"Association of Dominican Classical Artists, Inc.",Concert Series,133843597,20000,DCLA,To support ADCA's concert series in City College.
Abreu,"Association of Dominican Classical Artists, Inc.",The Conservancy - Council District 7,133843597,10000,DCLA,Funding to support the Washington Heights Community Conservatory of Fine Arts & A Celebration of Dominican Classical Artists Composers and Musicians Concert Series.
Vernikov,Association of East-European Jewry,,461135533,5000,DYCD,"Funds to organize events for Holocaust survivors and families through educational lectures, culture and history."
Kagan,Association of East-European Jewry,Anti-Semitism Program,461135533,5000,DYCD,The funds will be used to organize and conduct Annual Holocaust Remembrance Day in
Brooklyn,"Holocaust Park. Kagan Association of Holocaust Survivors from the Former Soviet Union, Inc.",Holocaust Survivors Programs,113395358,5000,DFTA,Funds will be used to host various Holocaust memorial meetings and celebrations of holidays.
Paladino,ASSOCIAZIONE SACCHESI D'AMERICA,Bocci Club,582684001,5000,DYCD,Funds will support the senior Bocci Ball club and help promote the sport.
Farias,Astor Services for Children & Families,Behavioral Health Resource Teams - Council District 18,141397918,15000,DHMH,Funding to support the Behavioral Health Response Team (BHRT) in Council District 18 schools.
Caban,"Astoria/Queens Share-ing and Care-ing, Inc.",Cancer Prevention Initiative,113220371,15000,DHMH,Funds will be used for a districtwide cancer prevention initiative.
Krishnan,"Astoria/Queens Share-ing and Care-ing, Inc.",Council District 25,113220371,5000,DHMH,"To support community outreach and education in Council District 25 as well as various education and supportive services for those diagnosed with cancer, including breast, colon and ovarian cancers."
Restler,Atlantic Avenue Association Local Development Corporation,Annual Atlantic Antic Festival - Council District 33,112786225,15000,DYCD,To support the Atlantic LDC work including Atlantic Antic Festival & programming in D33 NYCHA developments Appendix B: Local Initiatives Page 35 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Restler,"Atlantic Avenue District Management Association, Inc.",,454949226,5000,DYCD,"To support Atlantic Avenue beautification work, including tree maintenance."
Lee,"Autism Society Habilitation Organization, Inc.",,474857582,5000,DHMH,"Funding to support operational expense including supervision and consultation, parent training, professional development and workshops, distance consultation, advocacy and referral."
Bottcher,"Bailey House, Inc.",,133165181,7000,DHMH,Funds will support 24/7 services provided at Bailey-Holt House (BHH).
Brewer,"Bailey House, Inc.",Veterans Housing Project,133165181,5000,DHMH,Funds will support programming for the Veterans Housing Project
