member,organization,program,ein,amount,purpose
Velazquez,"Bronx Jewish Community Council, Inc.",Senior Services - Council District 13,132744533,8000,Funding will provide for case management and supportive services for seniors.
Sanchez,"BronxWorks, Inc.",Bailey Neighborhood Senior Center,133254484,17500,Funds will be used to enhance center activities including art and language classes as well as computer classes and legal services.
Feliz,"BronxWorks, Inc.",East Concourse Senior Center,133254484,20000,Funds will support the operations and programming at BronxWorks East Concourse Senior Center.
Stevens,"BronxWorks, Inc.",Heights Neighborhood Senior Center - Council District 16,133254484,10000,"Funds will support center activities including recreational trips, ESL classes, art and computer classes at BronxWorks Heights Neighborhood Senior Center."
Ayala,"BronxWorks, Inc.",Moore Senior Center,133254484,10000,"The Program's Community Food Tour series educates Mott Haven residents about farmers markets, grocery stores, and other food resources."
Sanchez,"BronxWorks, Inc.",Morris Innovative Senior Center,133254484,17500,Funds will be used to enhance center activities including art and language classes as well as computer classes and legal services.
Stevens,"BronxWorks, Inc.",NORC - River Park Towers - Council District 16,133254484,10000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers.
Stevens,"BronxWorks, Inc.",NORC - Woodstock Terrace - Council District 16,133254484,10000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at Woodstock Terrace.
Brannan,Brooklyn Academy of Music,,112201344,5000,Funds will be used to support BAM Senior and Education Programming.
Hudson,Brooklyn Academy of Music,Senior & Education Programming,112201344,9000,"Funding to support ElderPride, including programming and recreational services."
Louis,Brooklyn Academy of Music,Senior & Education Programming,112201344,6000,Funds will support senior programming for seniors in Council District 45.
Hanif,"Brooklyn Arts Council, Inc.",Council District 39,237072915,9500,Funding to support arts programming at senior centers located in Council District 39.
Louis,"Brooklyn Arts Council, Inc.",Council District 45,237072915,11000,Funds will be used to support arts programs and services for seniors in Council District 45 including Arts in Education programs.
Restler,Brooklyn Bureau of Community Services,Lifelong Enrichment Program - Council District 33,111630780,5000,To support services and activities to senior citizens in Council District 33 with developmental disabilities who are over age 50.
Narcisse,"Brooklyn Chinese-American Association, Inc.",Avenue U Senior Center,113065859,10000,Funding to support recreational and educational activities for seniors at Avenue U Senior Center. Page 3 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Yeger,"Brooklyn Chinese-American Association, Inc.",Bensonhurst Senior Center,113065859,7500,"Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center. Avilés"
Brooklyn,"Chinese-American Association, Inc.",Senior Services - Council District 38,113065859,20000,"The requested funds will go toward recreational and educational activities, monthly birthday parties as well as facility rental and insurance costs at our Sunset Park Senior Center and Sixth Avenue Senior Center."
Hudson,"Brooklyn Community Pride Center, Inc.",LGBTQ+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders),262214534,5000,"Funding to support ElderPride, LGBTQ+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders), including programming and recreational services."
Hudson,Brooklyn Defender Services,Civil Justice Program & Community Office - Council District 35,113305406,5000,Funding to support operational expenses of the Civil Justice Program for the senior population.
Adams,"Brooks Senior Center, Inc.",Senior Services,112329979,20000,Funds will support the Centers operational costs and programmatic needs.
Jordan,Calliope Creative Foundation,Theater in Harlem,134158092,25000,Funding to support the introduction of various theater arts/disciplines to black and latino youth; with activities/programming taking place within Council District 9.
Carr,Carmel Richmond Nursing Home,,132720248,6000,"Funds will support improved infection prevention and control measures in the nursing home, and partially support the salary of a nurse infection preventionist."
Menin,"Carnegie East House (Housing Development Fund Company, Inc.)",,133436898,5000,Funding will support nursing care including health monitoring and personal care.
Ayala,"Carter Burden Center for the Aging, Inc., The",Leonard Covello Senior Center,237129499,10000,"To provide funding for daily programming related to education, wellness, recreation, and free meals."
Powers,"Carter Burden Center for the Aging, Inc., The",Luncheon Club & Senior Program,237129499,5000,Funding will support the Carter Burden Luncheon Club and Senior program.
Vernikov,"Catholic Charities Neighborhood Services, Inc.",Bay Senior Center,112047151,5000,Funding to support operating and educational programming at Bay Senior Center.
Paladino,"Catholic Charities Neighborhood Services, Inc.",Bayside Senior Center,112047151,5000,"Funding will be used to support educational/recreational & health promotion activities, transportation services and to provide general support to program operation for the Bayside Senior Center in Council District 19. Cabán Catholic Charities Neighborhood Services, Inc. - Dellamonica Senior Center"
,"Funding will be used to support educational/recreational & health promotion activities, transportation services and to provide general support to program operation for the Bayside Senior Center in Council District 19. Cabán Catholic Charities Neighborhood Services, Inc.",Dellamonica Senior Center,112047151,30000,Funds will be used to defray the cost of operating the Dellamonica Senior Center in Astoria.
Louis,"Catholic Charities Neighborhood Services, Inc.",Glenwood Senior Center,112047151,10000,"Funds will be utilized to support CNS Glenwood Senior Center to enhance and subsidize the services due to increased needs of the elderly as well as educational/recreational & health promotion activities, enhance virtual program."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Howard Beach Senior Center,112047151,7000,"Funds will support the general operations of the Howard Beach Senior Center, as well as the Center's educational, recreational, health and other programs, including transportation needs for seniors."
Restler,"Catholic Charities Neighborhood Services, Inc.",Northside Senior Center,112047151,5500,To support the CCNS Northside Senior Center.
Adams,"Catholic Charities Neighborhood Services, Inc.",Ozone Park Older Adult Center,112047151,5000,"Funds will support educational, recreational and wellness activities for the seniors and to assist with the general costs of the center's operation. Page 4 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Ariola,"Catholic Charities Neighborhood Services, Inc.",Ozone Park Senior Center,112047151,7000,"Funds will support the Ozone Park Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Restler,"Catholic Charities Neighborhood Services, Inc.",Pete McGuinness Older Adult Center,112047151,5500,To support the CCNS Pete McGuinness Senior Center.
Ariola,"Catholic Charities Neighborhood Services, Inc.",Seaside Senior Center,112047151,7000,"Funds will support the Seaside Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Lee,"Catholic Charities Neighborhood Services, Inc.",Senior Programming,112047151,26250,"Funds are to be used for Council District 23 seniors, specifically in support of educational and health promotion activities and to subsidize increased meals cost and transportation and to provide general support to program operations."
Restler,"Catholic Charities Neighborhood Services, Inc.",St. Charles Jubilee Older Adult Center,112047151,5500,To support CCNS St. Charles Jubilee Senior Center.
Narcisse,"Catholic Charities Neighborhood Services, Inc.",The Bay Older Adult Center,112047151,15000,"Funding to support senior programming, services and activities in Council District 46 at Bay Older Adult Center."
Ariola,"Catholic Charities Neighborhood Services, Inc.",Woodhaven- Richmond Hill Senior Center,112047151,7000,"Funds will support the Woodhaven-Richmond Hill Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations."
Hanks,Catholic Charities of Staten Island,Anderson Neighborhood Senior Center,135562286,10000,Funding to support costs associated with programming and senior services.
Carr,Catholic Charities of Staten Island,Anderson Neighborhood Senior Center/CYO Program,135562286,10000,Funds will be used for supplies and operating costs for all program services.
Hanks,Catholic Charities of Staten Island,West Brighton Senior Center,135562286,5000,Funds will support activities at the West Brighton Senior Center.
Farias,"CenterLight Health System, Inc.",,133323765,10000,"Funds will be used to provide services for Council District 18 Seniors at PEP Center, including but not limited to activities, trips, monthly birthday celebrations, holiday events. Cabán Central Astoria Local Development Coalition, Inc. - Senior Services"
,"Funds will be used to provide services for Council District 18 Seniors at PEP Center, including but not limited to activities, trips, monthly birthday celebrations, holiday events. Cabán Central Astoria Local Development Coalition, Inc.",Senior Services,112652331,7000,Funds will be used to provide counseling and case work assistance to local seniors.
Ariola,"CHAZAQ Organization USA, Inc.",Senior programming,462148352,10000,Funds will be used for senior programming throughout Council District 32.
Vernikov,"Children of World War II from the Former Soviet Union, Inc.",,275377248,5000,"Funding to support programming and activities for seniors including cultural excursions, computer training, and health lectures for seniors."
Narcisse,"Chinese American Planning Council, Inc.",,136202692,10000,"Funding to provide culturally responsive outreach, services and recreationally activities to seniors in the 46th Council District. Avilés Chinese American Planning Council, Inc. - Brooklyn Senior Services - Council District 38"
,"Funding to provide culturally responsive outreach, services and recreationally activities to seniors in the 46th Council District. Avilés Chinese American Planning Council, Inc.",Brooklyn Senior Services - Council District 38,136202692,45000,"Funding to support CPC Brooklyn Senior Center; including case assistance, support services, ESL classes, exercise activities, arts and culture activities, and recreation programming for seniors."
Ung,"Chinese American Planning Council, Inc.",Nan Shan Senior Citizens Center,136202692,19000,"To support the Nan Shan Senior Center, including congregate lunch, case assistance, support services, educational and recreational programming for seniors, and for other programmatic costs, including technology. Page 5 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Brannan,CityMeals on Wheels,,133634381,5000,Funding to support Meals on Wheels programming and services in Council District 43.
Powers,CityMeals on Wheels,,133634381,5000,Funding will support nutritious meals to homebound elderly in Council District 4.
Brooks-Powers,CityMeals on Wheels,Council District 31,133634381,5000,Funding will provide emergency meals to Council District 31 residents in specific localized emergencies or city-wide crises.
Narcisse,CityMeals on Wheels,Emergency Meals,133634381,5000,Funding to support providing meals to seniors in Council District 46.
Ayala,CityMeals on Wheels,Homebound Meals,133634381,5000,To provide funding for the delivery of fresh produce to homebound elderly.
Hanif,Coalition of Institutionalized Aged and Disabled,Council District 39,133124614,5000,"To support advocacy, educational and organizing services to the residents of adult and nursing homes."
Borelli,"Community Agency for Senior Citizens, Inc.",,133263537,5000,Funds will support transportation and services for seniors in Council District 51.
Hanks,"Community Agency for Senior Citizens, Inc.",Cassidy Coles Older Adult Center,133263537,10000,Funds will be used to provide services and support to Cassidy Coles Older Adult Center.
Hanks,"Community Agency for Senior Citizens, Inc.",New Lane Older Adult Center,133263537,10000,Funds will supplement services at New Lane Older Adult Center.
Williams,"Community Bridge Home, Inc.",,113192295,5000,"Funding will cover costs associated with teaching intermediate bridge, providing dance and exercise classes."
Powers,Community Service Society of New York,,135562202,5000,Funding will support the retired and senior volunteer program for older adults in Council District 4.
Carr,Community Service Society of New York,AmeriCorps Seniors RSVP Program,135562202,5000,Funds will support programmatic and operating costs of the AmeriCorps Seniors RSVP program in Staten Island.
Moya,Corona Congregational Church,Florence E Smith Senior Center,111802803,20000,Funding to be used to support the Florence E Smith Senior Center for residents of Council District 21.
Feliz,"Council of Belmont Organizations, Inc.",Public Benefits Support,132755323,30000,"Funds will support COBO'S senior assistance programming, including filing paperwork for public benefits."
Louis,"Council of Jewish Organizations of Flatbush, Inc.",Elder Abuse Prevention,112864728,5000,"Funds will support COJO service in Council District 45 for immigrant seniors, providing them with assistance to complete applications to obtain permanent residence and citizenship, work permits, adjustments of immigrant status, and fee waiver."
Louis,"Council of Peoples Organization, Inc.",,753046891,7000,Funds will support senior programming in Council District 45.
Hanif,"Council of Peoples Organization, Inc.",Council District 39,753046891,7000,Funding to support general operating and programming costs.
Brewer,"Council of Senior Centers and Services of NYC, Inc.",Rights & Information for Senior Empowerment,132967277,5000,"Funding will support Rights & Information for Senior Empowerment programming and services. Ossé Crown Heights Jewish Community Council, Inc."
,"Funding will support Rights & Information for Senior Empowerment programming and services. Ossé Crown Heights Jewish Community Council, Inc.",,237390996,10000,Funding will be used to support senior services and food pantry.
Hudson,"Crown Heights Jewish Community Council, Inc.",Senior Programs - Council District 35,237390996,30000,"Funding to support senior services; including crisis intervention, crime victim assistance, employment assistance, access to entitlements, health insurance information, food stamps enrollment, or housing-related services. Page 6 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Joseph,Crown Heights Preservation Committee Corporation,,112322490,22000,"Funds will support senior exercise classes, as well as staff salaries, supplies, arts and crafts and meals on wheels."
Hudson,Crown Heights Preservation Committee Corporation,Shalom Senior Center,112322490,15000,"Funding to promote Shalom Senior Center activities such as English Second Language (ESL), fitness classes, arts and crafts and to defray costs of wheel chair accessible bus."
Mealy,Crown Heights Preservation Committee Corporation,Shalom Senior Center,112322490,10000,Funds will enhance programs and support Shalom Senior Center expenses.
Nurse,"Cypress Hills Fulton Street Senior Citizens Center, Inc.",,112297647,50000,"Funds will go to operational support for NYC Department for the Aging mandated services, health promotion and exercise, technology, insurance and supplemental staff expenses."
Bottcher,"Dances for a Variable Population, Inc.",,264572204,8000,"To fund citywide Senior Dance and Community Cultural Initiative taking place in four boroughs and eleven Council Districts, including Council District 3."
Hanif,"Dances for a Variable Population, Inc.",Eileen Dugan Senior Center,264572204,1750,"Funds will support Dances for Seniors- workshop/performances will be offered at Eileen Dugan (380 Court Street, Brooklyn, NY, 11231) during October - December 2022 serving 30-75 seniors in the Council District 39.."
Hanif,"Dances for a Variable Population, Inc.",Park Slope Senior Center,264572204,1750,Funds will support Dances for Seniors - workshop/performances will be offered at Park Slope Senior Center during October - December 2022 serving 30-75 seniors in the Council District 39.
Marte,"Dances for a Variable Population, Inc.",Senior Dance & Community Wellness Initiative,264572204,7000,To support resources and staff for free community dance workshop and performance event in Washington Square Park and free dance workshops at Mott Street Senior Center.
Hanks,Department for the Aging,,136400434,5000,Funds will be used to support programs in Council District 49.
Hanks,Department for the Aging,,136400434,10000,Funds will be used to support programs in Council District 49.
Holden,Department for the Aging,,136400434,5000,Funds will support programming and services in Council District 30.
Yeger,Department for the Aging,,136400434,3500,"Funds will be used for aging programming and services in the 44th Council District. Ossé Digital Girl, Inc."
,"Funds will be used for aging programming and services in the 44th Council District. Ossé Digital Girl, Inc.",,472288307,10000,Funding for senior services and Age Friendly programming.
Joseph,"Dorchester Senior Citizens Center, Inc.",,112305581,22000,"Funds will be used to support the nutrition lunch program, and the educational, recreational, arts, cultural and technology programming as well as senior supportive services."
Brewer,"DOROT, Inc.",,133264005,10000,Funds will be used to provide programming and services to alleviate isolation of vulnerable older adults.
Powers,"DOROT, Inc.",,133264005,5000,Funding will support DOROT's Homelessness Prevention Program which responds to the needs of underserved homeless New York City seniors in Council District 4.
Abreu,"DOROT, Inc.",Council District 7,133264005,7500,"Funding to support programming to alleviate isolation of vulnerable older adults in Council District 7. Page 7 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds Cabán East River Development Alliance, Inc. - Senior Services @ Astoria Houses"
,Funding to support programming to alleviate isolation of vulnerable older adults in Council District 7. Page 7 Appendix A: Aging Discretionary Council Member Legal Name of Organization,"Program Name Tax ID Amount Purpose of Funds Cabán East River Development Alliance, Inc. - Senior Services @ Astoria Houses",861096987,20000,"Funds will be used to provide assistance to local seniors at NYCHA Astoria Houses in the form of workforce development workshops, assistance in navigating public benefits, financial counseling, and free tax preparation assistance."
Ayala,"East Side House, Inc.",Patterson Senior Center,131623989,15000,To provide funding for enrichment programming and services at Patterson Senior Center.
Rivera,"Educational Alliance, Inc., The",Sirovich Center,135562210,15000,Funds will support Sirovich Senior Center's programs and operations.
Marte,"Educational Alliance, Inc., The",Weinberg Center for Balanced Living,135562210,18000,Funding will support Weinberg Center for Balanced Living.
Borelli,Eger Health Care and Rehabilitation Center,,133524533,17500,Funds will support Better Life More Living Programming and Services
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 1,112224539,30000,To support the senior center Golden Phoenix Club 1.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 2,112224539,30000,To support the senior center Golden Phoenix Club 2.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 3,112224539,30000,To support the senior center Golden Phoenix Club 3.
Won,Emerald Isle Immigration Center,Senior Services,112932528,10000,"Funding to support the Extended Services program including immigration legal support, mental health screening, insurance enrollment assistance, benefits screenings, and case management/counseling."
Bottcher,Encore Community Services,,133104293,9500,Funding to support Senior Home Delivered Meals.
Kagan,"Federation of Italian American Organizations of Brooklyn, Ltd.",Community Center Program Services for Older Adults,112507910,10000,"Funds will be used for community members to take part in health wellness activities, chair yoga, dance, tai-chi, swimming, book clubs, support groups, as well as enjoy a meal."
Joseph,"Fenimore Senior Center, Inc.",,112772287,22000,"Funds will support arts & crafts, wellness seminars, and senior center expenses."
Bottcher,"Find Aid for the Aged, Inc.",,132666921,10000,"To fund programming in all centers for homeless, marginally housed and/or poverty- stricken throughout New York City."
Brewer,"Find Aid for the Aged, Inc.",Hamilton Older Adult Center - Project FIND Older Adult Classes,132666921,10000,Funds will support Project FIND Older Adult Classes and Activities at Hamilton Older Adult Center.
Louis,"Flatbush Shomrim Safety Patrol, Inc.",,203244567,7000,"Funds will support FSSP programs in Council District 45 for elderly constituents. Activities include elderly assistance, biased crime, anti-terrorism awareness, medical awareness programs, 24X6 patrol to assist all emergencies for elderly."
Vernikov,"Flatbush Shomrim Safety Patrol, Inc.",,203244567,10000,"Funding to support assistance services for various emergencies associated with seniors. Ossé Fort Greene Council, Inc. - Albany Older Adult Club"
,"Funding to support assistance services for various emergencies associated with seniors. Ossé Fort Greene Council, Inc.",Albany Older Adult Club,112300840,5000,Funding for Albany Older Adult Club programming.
Mealy,"Fort Greene Council, Inc.",Christopher Blenman Older Adult Club (OAC),112300840,15000,"Funds will be used to enhance virtual senior programming, Health and Wellness, Educational, and Recreational activities."
Louis,"Fort Greene Council, Inc.",Clarendon Road Church Senior Programing - Council District 45,112300840,20000,"Funds will be used to support Senior Programming for seniors at Clarendon Road Church . Page 8 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds Ossé Fort Greene Council, Inc. - Grant Square Older Adult Club (OAC)"
,Funds will be used to support Senior Programming for seniors at Clarendon Road Church . Page 8 Appendix A: Aging Discretionary Council Member Legal Name of Organization,"Program Name Tax ID Amount Purpose of Funds Ossé Fort Greene Council, Inc. - Grant Square Older Adult Club (OAC)",112300840,5000,Funds will support Grant Square Older Adult Club (OAC) programming and services.
Mealy,"Fort Greene Council, Inc.",Hugh Gilroy Older Adult Club (OAC),112300840,10000,"Funds will be used to enhance virtual senior programming; Health and Wellness, Educational, and Recreational activities."
Mealy,"Fort Greene Council, Inc.",Marcus Garvey Older Adult Club,112300840,25000,"Funds will be used to enhance virtual and in-person senior programming; Health and Wellness, Educational, and Recreational activities, office supplies, Educational trips to Museums, NYC trips. Ossé Fort Greene Council, Inc. - Maria Lawton Older Adult Club (OAC)"
,"Funds will be used to enhance virtual and in-person senior programming; Health and Wellness, Educational, and Recreational activities, office supplies, Educational trips to Museums, NYC trips. Ossé Fort Greene Council, Inc.",Maria Lawton Older Adult Club (OAC),112300840,5000,Funds will support Maria Lawton Older Adult Club (OAC) programming and services.
Hudson,"Fort Greene Council, Inc.",Senior Programming @ Grace Agard,112300840,8000,Funding to support virtual senior programming and other general operating expenses.
Hudson,"Fort Greene Council, Inc.",Senior Programming @ Willoughby,112300840,8000,Funding to support virtual senior programming and other general operating expenses.
Mealy,"Fort Greene Council, Inc.",Seth Low Senior Club,112300840,20000,"Funds will be used to enhance virtual and in-person programming; Health and Wellness, Educational, and Recreational activities. Older adults Educational trips, including one Spirit of NY educational trip. Ossé Fort Greene Council, Inc. - Stuyvesant Heights Older Adult Club"
,"Funds will be used to enhance virtual and in-person programming; Health and Wellness, Educational, and Recreational activities. Older adults Educational trips, including one Spirit of NY educational trip. Ossé Fort Greene Council, Inc.",Stuyvesant Heights Older Adult Club,112300840,5000,Funds will support Stuyvesant Heights Older Adult Club programming and services.
Barron,"Fort Greene Council, Inc.",Teresa Moore Senior Center,112300840,24900,Funding to support operating expense costs for senior programming at Teresa Moore Senior Center.
Powers,"Fund for the City of New York, Inc.",Stonewall Community Development Corporation,132612524,5000,Funding will support the LGBTQ Stonewall Village Senior Housing Project.
Ariola,"Giving Alternative Learners Uplifting Opportunities, Inc.",,050615968,5000,Funds will support equestrian lessons and therapeutic riding for older adults.
Brewer,Goddard Riverside Community Center,Lincoln Square Neighborhood Center - Adult Center,131893908,20000,Funds will be used for Adult Center at Lincoln Square Neighborhood Center.
Brewer,Goddard Riverside Community Center,W 88th St Senior Center,131893908,20000,Funds support programming at W 88th St Senior Center.
Stevens,"God's Love We Deliver, Inc.",Home-Delivered Meals - Council District 16,133366846,10000,"Funds will be used to support the provision of home-delivered meals to seriously ill people, their children (to age 18) and their senior caregivers in Council District 16."
Rivera,"Grand Street Settlement, Inc.",Senior Services,135562230,20000,Funds will support Grand Street Settlement's senior programs in Council District 2.
Brooks-Powers,Greater Bethel Community Development Corporation,Council District 31,320000557,10000,The funding will support district based senior services in Council District 31.
Bottcher,"Greenwich House, Inc.",,135562204,3000,Funding to support The Daily Money Management to help seniors remain in stable financial condition.
Marte,"Greenwich House, Inc.",Center on the Square Older Adult Center,135562204,5000,"Funding will support Greenwich House’s capacity to continue to provide a comprehensive range of social, cultural, and wellness services at the Center on the Square Older Adult Center. Page 9 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Marte,"Greenwich House, Inc.",Independence Plaza Older Adult Center,135562204,5000,"Funding to provide a comprehensive range of social, cultural, and wellness services at the Independence Plaza Older Adult Center."
Marte,"Greenwich House, Inc.",Music School Older Adult Choral & Songwriting Classes,135562204,5000,"Funding will be used to cover program costs associated with the Music School, including teachers and supplies."
Hudson,"GRIOT Circle, Inc.",Health & Wellness - District 35,113364328,10000,"Funds will support GRIOT’s core programs, including the Buddy 2 Buddy peer caregiver program for LGBTQ elders of color."
