member,organization,program,ein,amount,agency,purpose
Powers,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,Funding will support El Museo's bilingual partnership program at a school in Council District 4. Page 31 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Ayala,"Amigos Del Museo Del Barrio, Inc.",Community Engagement & Programming - Council District 8,237156720,5000,DCLA,To provide funding for El Museo's local community engagement and educational activities.
Narcisse,"Amity Little League, Inc.",Baseball Program,112705385,5000,DYCD,"Funding to support operational expenses including purchasing baseball equipment, field maintenance, utilities and insurance costs"
Gennaro,"Amudim Community Resources, Inc.",,470984801,5000,MOCJ,"Funding will help cover the cost of an additional case manager providing comprehensive case management for issues relating to drugs, mental health and sexual abuse."
Powers,"An Claidheamh Soluis, Inc.",Irish Arts Center,510244834,5000,DCLA,Funding will support programming and events at the Irish Arts Center.
Bottcher,Animal Care and Control of New York City,,133788986,5000,DHMH,Funding to support the Surrender Prevention program which provides residents with free one-on-one education and resources.
Moya,Animal Care and Control of New York City,,133788986,20000,DHMH,"Funding to support spay and neuter clinics, vaccination clinics, and adoption events in Council District 21."
Holden,Animal Care and Control of New York City,Animal Care,133788986,10000,DHMH,"Funds to be used for adoption events, animal rescue, wellness clinics and spay/neuter in Council District 30."
Louis,Animal Care and Control of New York City,Council District 45,133788986,2500,DHMH,Funds will support various services/programs of the ACC.
Kagan,Animal Care and Control of New York City,Council District 47,133788986,5000,DYCD,"Funding would be utilized for day to day operations of Surrender Prevention, to assist clients in need in keeping their beloved pets healthy and at home for life."
Paladino,Animal Care and Control of New York City,Surrender Prevention & Community Events,133788986,7500,DHMH,Funds will support Keeping Families Together: Surrender Prevention and Community Pets programming and services.
Marte,"Anne Frank Center USA, Inc., The",School Programs - Council District 1,132991719,5000,DCLA,Funds will be used to support the residency programs held at schools in District 1.
Hanif,"Annual Gowanus Artists Studio Tour, Inc.",,753192120,5000,DYCD,"Funding to support staff and outreach to promote art events in Gowanus including ""Gowanus Open Studios"" and/or other events where the public has an opportunity to interact with art."
Restler,"Annual Gowanus Artists Studio Tour, Inc.",Open Studios,753192120,5000,DYCD,"To support the Gowanus Open Studios program. Cabán Ansob Center for Refugees, Inc. - Immigration Legal Services"
,"To support the Gowanus Open Studios program. Cabán Ansob Center for Refugees, Inc.",Immigration Legal Services,113534833,25000,DYCD,Funding will be used to provide counseling to immigrant and refugee communities in Council District 22.
Krishnan,APICHA Community Health Center,,133706365,9000,DHMH,To support the provision of comprehensive health services and specifically to support staff to conduct community health education.
Rivera,APICHA Community Health Center,,133706365,5000,DHMH,Funds will support Apicha's programs and operations.
Ung,APICHA Community Health Center,Apicha Community Health Center,133706365,5000,DHMH,Funds will support operational costs and programming of the health center for CD 20.
Marte,APICHA Community Health Center,Increasing Healthcare Access - Council District 1,133706365,5000,DHMH,"To support the provision of comprehensive health services, and specifically to support staff to conduct community health education."
Speaker,"Kagan, Vernikov Apna Brooklyn Community Center, Inc.",,820706930,100000,DYCD,"Funding will assist residents including seniors, isolated by low income, disabilities and language barriers, to access mainstream benefits, respond to crisis situations and access services provided by the city agencies and community partners."
Vernikov,"Apna Brooklyn Community Center, Inc.",,820706930,10000,DYCD,Funding to support general operating expenses for community programs and events.
Kagan,"Apna Brooklyn Community Center, Inc.","Food Pantries, Access to Critical Services for Seniors & Case Management",820706930,20000,DYCD,"Funding will assist residents including seniors, those isolated by low-income, disabilities and language barriers, to access mainstream benefits, respond to crisis situations and access services Page 32 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Abreu,"Apollo Theater Foundation, Inc.",,133630066,5000,DCLA,Funding to support Apollo Theater Education Programs for students/schools in Council District 7.
Brannan,"Arab American Association of New York, Inc.",,113604756,10000,DYCD,"Funding to support AAANY Youth Program and Arab American Bazaar. Avilés Arab American Association of New York, Inc. - Combating Domestic Violence & Sexual Assault in MASA Communities - Council District 38"
,"Funding to support AAANY Youth Program and Arab American Bazaar. Avilés Arab American Association of New York, Inc.",Combating Domestic Violence & Sexual Assault in MASA Communities - Council District 38,113604756,25000,MOCJ,"Funding to support one-on-one case management and counseling, robust community education, and the facilitation of support groups for young women and survivors of domestic and intimate partner violence."
Farias,"Arab-American Family Support Center, Inc., The",,113167245,5000,MOCJ,To fund costs associated with anti-violence programming and services in Council District 18.
Krishnan,"Arab-American Family Support Center, Inc., The",,113167245,7500,MOCJ,To fund administrative costs associated with anti-violence programming and services.
Speaker,"Krishnan Arab-American Family Support Center, Inc., The",,113167245,80000,DYCD,To provide funding to support the SNAP Enrollment and Healthcare Access Programs.
Restler,"Arab-American Family Support Center, Inc., The",Adult Education & Literacy - Council District 33,113167245,7500,DYCD,To support the Adult Education and Literacy program in Council District 33.
Joseph,"Arab-American Family Support Center, Inc., The",Council District 40,113167245,5000,DYCD,"Funding will support operating expenses, including staff support, educational materials/supplies, and events/activities for Council District 40. Cabán Arab-American Family Support Center, Inc., The - Emergency Fund"
,"Funding will support operating expenses, including staff support, educational materials/supplies, and events/activities for Council District 40. Cabán Arab-American Family Support Center, Inc., The",Emergency Fund,113167245,6000,DYCD,"Funds will be used to support the Emergency Fund which will provide food, clothing and referral services for residents of Queens."
Farias,"Ariva, Inc.",,320028598,5000,DYCD,Funds will be used to support free in-person income tax assistance to low-income individuals and families in Council District 18.
Bottcher,"Ars Nova Theater I, Inc.",,800339038,3500,DCLA,Funding to support Greenwich House Night.
Marte,"Art Beyond Sight, Inc.",,133477104,5000,SBS,To support community training sessions in Manhattan for small businesses around ADA compliance and inclusion.
Rivera,"Art Beyond Sight, Inc.",,133477104,5000,DYCD,Funds will support Art Beyond Sight's programs and operations.
Kagan,"Art for Charity Association, Inc.",Programs to Fight Hate,822103220,10000,DYCD,"Funds will be used to create Programs for Holocaust Survivors and educational programs aimed to fight antisemitism. Cabán Art House Astoria Conservatory for Music and Art, Inc. - Council District 22 Participatory Budgeting - Art House Astoria"
,"Funds will be used to create Programs for Holocaust Survivors and educational programs aimed to fight antisemitism. Cabán Art House Astoria Conservatory for Music and Art, Inc.",Council District 22 Participatory Budgeting - Art House Astoria,270940116,5000,DCLA,"Funds will support a series of pop-up art, music, and/or theater classes at local Astoria Parks/Playgrounds."
Hanks,"Art Lab, Inc.",Free Programs & Events,132977495,5000,DCLA,Funding will support the arts in Council District 49.
Gennaro,"Art Transforms, Inc.",,814182354,5000,DYCD,"Funding to support expenses related to art exhibition including supplies, venue costs, and other expenses."
Velazquez,Arthur Aviles Typical Theatre,,133997265,8000,DCLA,"Funding will support arts and dance programs specifically geared toward women, people of color, the LGBTQ community and young people."
Marte,Artists Alliance Inc.,,134058830,5000,DCLA,"Funds will be used to to support the Council District 1 in-school residency, an arts education program through which New York-based contemporary artists collaborate with Community School District 1 students."
Restler,"Artists In Residence, Inc.",Public Programs & Exhibitions - Council District 33,237343096,5000,DYCD,To support A.I.R. Gallery Free Arts Public Programs and Exhibitions in Council District 33.
Hanif,"Arts & Democracy, Inc.",,474287935,9500,DCLA,"Funds will be used to support arts and culture as an integral part of just, equitable, and engaged communities."
Hudson,"Arts Business Collaborative, Inc.",ABC Help Desk - District 35,832173068,5000,DCLA,To fund the ABC Help Desk to support independent artists and nonprofits.
Marte,"Arts Connection, Inc., The",Council District 1,132953240,5000,DCLA,Support for an arts education program through which New York-based contemporary artists collaborate with Community Schools in District 1 students.
Rivera,"Arts for Art, Inc.",,133991848,5000,DCLA,Funds will support Arts for Art programs and operations. Page 33 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Marte,"Arts for Art, Inc.",Council District 1,133991848,5000,DCLA,"To support low cost and free cultural programming in public and community spaces in Council District 1, as well as virtually."
Kagan,"Art's House Schools, Inc.",Council District 47,870790139,12000,DCLA,Funds will be use to engage the youth in the 47th Council District.
Brooks-Powers,"Arverne Church of God, Inc.",Doing Right Under Guidance and Supervision (D.R.U.G.S.) program - Council District 31,113031878,10000,DYCD,Funding to support operational costs associated with Doing Right Under Guidance and Supervision (D.R.U.G.S.) program. Ossé Asase Yaa Cultural Arts Foundation
,Funding to support operational costs associated with Doing Right Under Guidance and Supervision (D.R.U.G.S.) program. Ossé Asase Yaa Cultural Arts Foundation,,352381871,10000,DCLA,Funding for the Bed Stuy Arts Festival.
Ung,"Asian American Cohesion, Inc.",Community Safety and Cleanup Programs - Council District 20,863828696,5000,DYCD,Funding will support civic education and community patrol programs in Council District 20.
Gennaro,"Asian American Federation, Inc.",,133572287,12500,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Hanks,"Asian American Federation, Inc.",,133572287,5000,DYCD,Fund will serve to assist Asian Americans residents in Council District 49.
Lee,"Asian American Federation, Inc.",,133572287,7500,SBS,To support strengthening Asian American nonprofits through technical assistance.
Speaker,"BLAC, Hanif, Krishnan, Lee, Schulman, Ung Asian American Federation, Inc.",,133572287,200000,DYCD,Funds would support AAF's programming in Research; Advocacy; Direct Services; and Technical Assistance.
Ung,"Asian American Federation, Inc.",AAPI Community Support,133572287,7000,DYCD,"To help support advocacy efforts and programming for Pan-Asian American groups, including direct services, technical assistance, professional development, research, and small business support."
Schulman,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,3000,DYCD,"To design services that address new or underserved needs in partnership with member and organizations. Recent examples are programs to combat anti-Asian hate, and the lack of culturally competent mental health resources in Council District 29."
Paladino,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,7500,DYCD,Funding will Support programs addressing anti-Asian hate and bias through Hope Against Hate Community Safety Programs.
Restler,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,5000,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Brewer,"Asian American Federation, Inc.",Building A Resilient Recovery for Asian New Yorkers,133572287,5000,DYCD,Funding will support Building A Resilient Recovery for Asian New Yorkers programming and services.
Hudson,"Asian American Federation, Inc.",Resilient Recovery for Asian New Yorkers,133572287,8000,DYCD,To support programs addressing anti-Asian hate and bias through Hope Against Hate Community Safety Programs.
Krishnan,"Asian Americans For Equality, Inc.",,133187792,7500,DYCD,Funding will support program and operational cost for our Queens based programs in Jackson Heights and neighboring areas.
Lee,"Asian Americans For Equality, Inc.",,133187792,10000,DYCD,Funds will be used to support AAFE Community Services in Council District 23.
Powers,"Asian Americans For Equality, Inc.",,133187792,5000,SBS,Funding will support small business technical assistance and development services.
Rivera,"Asian Americans For Equality, Inc.",,133187792,5000,DYCD,"Funds will support AAFE's programs and operations. Gutiérrez Asian Americans For Equality, Inc. - Business Development & Social Services"
,"Funds will support AAFE's programs and operations. Gutiérrez Asian Americans For Equality, Inc.",Business Development & Social Services,133187792,5000,SBS,Funding to support business assistance and development services to small business owners and entrepreneurs; and support community social service programming.
Ayala,"Asian Americans For Equality, Inc.",East Harlem Asian Produce Pantry,133187792,10000,DYCD,To support the food pantry. Page 34 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Ung,"Asian Americans For Equality, Inc.",Queens Based Community Services - Council District 20,133187792,5000,DYCD,"To provide comprehensive housing and community services to residents living in Council District 20, including assistance with immigration, interpretation, consultation of housing rights, and entitlements."
Schulman,"Asian Americans For Equality, Inc.",Queens based Community Services - Council District 29,133187792,5000,DYCD,"Funds will be used to support Youth Program and participate in a rich and robust civic, volunteer, career and college counseling program for students residing in the Council District 29."
Krishnan,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,8000,DYCD,Funds will be used to support the Asian American Student Advocacy Project (ASAP).
Speaker,"Brannan, Brooklyn, Hanif Asiyah Women's Center",,822712941,75000,DYCD,"Funding will expand the number of clients sheltered, allow for hiring of key staff members, and ESL courses, depression support groups, job-readiness and placement programming, and food pantry."
Menin,"Asphalt Green, Inc.",,136533158,10000,DPR,"To support the Big Swim, Sprinkler Day, Senior Day, and Snowman Showdown events."
Speaker,"Menin, Powers Asphalt Green, Inc.",,136533158,75000,DPR,"Funding will support Asphalt Green's Recess Enhancement Program (REP), Waterproofing Program and Community Sports Leagues (CSL)."
Nurse,"Asphalt Green, Inc.",Community Programs - Council District 37,136533158,5000,DPR,Funds will support the continuation of the Recess Enhancement Program (REP) in Public School 376K and Public School 599K.
Stevens,"Asphalt Green, Inc.",Community Sports Leagues - Roberto Clemente State Park,136533158,5000,DPR,Funds will support the Community Sports Leagues at Roberto Clemente State Park.
Powers,"Asphalt Green, Inc.","Recess Enhancement, Waterproofing & Community Sports Leagues",136533158,5000,DPR,"Funding will support Asphalt Green's Recess Enhancement Program (REP), Waterproofing Program, and Community Sports Leagues program (CSL)."
Moya,"Association of Community Employment Programs for the Homeless, Inc.",,133846431,50000,DYCD,To support supplemental clean up services in Council District 21.
Velazquez,"Association of Community Employment Programs for the Homeless, Inc.",,133846431,22300,DYCD,Funds will provide cleanup services in Council District 13.
Holden,"Association of Community Employment Programs for the Homeless, Inc.",Cleanup Services - Council District 30,133846431,25000,DYCD,"Funding to support Clean up services of business sectors in Council District 30. Ossé Association of Community Employment Programs for the Homeless, Inc. - Council District 36"
,"Funding to support Clean up services of business sectors in Council District 30. Ossé Association of Community Employment Programs for the Homeless, Inc.",Council District 36,133846431,10000,DYCD,Funding for sanitation services along Lewis Avenue.
Menin,"Association of Community Employment Programs for the Homeless, Inc.",Council District 5,133846431,5000,DYCD,"To support local cleanup initiatives within Council District 5. Cabán Association of Community Employment Programs for the Homeless, Inc. - Neighborhood Cleanup"
,"To support local cleanup initiatives within Council District 5. Cabán Association of Community Employment Programs for the Homeless, Inc.",Neighborhood Cleanup,133846431,8500,DYCD,Funding will be used for clean-up programs in Council District 22.
