member,organization,program,ein,amount,agency,purpose
Riley,"American Debate League, Inc.",Council District 12,471624385,5000,DYCD,funds to be used to support debate programming in Council District 12.
Narcisse,"American Debate League, Inc.",Debate & Leadership Program,471624385,10000,DYCD,"Funds will be used to provide youth speech, debate, leadership programs and activities throughout the year and summer for school district 17, 18 and 22."
Powers,American Kennel Club Museum of the Dog,,431485438,5000,DYCD,"Funding will support educational programming for youth and families at the AKC Museum of the Dog including its ""Paws to Read"" program, informational events, and adoption events."
Brewer,American Museum of Natural History,Discovery Days Program,136162659,5000,DCLA,Funds will support family science program for District 6 NYCHA families.
Schulman,"American Pakistani Advocacy Group Cares, Inc.",Community Adequate Relief Empowerment Services (CARES) Program,851997635,5000,DYCD,"To support programming that provides food security, educational, cultural, health, and recreational activities for immigrants and community members in District 29."
Hanif,American Youth and Students Association of Bangladesh,,273722921,600,DYCD,"Funding to support youth sports programming expenses such as gear, venue rental, and coaching staff."
Powers,American-Italian Cancer Foundation,,133035711,5000,DHMH,Funding will support free mammograms and clinical breast exams for economically disadvantaged women in Council District 4.
Vernikov,American-Italian Cancer Foundation,,133035711,5000,DHMH,"Funding will support programming, outreach and community events."
Gennaro,American-Italian Cancer Foundation,,133035711,6500,DHMH,Funds will support the Mammogram Bus in District 24 to provide patient navigation services to constituents.
Menin,American-Italian Cancer Foundation,,133035711,11000,DHMH,"To support no-cost breast cancer screening and education services on a Mobile Care Clinic at locations in City Council District 5 including but not limited to NYCHA developments, senior and community centers, and publicly noticed."
Brewer,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program",133035711,6000,DHMH,"Funding will support Breast Cancer Outreach, Education and Navigation Program."
Ung,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program - Council District 20",133035711,5000,DHMH,Funding to be used for free mobile mammography services in Council District 20.
Narcisse,American-Italian Cancer Foundation,Breast Cancer Screening - Council District 46,133035711,12000,DHMH,Funding to support breast cancer screening events and outreach in Council District 46.
Brannan,American-Italian Cancer Foundation,Breast Cancer Screenings - Council District 47,133035711,5000,DHMH,To support free breast cancer screening events in Council District 47.
Abreu,American-Italian Cancer Foundation,Breast Cancer Screenings - Council District 7,133035711,12000,DHMH,Funding to support breast cancer screenings and outreach in Council District 7.
Lee,American-Italian Cancer Foundation,Council District 23,133035711,5000,DHMH,To help fund no-cost breast cancer screening in Council District 23.
Joseph,American-Italian Cancer Foundation,Council District 40,133035711,5000,DHMH,Funding will support for prostate cancer screening van events in Council District 40.
Joseph,American-Italian Cancer Foundation,Council District 40,133035711,7500,DHMH,Funding will support breast cancer screening van events in Council District 40.
Schulman,American-Italian Cancer Foundation,"No-cost Breast Cancer Outreach, Education & Navigation Program",133035711,5000,DHMH,Bring Mammogram Bus to District 29 and provide patient navigation services to constituents. Page 30 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Menin,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,To support bilingual partnership program that focuses on schools and community organizations and artist-in-residency programs including visits to El Museo by schools in Council District 5.
Powers,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,Funding will support El Museo's bilingual partnership program at a school in Council District 4.
Salaam,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,Funds are to be used bring bilingual artists as educators in classrooms to provide students with an in-depth understanding of the Latinx culture.
Ayala,"Amigos Del Museo Del Barrio, Inc.",Community Engagement & Programming - Council District 8,237156720,5000,DCLA,To provide funding for El Museo's local community engagement and educational activities.
Abreu,"Amigos Del Museo Del Barrio, Inc.",In-Classroom Partnerships - Council District 7,237156720,5000,DCLA,Funding to support In-Classroom Partnerships with El Museo del Barrio in Council District 7.
Narcisse,"Amity Little League, Inc.",Sports Program - Council District 46,112705385,5000,DYCD,Funding to support sports programming for youth in Council District 46.
Gennaro,"Amudim Community Resources, Inc.",,470984801,5000,DYCD,"Funding will help cover the cost of an additional case manager who will provide services to individuals/family units; providing comprehensive case management for issues relating to drugs, mental health and sexual abuse."
Powers,"An Claidheamh Soluis, Inc.",Irish Arts Center,510244834,5000,DCLA,Funding will support programming and events at the Irish Arts Center.
Bottcher,Animal Care and Control of New York City,,133788986,5000,DHMH,Funds will be used to support programs to end animal homelessness.
Marmorato,Animal Care and Control of New York City,,133788986,10000,DHMH,Funds will be used for pet food giveaways and spay/neuter events in Council District 13.
Moya,Animal Care and Control of New York City,Community Pets & Community Kids Programs - Council District 21,133788986,20000,DHMH,To support community pets events in Council District 21 as well as Community Kids programs for Council District 21 youth.
Louis,Animal Care and Control of New York City,Council District 45,133788986,3000,DHMH,Funds will be used to support various services/programs of the ACC.
Farias,Animal Care and Control of New York City,Outreach Programming - Council District 18,133788986,10000,DHMH,"Funding to support surrender prevention, community pets, and other programming in Council District 18."
Paladino,Animal Care and Control of New York City,Surrender Prevention & Community Events,133788986,7500,DHMH,Funds will support Keeping Families Together: Surrender Prevention and Community Pets programming and services.
Hanif,"Annual Gowanus Artists Studio Tour, Inc.",,753192120,5000,DCLA,"Funds will support staff and outreach to promote art events in Gowanus including ""Gowanus Open Studios"" and/or other events where the public has an opportunity to interact with art."
Speaker,"Ansob Center for Refugees, Inc.",,113534833,20000,DYCD,Funds will be used to support legal services for immigrants and refugees.
Caban,"Ansob Center for Refugees, Inc.",Immigration Legal Services Program - Council District 22,113534833,25000,DYCD,Funding will be used to provide counseling to immigrant and refugee communities in Council District 22.
Powers,"Anti Social Productions, Inc.",Anti Social Camp,871253908,5000,DYCD,"Funding will be used to support programming and costs for Anti Social Camp, an annual free songwriting camp."
Speaker,"Aperture Foundation, Inc.",Work Scholar Program,133120824,50000,DYCD,"To provide funding support for paid professional training for New York City college graduates transitioning from school to careers in publishing, exhibitions, design, arts education, communications, and not-for-profit development and management."
Rivera,APICHA Community Health Center,,133706365,5000,DHMH,Funds will support Apicha's programs and operations.
Krishnan,APICHA Community Health Center,,133706365,9000,DHMH,To support the provision of comprehensive health services and specifically to support staff to conduct community health education.
Ung,APICHA Community Health Center,Apicha Community Health Center - Council District 20,133706365,5000,DHMH,Funds will support operational costs and programming of the health center for Council District 20. Page 31 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Marte,APICHA Community Health Center,Increasing Healthcare Access - Council District 1,133706365,5000,DHMH,"To support the provision of comprehensive health services, and specifically to support staff to conduct community health education."
Salaam,"Apollo Theater Foundation, Inc.",,133630066,7000,DCLA,Funds will support school tours and in-school workshops & residencies.
Aviles,"Arab American Association of New York, Inc.",Adult Education for MENA & AAPI Communities,113604756,20000,DYCD,Funds will support adult education programs in Council District 38.
Krishnan,"Arab-American Family Support Center, Inc., The",,113167245,7500,DYCD,To fund administrative costs associated with anti-violence programming and services.
Farias,"Arab-American Family Support Center, Inc., The",Audacious Young Women of Action Program - Council District 18,113167245,5000,DYCD,Funding to support young women and girls ages 10-24 from low-income immigrant and refugee communities in Council District 18.
Hanif,"Arab-American Family Support Center, Inc., The",Backpack Giveaway,113167245,10000,DYCD,Funds will be used to support a backpack giveaway program for residents in District 39.
Caban,"Arab-American Family Support Center, Inc., The",Emergency Fund,113167245,6000,DYCD,"Funds will be used to support residents of District 22 with mental health support, SNAP benefits, food, clothing and referral services."
Hanif,"Arab-American Family Support Center, Inc., The",Toy Giveaway,113167245,5000,DYCD,Funds will be used to support a toy giveaway in the Gowanus neighborhood.
Nurse,"Arcturus Community Endeavors, Inc.",Trainings & Outreach - Council District 37,871862399,10000,SBS,"Funds will support youth trainings, community outreach, and education to underserved small businesses in Council District 37."
De La Rosa,"Armory Foundation, The",,133680286,5000,DYCD,"To support The Armorys afterschool programming, City Track and little Feet programming in Council District 10."
Bottcher,"Ars Nova Theater I, Inc.",Greenwich House,800339038,5000,DCLA,Funds will support community engagement efforts including providing subsidized tickets to Off-Broadway productions for community members and co-producing the community’s annual Juneteenth Jubilee.
Marte,"Art Beyond Sight, Inc.",,133477104,5000,SBS,To support community training sessions in Manhattan for small businesses around ADA compliance and inclusion.
Menin,"Art Beyond Sight, Inc.",,133477104,5000,SBS,To provide assistance for small businesses within Council District 5.
Rivera,"Art Beyond Sight, Inc.",,133477104,5000,DCLA,Funds will support Art Beyond Sight's programs and operations.
Brewer,"Art Beyond Sight, Inc.",Disability Pride Parade,133477104,5000,DCLA,Funds will support disability pride parade and other disability pride events.
Vernikov,"Art for Charity Association, Inc.",,822103220,8000,DYCD,Funds will be used for programs aimed at fighting anti-Semitism and social services for new refugees.
Hanks,"Art Lab, Inc.",Free Programs & Events,132977495,5000,DCLA,Funding will support community events in Council District 49.
Gennaro,"Art Transforms, Inc.",,814182354,5000,DYCD,"Funding to support expenses related to art exhibition including supplies, venue costs, entertainment and other expenses."
Louis,"Arthur Project, Inc., The",Intermediate School 285K Meyer Levin (18K285) - Council District 45,812797329,5000,DYCD,Fund will be used for TAP to provide mentoring services to students at IS 285 Meyer Levin in Council District 45.
Marte,Artists Alliance Inc.,,134058830,5000,DCLA,"Funds will be used to support the Council District 1 in-school residency, an arts education program through which New York-based contemporary artists collaborate with Community School District 1 students."
Restler,"Artists In Residence, Inc.",Public Programs & Exhibitions - Council District 33,237343096,5000,DYCD,To support A.I.R. Gallery Free Arts Public Programs and Exhibitions in Council District 33.
Hanif,"Arts & Democracy, Inc.",,474287935,9500,DCLA,"To support staff and artist fees, materials, space, equipment and rentals."
Salaam,"Arts Business Collaborative, Inc.",,832173068,5000,DCLA,"Funds to support connecting POC and POC led organizations to business resources to including how to access capital, networking, technical assistance and institutional knowledge."
Hudson,"Arts Business Collaborative, Inc.",ABC Help Desk - Council District 35,832173068,5000,DCLA,To fund the ABC Help Desk to support independent artists and nonprofits. Page 32 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Marte,"Arts Connection, Inc., The",Council District 1,132953240,5000,DCLA,Support for an arts education program through which New York-based contemporary artists collaborate with Community Schools in District 1 students.
Rivera,"Arts for Art, Inc.",,133991848,5000,DCLA,Funds will support Arts for Art programs and operations.
Marte,"Arts for Art, Inc.",Council District 1,133991848,5000,DCLA,"To support low cost and free cultural programming in public and community spaces in Council District 1, as well as virtually."
Brannan,"Art's House Schools, Inc.",Arts Programs for Youth - Council District 47,870790139,11000,DCLA,"To support arts, humanities, and cultural programming for youth in Council District 47."
Osse,ArtShack Brooklyn,,811692702,5000,DYCD,Funding for Clay Play with Seniors of District 36.
Brooks-Powers,"Arverne Church of God, Inc.",Doing Right Under Guidance and Supervision (D.R.U.G.S.) Program - Council District 31,113031878,10000,DYCD,Funding to support operational costs associated with Doing Right Under Guidance and Supervision (D.R.U.G.S.) program in Council District 31.
Osse,Asase Yaa Cultural Arts Foundation,,352381871,8500,DCLA,Funding for programs and services in District 36.
Ung,Asian American Education Project,,881895137,5000,DYCD,Funds to support AAPI programming in K-12 NYC schools.
Salaam,"Asian American Federation, Inc.",,133572287,7000,DYCD,"Funds to be used to educate communities on AAPI co-existence and culture, while also creating programs that help address anti-AAPI activities at the root of the problem."
Gennaro,"Asian American Federation, Inc.",,133572287,12500,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Ung,"Asian American Federation, Inc.",AAPI Community Support,133572287,7000,DYCD,"To help support advocacy efforts and programming for Pan-Asian American groups, including direct services, technical assistance, professional development, research, and small business support."
Brewer,"Asian American Federation, Inc.",Advancing Equity & Opportunity for Asian New Yorkers,133572287,5000,DYCD,Funding will support advancing equity and opportunity for Asian New Yorkers in Council District 6.
Paladino,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,5000,DYCD,Funding will Support programs addressing anti-Asian hate and bias through Hope Against Hate Community Safety Programs.
Restler,"Asian American Federation, Inc.","Better, Stronger, Fairer: Building A Resilient Recovery for Asian New Yorkers",133572287,5000,DYCD,To support strengthening Asian American Nonprofits through technical assistance research and data collection to document emerging population needs and trends.
Ung,Asian American Growth and Development Center,"Immigration Service Program, Cultural Program & Professional Service",882575402,5000,DYCD,"To support AAGDC programing for immigration, cultural, and professional services."
Powers,"Asian Americans For Equality, Inc.",,133187792,5000,SBS,Funding will support small business technical assistance and development services in District 4.
Rivera,"Asian Americans For Equality, Inc.",,133187792,5000,DYCD,Funds will support AAFE's programs and operations.
Krishnan,"Asian Americans For Equality, Inc.",,133187792,7500,DYCD,Funding will support program and operational cost for our Queens based programs in Jackson Heights and neighboring areas.
Schulman,"Asian Americans For Equality, Inc.",Community Services - Council District 29,133187792,5000,DYCD,"To support AAFE's Youth Program where students residing in Council District 29 participate in a rich and robust civic, volunteer, career and college counseling programs."
Salaam,"Asian Americans For Equality, Inc.",Council District 9,133187792,7000,DYCD,"Funds are to be used to organize food pantries, legal services and tenant organizing in Council District 9."
Ung,"Asian Americans For Equality, Inc.",Queens Based Community Services - Council District 20,133187792,5000,DYCD,"To provide comprehensive housing and community services to residents living in Council District 20, including assistance with immigration, interpretation, consultation of housing rights, and entitlements. Page 33 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Speaker,"Asian Americans For Equality, Inc.",Small Business Assistance,133187792,50000,SBS,"Funds will support AAFE's housing, financial resources, and social services that assist residents and small businesses in the community."
Gutierrez,"Asian Americans For Equality, Inc.",Social Services - Council District 34,133187792,5000,DSS/HRA,Funding will support Social Services in Council District 34.
Zhuang,"Asian Community Center, Inc.",AAPI Community Business Services,882701146,10000,DYCD,Funding for a business development program.
Schulman,"Asiyah Women's Center, Inc.",Mental Health Initiative for Survivors of Domestic Violence,832104070,5000,DYCD,"To provide assistance to populations struggling with unmet mental health needs across cultural and language barriers, particularly domestic violence survivors via therapy, support groups, yoga and meditation workshops."
Menin,"Asphalt Green, Inc.",,136533158,10000,DPR,"To support the Big Swim, Sprinkler Day, Senior Day, and Snowman Showdown events."
Stevens,"Asphalt Green, Inc.",Community Sports Leagues - Roberto Clemente State Park,136533158,5000,DYCD,Funds will support the Community Sports Leagues at Roberto Clemente State Park.
Krishnan,"Association of Community Employment Programs for the Homeless, Inc.",,133846431,5000,DYCD,Funding for workforce development and employment retention programs.
Speaker,"Holden Association of Community Employment Programs for the Homeless, Inc.",,133846431,30000,DYCD,To provide Neighborhood cleaning and additional services in Council District 30.
Speaker,"Marte Association of Community Employment Programs for the Homeless, Inc.",,133846431,40000,DYCD,To provide Neighborhood cleaning and additional services in Council District 1.
Menin,"Association of Community Employment Programs for the Homeless, Inc.",Council District 5,133846431,5000,DYCD,To support local cleanup initiatives within Council District 5.
Speaker,"Schulman Association of Community Employment Programs for the Homeless, Inc.",Project Comeback,133846431,100000,DYCD,"Funds would support ACE's Project Comeback, a job-readiness training and placement program. Which includes OSHA certification, training in soft skills and general adult education, along with employment placement and assistance."
Moya,"Association of Community Employment Programs for the Homeless, Inc.",Supplemental Sanitation - Council District 21,133846431,50000,DYCD,Funds will be used to support supplemental sanitation in Council District 21.
Zhuang,"Association of Community Employment Programs for the Homeless, Inc.",Supplemental Sanitation Services,133846431,20500,DYCD,Funding to support Supplemental Sanitation Services in Council District 43.
De La Rosa,"Association of Dominican Classical Artists, Inc.",,133843597,15000,DCLA,To support ACDA programming in Council District 10.
Abreu,"Association of Dominican Classical Artists, Inc.",The Conservancy - Council District 7,133843597,10000,DCLA,Funding to support the Washington Heights Community Conservatory of Fine Arts & A Celebration of Dominican Classical Artists Composers and Musicians Concert Series.
Vernikov,Association of East-European Jewry,,461135533,5000,DYCD,"Funds to organize events for Holocaust survivors and families through educational lectures, culture and history."
Paladino,"Associazione Sacchesi D'America, Inc.",Bocci Club,582684001,5000,DYCD,Funds will support the senior Bocce Ball club and help promote the sport.
Farias,Astor Services for Children & Families,Community Pantry Initiative - Council District 18,141397918,5000,DHMH,Funding to support the community pantry initiative in Council District 18.
Caban,"Astoria/Queens Share-ing and Care-ing, Inc.",Cancer Prevention Initiative,113220371,15000,DHMH,Funds will be used for a districtwide cancer prevention initiative.
Krishnan,"Astoria/Queens Share-ing and Care-ing, Inc.",Council District 25,113220371,5000,DHMH,"To support community outreach and education in Council District 25 as well as various education and supportive services for those diagnosed with cancer, including breast, colon and ovarian cancers. Page 34 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Restler,Atlantic Avenue Association Local Development Corporation,Annual Atlantic Antic Festival - Council District 33,112786225,20000,DYCD,To support the Atlantic LDC work including Atlantic Antic Festival & programming in Council District 33.
Ung,Auxiliary of City Hospital at Elmhurst,Pediatric Programs,111879800,5000,DHMH,"To support event programming at the Elmhurst Hospital including Health Fairs, Back to School, Safe Halloween and Winter Wonderland."
Banks,"Aviate4U, Inc.",Council District 42,843441343,10000,DYCD,"Funding will be utilized to provide uniforms, transportation to and from airport, airplane rental and certified flight instructors for the local area youth participants of this program."
Bottcher,"Bailey House, Inc.",,133165181,5000,DHMH,Funds will support 24/7 services provided at Bailey-Holt House (BHH).
Salaam,"Bailey House, Inc.",Family Support Program (FSP) - Schafer Hall,133165181,5000,DHMH,To provide youth in families affected by HIV/AIDS in the Family Support Program (FSP) at Schafer Hall.
Salaam,"Bailey House, Inc.",Year Round Activities & Family Support Program (FSP) - Schafer Hall,133165181,5000,DHMH,Funds are to be spent on year round activities and to uplift families affected by HIV/AIDS in The Family Support Program (FSP) at Schafer Hall.
Bottcher,"Ballet Hispanico of New York, Inc.",,132685755,5000,DCLA,"Funds will support Company, School of Dance, and Community Arts Partnerships programs."
