scope,year,file,line,column,ein,ein_printed,amount,name,host_ein,host_amount,present_any_year,present_same_year
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,33,organization,134145441,13-4145441,20000,"Lander Npower, Inc.",550882599,20000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,38,organization,133973196,13-3973196,20000,"Rose MOUSE, Inc.",132954007,20000,63,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,38,organization,133973196,13-3973196,20000,"Rosenthal MOUSE, Inc.",132954007,20000,63,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,organization,132813809,13-2813809,150000,"Kingsbridge Heights Community Center, Inc.",132946970,748000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,organization,136171197,13-6171197,150000,Icahn School of Medicine at Mount Sinai,132946970,748000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,51,organization,311702032,31-1702032,150000,New York City Alliance Against Sexual Assault,132946970,748000,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,52,organization,133083068,13-3083068,175000,"Community Healthcare Network, Inc.",132612524,52935,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,54,organization,134150972,13-4150972,125000,"Girls Educational and Mentoring Services, Inc.",133286250,175000,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,54,organization,136171197,13-6171197,75000,Icahn School of Medicine at Mount Sinai,133286250,175000,14,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,55,organization,112515828,11-2515828,29800,"Afrikan Poetry Theatre, Inc.",133515233,29800,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,55,organization,237057226,23-7057226,29800,"Amas Musical Theatre, Inc.",133515233,29800,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,59,organization,112393789,11-2393789,29800,"Chinese Theater Works, Inc.",134046782,29800,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,60,organization,134181617,13-4181617,14600,"Creative Ammo, Inc.",133116643,29800,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,60,organization,134148861,13-4148861,14600,"Educational Theater of New York, Inc.",133116643,29800,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,63,organization,113344389,11-3344389,29800,Make the Road New York,133607832,29800,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,64,organization,132988157,13-2988157,29800,"Mindbuilders Creative Arts, Inc.",132632596,123200,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,64,organization,133486145,13-3486145,14600,"National Asian American Theatre Company, Inc.",132632596,123200,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,65,organization,136216904,13-6216904,113200,"Negro Ensemble Company, Inc.",132683678,113200,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,65,organization,132814763,13-2814763,113200,"New Federal Theatre, Inc.",132683678,113200,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,68,organization,264705999,26-4705999,29800,People's Theatre Project,237330454,29800,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,68,organization,133765140,13-3765140,29800,"Point Community Development Corporation, The",237330454,29800,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,68,organization,201407519,20-1407519,14600,"Rising Circle Theater Collective, Inc.",237330454,29800,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,68,organization,133929841,13-3929841,14600,"Second Generation Productions, Inc.",237330454,29800,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,70,organization,141885605,14-1885605,14600,"Take Wing and Soar Productions, Inc.",237448611,115200,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,70,organization,133805585,13-3805585,29800,"Teatro Circulo, Ltd.",237448611,115200,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,78,organization,210634479,21-0634479,207000,Educational Testing Services,132612524,350000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,78,organization,112614265,11-2614265,33000,"El Puente de Williamsburg, Inc.",132612524,350000,10,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,80,organization,113344389,11-3344389,30000,Make the Road New York,205620848,30000,16,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,80,organization,133808013,13-3808013,30000,"Mentoring USA, Inc.",205620848,30000,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,81,organization,136119036,13-6119036,400000,"Chess in the Schools, Inc.",134004600,1550000,22,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,81,organization,133973196,13-3973196,275000,"MOUSE, Inc.",134004600,1550000,10,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,86,organization,112024569,11-2024569,450000,Council of School Supervisors and Administrators,136400434,12294500,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,87,organization,132765465,13-2765465,335000,"Council on the Environment, Inc.",237169558,125000,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,87,organization,061800512,06-1800512,95000,"Harvest Home Farmer’s Market, Inc.",237169558,125000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,88,organization,112683663,11-2683663,125000,Cypress Hills Local Development Corporation,112737223,125000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,88,organization,141719016,14-1719016,125000,"Crenulated Company LTD, The",112737223,125000,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,95,organization,161765323,161765323,52692,Centro Altagracia de Fe y Justicia,135562202,90000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,95,organization,510567466,510567466,52692,Community Health Center of Richmond,135562202,90000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,95,organization,133083068,133083068,52692,Community Healthcare Network,135562202,90000,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,98,organization,113344389,113344389,52692,Make the Road New York,133573409,75000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,102,organization,132739694,13-2739694,50000,Charles B. Wang Community Health Center,134046652,50000,12,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,104,organization,272464042,27-2464042,50000,New York Cancer Center,743177454,50000,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,104,organization,020597827,02-0597827,100000,Ralph Lauren Center for Cancer Care and Prevention,743177454,50000,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,106,organization,112868878,11-2868878,50000,Staten Island University Hospital,264417161,49500,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,107,organization,135563004,13-5563004,78000,American Lung Association of the City of New York,133092676,300000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,107,organization,135562308,13-5562308,268000,New York University College of Dentistry,133092676,300000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,organization,202015286,20-2015286,32000,Choices in Childbirth,136400434,25799,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,organization,510567466,51-0567466,11520,"Community Health Center of Richmond, Inc.",136400434,25799,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,organization,133083068,13-3083068,84633,Community Healthcare Network,136400434,25799,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,organization,113122295,11-3122295,29157,Diaspora Community Services,136400434,25799,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,organization,113343941,11-3343941,11253,Fort Greene Strategic Neighborhood Action Partnership,136400434,25799,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,108,organization,113484928,11-3484928,29157,Greater Brooklyn Health Coalition,136400434,25799,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,organization,061181226,06-1181226,29235,Joseph P. Addabbo Family Health Center,743177454,20757,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,organization,237412423,23-7412423,27891,Lower East Side Family Union,743177454,20757,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,organization,061081232,06-1081232,22320,Morris Heights Health Center,743177454,20757,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,organization,131624096,13-1624096,123541,Mount Sinai Hospital,743177454,20757,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,109,organization,112870422,11-2870422,35484,Queens Comprehensive Perinatal Council,743177454,20757,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,110,organization,112777066,11-2777066,162203,SCO Family of Services,132884976,27891,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,110,organization,237360305,23-7360305,22320,Urban Health Plan,132884976,27891,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,119,organization,133922640,13-3922640,23000,"Homeless Services United, Inc.",133234441,37000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,123,organization,133317188,13-3317188,650000,"Housing Court Answers, Inc.",132605599,207500,20,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,135,organization,132775999,13-2775999,100000,Association for Neighborhood and Housing Development,133975090,51000,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,139,organization,113250772,11-3250772,71000,Bridge Street Development Corporation,113580935,61000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,139,organization,112634818,11-2634818,51000,"Catholic Migration Services, Inc.",113580935,61000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,139,organization,112634818,11-2634818,51000,"Catholic Migration Services, Inc.",113580935,61000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,140,organization,133248777,13-3248777,61000,"El Barrio's Operation Fightback , Inc.",112475743,51000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,141,organization,132915659,13-2915659,51000,"Good Old Lower East Side, Inc.",112412584,71000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,143,organization,510141489,51-0141489,61000,"Housing Conservation Coordinators, Inc.",112665181,51000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,147,organization,132974137,13-2974137,61000,"Northfield Community LDC of Staten Island, Inc.",112229635,61000,16,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,148,organization,112451752,11-2451752,61000,"Pratt Area Community Council, Inc.",112375583,51000,16,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,151,organization,510192170,51-0192170,61000,St. Nick's Alliance Corporation,133442022,51000,16,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,159,organization,113250772,11-3250772,29729,Bridge Street Development Corporation,112435523,29729,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,161,organization,112652331,11-2652331,29729,"Clinton Housing Development Company, Inc.",132851988,29729,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,162,organization,132564241,13-2564241,29729,"El Barrio’s Operation Fightback, Inc.",133248777,29729,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,organization,133311582,13-3311582,29729,"Good Old Lower East Side, Inc.",112498292,29730,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,163,organization,132915659,13-2915659,29729,Gowanus Canal Community Development Corporation,112498292,29730,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,164,organization,112382250,11-2382250,29730,"Harlem Congregations for Community Improvement, Inc.",133516262,29730,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,165,organization,510141489,51-0141489,29730,"Housing Conservation Coordinators, Inc.",135562989,29730,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,165,organization,133317188,13-3317188,29730,"Housing Court Answers, Inc.",135562989,29730,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,168,organization,471169779,47-1169779,29730,"Neighborhood Housing Services of Brooklyn CDC, Inc.",133098397,29730,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,168,organization,237398279,23-7398279,29730,"Neighborhood Housing Services of Jamaica, Inc.",133098397,29730,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,169,organization,133110811,13-3110811,29730,Neighborhood Initiatives Development Corporation (NIDC),112555446,29730,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,170,organization,132974137,13-2974137,29730,"Northfield Community LDC of Staten Island, Inc.",112375583,29730,12,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,170,organization,132806160,13-2806160,29730,"Northwest Bronx Community and Clergy Coalition, Inc.",112375583,29730,14,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,170,organization,112470566,11-2470566,29730,"Peoples Firehouse, Inc.",112375583,29730,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,171,organization,111817497,11-1817497,29730,"Queensboro Council for Social Welfare, Inc.",112453853,29730,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,172,organization,133266398,13-3266398,29730,"Staten Island Center for Independent Living, Inc.",132735378,29730,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,172,organization,131943516,13-1943516,29730,"Strycker's Bay Neighborhood Council, Inc.",132735378,29730,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,175,organization,132926433,13-2926433,29730,"West Side Federation for Senior Supportive Housing, Inc.",112435565,29730,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,180,organization,141719016,14-1719016,70000,"Crenulated Company LTD, The",510188251,70000,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,organization,132915659,13-2915659,70000,"Good Old Lower East Side, Inc.",133442022,245000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,organization,132806160,13-2806160,70000,"Northwest Bronx Community and Clergy Coalition, Inc.",133442022,245000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,organization,510192170,51-0192170,50000,St. Nick's Alliance Corporation,133442022,245000,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,181,organization,132902798,13-2902798,65000,"Urban Homesteading Assistance Board, Inc.",133442022,245000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,186,organization,132739694,13-2739694,75000,"Charles B. Wang Community Health Center, Inc.",111733454,50000,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,187,organization,133468427,13-3468427,75000,"Children’s Health Fund, The",136400434,300000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,187,organization,463181224,46-3181224,50000,"Grameen Primacare, Inc.",136400434,300000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,188,organization,133273402,13-3273402,100000,"Institute for Family Health, The",132860703,250000,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,188,organization,113344389,11-3344389,50000,Make the Road New York,132860703,250000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,188,organization,131924236,13-1924236,200000,Memorial Sloan-Kettering Cancer Center,132860703,250000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,188,organization,133957095,13-3957095,50000,"New York and Presbyterian Hospital, The",132860703,250000,8,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,195,organization,133323168,13-3323168,25000,"Caribbean Women's Health Association, Inc.",112859151,84000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,198,organization,133861648,13-3861648,24000,"Comprehensive Development, Inc.",112864728,60000,6,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,199,organization,112932528,11-2932528,178000,Emerald Isle Immigration Center,112290832,100000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,200,organization,133730564,13-3730564,38000,"HIV Law Project, Inc., The",132600199,425000,2,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,200,organization,510141489,51-0141489,38000,"Housing Conservation Coordinators, Inc.",132600199,425000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,200,organization,464879076,46-4879076,200000,Immigrant Justice Corps.,132600199,425000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,202,organization,061296692,06-1296692,50000,"Neighborhood Defender Service, Inc.",132972415,38000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,202,organization,133505428,13-3505428,440000,"New York Legal Assistance Group, Inc.",132972415,38000,20,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,203,organization,112285970,11-2285970,20000,"Polish and Slavic Center, Inc.",132946970,20000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,205,organization,237406410,23-7406410,25000,"SBH Community Service Network, Inc. (Sephardic Bikur Cholim)",112306447,65000,24,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,209,organization,133931074,13-3931074,2076667,Bronx Defenders,113305406,2076666,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,214,organization,510419496,51-0419496,250000,Center for Family Representation,135562265,2000000,14,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,219,organization,510141489,51-0141489,305000,"Housing Conservation Coordinators, Inc.",132622748,305000,4,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,224,organization,132872916,13-2872916,70031,Eden II School for Autistic Children,134131863,32372,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,225,organization,111633549,11-1633549,78540,Page 71 Heartshare Human Services of New York,135564937,78540,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,225,organization,202336717,20-2336717,70031,Imagine Foundation,135564937,78540,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,234,organization,135600422,13-5600422,74187,Ramapo for Children,112594790,66938,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,234,organization,203042280,20-3042280,30000,Reach for the Stars Learning Center,112594790,66938,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,236,organization,131740041,13-1740041,88136,Shield of David,113070228,45046,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,237,organization,135654532,13-5654532,13078,United Cerebral Palsy of New York City,263373908,30000,0,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,240,organization,141397918,14-1397918,150000,Astor Services for Children & Families,111733454,85000,18,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,240,organization,112047151,11-2047151,130000,Catholic Charities Neighborhood Services,111733454,85000,16,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,240,organization,132668080,13-2668080,150000,Center for Alternative Sentencing & Employ. Services (CASES),111733454,85000,16,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,241,organization,135562191,13-5562191,100000,"Children's Aid Society, The",135598710,83000,22,0
q1_organization,FY2017,data/fy17/schedule_c/fy17_schedule_c_awards.csv,241,organization,132729071,13-2729071,145000,"Coalition of Behavioral Health Agencies, The",135598710,83000,2,0
