item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
11,Department of Education,040,406,1,"December 1, 2024; June 1, 2025; September 15, 2024",,"As a condition of the funds in unit of appropriation number 406, the D epartment of Education (“DOE”) shall submit to the Council three reports list detailing the total number of charter schools, listed by name and address, funded in such unit of appropriation. Such list shall also contain the total number of enrolled students in each charter school, disaggregated by grade. The semi- annual list shall also contain the following information for all charter schools funded in such unit of appropriation, in the aggregate: 1) the total number of enrolled students, disaggregated by grade; 2) the total number of enrolled Special Education students, disaggregated by grade; 3) the total number of enrolled General Education students, disaggregated by grade; 4) the total number of enrolled English Language Learner students, disaggregated by grade; 5) the total number of students provided free or reduced price school lunches, disaggregated by grade; and 6) the total sum of year- end projected payments, disaggregated by payments for general education students and payments for special education students with the payments for special education students further disaggregated by tuition payment category. The first list shall be submitted no later than September 15, 2024, the second list shall be submitted no later than December 1, 2024, and the final list shall be submitted no later than June 1, 2025."
12,Department of Education,040,406; 444,2,"January 31, 2025",,"As a condition of the funds in unit of appropriation numbers 406 and 444, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2025 , a report on the number of leases held by DOE and by a charter school for which the charter school is paid a lease subsidy by DOE. For each lease held by DOE, such report shall include: 1) the building identification code; 2) the address; 3) the start and end dates of the lease; 4) the annual cost of the lease; 5) the occupant of the leased space; 6) the budget code; 7) the building use; and 8) actual spending per lease in Fiscal 2024. For each lease held by a charter school for which the charter school is paid a lease subsidy by DOE, the report shall include, for each building: 1) the names of the charter school and charter operator; 2) the address; 3) the start and end dates of the lease, 4) the annual cost of the charter school's lease for the current fiscal year; 5) the annual cost of the lease DOE is obligated to pay for; 6) the total lease payments from DOE to date; 7) the projected total lease payments from DOE; 8) the per pupil cost of the lease to DOE; and 9) the owner of the property the charter school is leasing from."
13,Department of Education,040,401; 402; 403; 404; 415; 416; 453; 454; 481; 482,10,"January 31, 2025",,"As a condition of the funds in unit of appropriation numbers 401, 402, 403, 404, 415, 416, 453, 454, 481, and 482, the Department of Education (“DOE”) shall submit to the Council, no later than January 31, 2025, a list of every community school, including the school name and DBN, as well as a list of the community school core programs with the budgeted amount for such core programs for each school. Such report shall be disaggregated by services provided by the DOE and those provided through a contracted community- based organization. DOE shall also include a list of community schools with their respective partner community-based organization."
14,Department of Education,040,407; 408; 409; 410; 470,5,"April 30, 2024; February 28, 2025; January 31, 2025; May 24, 2025",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education (“DOE”) shall submit to the Council a semi-annual report on Universal Pre-Kindergarten, 3K, and infant and toddler seats (collectively, ""ECE programs"") enrollment disaggregated by school district and ECE program detailing the number of students enrolled in each full- day program broken down by special education and non-special education students, the number of students enrolled in each half -day program by special education and non-special education students, the total capacity, and the seat vacancy of each facility and each school district, broken down by ECE program. The first report shall be submitted no later than February 28, 2025 and include preliminary enrollment data as of January 31, 2025. The second report shall be submitted no later than May 24, 2025 and include final enrollment data as of April 30, 2024."
15,Department of Education,040,407; 408; 409; 410,4,"April 1, 2025; August 1, 2025; December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025; March 31, 2025; May 1, 2025; November 1, 2024; October 1, 2024; September 30, 2024","July 1, 2024 to September 30","As a condition of the funds in units of appropriation 407, 408, 409 and 410, the Department of Education (""DOE"" or the ""Department"") shall submit quarterly reports to the Council regarding payments to providers with which the Department has contracted to provide early childhood care and educationfor children aged zero to 3, in 3K, and in Universal Pre -Kindergarten, detailing for each provider: (i) the amount budgeted under the contract; and (ii) the amount the provider has invoiced the DOE a nd the amount the DOE has paid to the provider. These quarterly reports shall be submitted on: (i) November 1, 2024, covering the period beginning July 1, 2024 and ending September 30, 2024; (ii) February 1, 2025, covering the period beginning October 1, 2024 and ending December 31, 2024; (iii) May 1, 2025, covering the period beginning January 1, 2025 and ending March 31, 2025 and (iv) August 1, 2025 covering the period beginning April 1, 2025 and ending June 30, 2025."
16,Department of Education,040,All,1,,,"As a condition of the funds in all the units of appropriation associated with the Department of Education (“DOE”), DOE shall issue the Financial Status Reports for the following dates: FINANCIAL STATUS REPORT REPORT CONTENT ISSUE DATE ANTICIPATED MEETING DATE SEPTEMBER 2024 FY 2025 FSROpening Condition October 2nd October 28th OCTOBER 2024 FY 2024 Year-End Close November 5th December 3rd DECEMBER 2024 FY 2025 FSR Update; FY 2025 November Plan Summary December 9th January 14th FEBRUARY 2025 FY 2025 FSR Update, including Fiscal Analysis; FY 2025 Preliminary Budget Summary February 11th March 11th MARCH 2025 FY 2025 FSR Update, including Fiscal Analysis; FY 2025 Preliminary Budget Summary April 8th May 6th MAY 2025 FY 2025 FSR Update, including Fiscal Analysis; FY 2025 Executive Budget Summary May 26th June 16th"
17,Department of Education,040,401; 402; 407; 415; 416; 453; 481; 482,8,"September 30, 2024",,"As a condition of the funds in units of appropriation 401, 402, 407, 415, 416 and 453, 481 and 482 the Department of Education (“DOE”) shall submit an annual report, no later than September 30, 2024, on funding for restorative justice programming and services for the previous school year. The report shall include the following information: (i) the amount of funding to implement restorative justice programming and services; (ii) the list schools and direct/indirect restorative justice programs and services offered, including if the programs and services were used by students; (iii) the amount of funds not spent; and (iv) the number of staff, students, school staff, and administrators administering the programs."
18,Department of Education,040,402,1,"June 30, 2025",,"As a condition of the funds in unit of appropriation 402, the Department of Education shall submit to the Council, no later than June 30, 2025, an annual report on arts instruction in K-12 schools. This report shall cover arts instruction in individual schools for the 2023 -2024 school year. This annual report should be listed by school and disaggregated by arts instruction by type, such as music, dance, th eater, and visual arts."
19,Department of Education,040,401; 403; 407; 409; 415; 481,6,"March 15, 2025; November 15, 2024",,"As a condition of the funds in units of appropriation 401, 403, 407, 409, 415, and 481, the Department of Education (“DOE”) shall submit semi- annual headcount reports to the Council that lists the following information: (i) school-based staff by title and Borough Field Support Center-based staff by title; (ii) staff by title for all pre-kindergarten staff in DOE facilities and non-DOE facilities; and (iii) the total number of school nurses and identify how many of these nurses are funded by the DOE, how many are contracted through DOE, and how many are funded by the Department of Health and Mental Hygiene (“DOHMH”); the total number of school -based social workers funded centrally, as well as the total number of social workers hired by individual schools. The semi-annual reports shall be submitted as follows: the first report shall be submitted no later than November 15, 2024 and the second report shall be submitted no later than March 15, 2025."
20,Department of Education,040,439; 440,2,"April 1, 2025",,"As a condition of the funds in unit of appropriation numbers 439 and 440, the Department of Education (“DOE”) shall submit to the Council, no later than April 1, 2025, a report detailing, for each school: 1) the total number of breakfasts served; 2) the total n umber of lunches served disaggregated by traditional, halal, and kosher meals; 3) the total number of summer meals served; 4) the number and percentage of students who completed and submitted lunch forms and/or an alternative income form; and 5) the participation rates – average meals per dayfor breakfast, lunch, and summer meals. In addition, the report must provide: 6) the total average cost per meal for breakfasts served; 7) the total average cost per meal for lunches served disaggregated by traditional, halal, and kosher meals; and 8) the total average cost per summer meal served."
21,Department of Education,040,401; 402; 407; 415; 416; 453; 481; 482,8,"September 30, 2024",,"As a condition of the funds in units of appropriation 401, 402, 407, 415, 416, 453, 481 and 482, the Department of Education (""DOE"") shall submit an annual report providing information on funding for the Project Pivot program for the previous school year by no later than September 30, 2024. The report shall include the following information: (i) the amount of funding spent on Project Pivot and any amount unspent; (ii) the list of schools that Project Pivot programming and services occurred in; (iii) the number of students and staff participating in the program; and (iv) the partner organizations providing the programming and services."
22,Department of Education,040,401; 402; 481; 482,4,"November 1, 2024",,"As a condition of the funds in unit of appropriation numbers 401, 402, 481 and 482, the Department of Education (“DOE”) shall submit to the Council, no l ater than November 1, 2024, a report on the Public Schools Athletic League summer enrollment and attendance, disaggregated by school district, student grade level, and by special education and non -special education students , for the summer of 2024. Additionally, the DOE shall report on the Public Schools Athletic League school year enrollment and attendance, disaggregated by school district, student grade level, and by special education and nonspecial education students, for the 2023-2024 school year."
23,Department of Education,040,407; 408; 409; 410; 470,5,"May 31, 2025; October 15, 2024",,"As a condition of the funds in unit of appropriation numbers 407, 408, 409, 410, and 470, the Department of Education (“DOE”) shall submit to the Council a semi- annual report on 3K and Universal PreKindergarten applications, offers, and enrollment data. Such report shall include the following, with each broken down by Council District: (a) for 3K extended day/year seats: (i) enrollment target, (ii) unique student applicants, (iii) number of students who applied for a seat and received the requested first choice, (iv) number of students who received a placement but did not enroll and the average ranking of the placement received, (v) number of students who applied for a seat and did not receive any of their ranked choices , (vi) total number of students enrolled, (vii) total number of unused seats; (b) for 3K school day seats: (i) enrollment target, (ii) unique student applicants; (iii) number of students who applied for a seat and received the requested first choice, (iv) number of students who received a placement but did not enroll and the average ranking of the placement received , (v) number of students who applied for a seat and did not receive any of their ranked choices , (vi) total number of students enrolled, (vii) total number of unused seats; (c) for Universal Pre -Kindergarten extended day/year seats: (i) enrollment target, (ii)unique student applicants, (iii) number of students who applied for a seat and received the requested first choice, (iv) number of students who received a placement but did not enroll and the average ranking of the placement received, (v) number of students who applied for a seat and did not receive any of their ranked choices, (vi) total number of students enrolled, (vii) total number of unused seats; (d) for Universal Pre -Kindergarten school day seats: (i) enrollment target, (ii)unique student applicants, (iii) number of students who applied for a seat and received the requested first choice, (iv) number of students who received a placement but did not enroll and the average ranking of the placement received, (v) number of students who applied for a seat and did not receive any of their ranked choices , (vi) total number of students enrolled, (vii) total number of unused seats; and (e) for Universal Pre-Kindergarten half day seats: (i) enrollment target, (ii)unique student applicants, (iii) number of students who applied for a seat and received the requested first choice, (iv) number of students who received a placement but did not enroll and the average ranking of the placem ent received, (v) number of students who applied for a seat and did not receive any of their ranked choices , (vi) total number of students enrolled, (vii) total number of unused seats. The first report shall be submitted no later than October 15, 2024 and the second report shall be submitted no later than May 31, 2025."
24,Department of Education,040,472,1,"May 15, 2025; September 15, 2024",,"As a condition of the funds in unit of appropriation 472, the Department of Education (""DOE"") b i-annual reports to the Council regarding an aggregate of the number of families that have filed a Carter Case and the time taken to make a decision and begin payment. The report shall include the following information for the current school year, in aggregate to avoid identifying individual families: (i) the average and median time taken to make a decision after a complaint has been filed for each settlement and due process complaint, (ii) the average and median time taken to make payments to families for each settlement and due process complaint, and (iii) the average amount of the settlement. The bi-annual reports are due to Council on September 15, 2024 and May 15, 2025."
25,Department of Environmental Protection,826,002; 005,2,,,"As a conditio n of the funds appropriated in units of appropriation 002 and 005, the Department of Environmental Protection (""DEP"") shall submit four reports to the Council, such reports shall be submitted within seven business days of the release of each financial plan , detailing the following information: (i) budget code(s) for funding associated with the Mayor's Office of Climate and Environmental Justice; (ii) amount of funding in each such budget code(s); (iii) whether such budget code(s) include funding for any other function; and (iv) amount of funding for each such other function(s), as applicable."
26,Department of Finance,836,001; 011,2,"April 1, 2025; December 31, 2024; January 1, 2024","January 1, 2024 to on December 31","As a condition of the funds in unit of appropriation numbers 001 and 011, the Department of Finance (“DOF”) shall submit to the Council, no later than April 1, 2025, an annual report detailing the number and nature of inquiries received by the Taxpayer Advocate regarding property tax exemptions or business tax exemptions, whichever is applicable. Such report shall also include the number, nature, and resolution of complaints received by the Taxpayer Advocate; any recommendations made by the Taxpayer Advocate to the commissioner; the acceptance and denial rates of such recommendations by the commissioner; and the number and nature of inquiries referred to the Taxpayer Advocate by the ombudspersons at the Department; the number and nature of inquiries referred to the Taxpayer Advocate by 311. Such report shall cover the period beginning January 1, 2024 and ending on December 31, 2024."
27,Department of Finance,836,001,1,"April 1, 2025; April 10, 2025; December 31, 2024; January 1, 2025; January 10, 2025; July 1, 2024; July 10, 2025; June 30, 2025; March 31, 2025; October 1, 2024; October 10, 2024; September 30, 2024","July 1, 2024, to September 30","As a condition of the funds appropriated in unit of appropriation 001 for the Department of Finance (the ""Department""), the Department shall submit a quarterly report to the Council detailing the following information: the number of summonses issued for unlicensed cannabis, the total amount of fines imposed, the amount of fines collected, and the amount of fines uncollected within the reporting period and fiscal year to date. Such quarterly reports shall also include, as applicable, fees or other charges assessed and collected within the reporting period in connection with the operation of unlicensed cannabis. The quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2024, and ending September 30, 2024, such report shall be submitted by October 10, 2024; (ii) for the period beginning October 1, 2024, and ending December 31, 2024, the report shall be submitted by January 10, 2025; (iii) for the period beginning January 1, 2025, and ending March 31, 2025, the report shall be submitted by April 10, 2025; and (iv) for the period beginning April 1, 2025, and ending June 30, 2025, the report shall be submitted by July 10, 2025."
28,Department of Health and Mental Hygiene,816,102; 112,2,"December 30, 2024; June 30, 2025; March 1, 2024; March 31, 2025",,"As a condition of funds in unit of appropriation numbers 102 and 112, the Department of Health and Mental Hygiene (“DOHMH”) shall submit to the Council a semi-annual report detailing the number of new infections other than COVID-19. The report shall provide the number of new infections for tuberculosis, HIV/AIDS, viral hepatitis, and measles. Additionally, the report shall include a rate comparison for the past two years. Such reports shall cover the period of March 1, 2024 through March 31, 2025 and shall be submitted by December 30, 2024 and June 30, 2025."
29,Department of Homeless Services,071,100; 102; 200; 202,4,"April 1, 2025; April 10, 2025; December 31, 2024; January 1, 2025; January 10, 2025; July 1, 2024; July 10, 2025; June 30, 2025; March 31, 2025; October 1, 2024; October 10, 2024; September 30, 2024","July 1, 2024 to September 30","As a condition of the funds in unit of appropriation numbers 100, 102, 200, and 202, the Department of Homeless Services (“DHS”) shall submit to the Council a quarterly report with data regarding services and shelters targeted to the street homeless population. Such reports shall include the following: (1) new placements into low-barrier shelter beds (i.e., safe haven beds, stabilization beds, etc.); (2) the average monthly occupancy for low-barrier shelter beds; and (3) the average capacity for drop -in centers. These quarterly reports shall be submitted on: (i) October 10, 2024 , covering the period beginning July 1, 2024 and ending September 30, 2024; (ii) January 10, 2025, covering the period beginning October 1, 2024 and ending December 31, 2024 ; (iii) April 10, 2025, covering the period beginning January 1, 2025 and ending March 31, 2025; and (iv) July 10, 2025, covering the period beginning April 1, 2025 and ending June 30, 2025."
30,Department of Housing Preservation and Development,806,004; 009,2,"July 1, 2023; June 30, 2024; October 15, 2024","on July 1, 2023 to on June 30","Capital Budget for Department of Housing Preservation and Development (806) Budget Line HD-0009 – All Projects As a condition of the funds in unit of appropri ation numbers 004 and 009 and budget line HD -0009, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than October 15, 2024, a report detailing the number of buildings in the Article 7A program and the expenditure amount at each building. Such report shall cover the period beginning on July 1, 2023 and ending on June 30, 2024."
31,Department of Housing Preservation and Development,806,004; 011,2,"July 1, 2024; July 15, 2025; June 30, 2025","on July 1, 2024 to on June 30","As a condition of the funds in unit of appropriation numbers 004 and 011, the Department of Housing Preservation and Development (“HPD”) shall submit to the Council, no later than July 15, 2025, a report on the Underlying Conditions Program. Such report sh all include the number of underlying conditions issued by HPD, the address of each building to which an underlying condition was issued, and the result of each order that was issued. Such report shall cover the period beginning on July 1, 2024 and ending on June 30, 2025."
32,Department of Housing Preservation and Development,806,001,1,"December 31, 2024; January 1, 2025; July 1, 2024; June 30, 2025; March 30, 2025; September 30, 2025",,"As a condition of funds in unit of appropriation 001 for the Department of Housing Preservation and Development (""HPD""), HPD shall submit to the Counci l a report listing properties that currently have Article XI exemptions and received that designation after July 1, 20 15, broken down by Council District. The report shall include the following information as it is ascertainable by HPD to the extent practicable: (i) the number of units in such property and the expiration dates of each such exemption; (ii) summary of area median income levels promised; (iii) additional subsidy programs from which the properties are benefiting, if any; and iv) number of open A, B, C violations. Such report shall be submitted by December 31, 2024. In addition, HPD shall submit semi-annual reports to the Council, broken down by Council District, with the above-listed information for each new Article XI exemption application accepted by HPD in the preceding 6 months. The first semi-annual report will be due March 30, 2025 and cover the period July 1, 2024 to December 31, 2024 and the second semi -annual report will be due September 30, 2025 and cover the period January 1, 2025 to June 30, 2025."
33,Department of Sanitation,827,102; 109,2,"December 31, 2024; January 1, 2025; January 31, 2025; July 1, 2024; July 30, 2025; June 30, 2025","July 1, 2024 to December 31","As a condition of the funds in unit of appropriation numbers 102 and 109, the Department of Sanitation (“DSNY”) shall submit to the Council two reports de tailing the number of weekly litter basket pick- ups disaggregated by Community District. Such report shall also include the location of litter baskets in commercial corridors in which trucks do litter pickups in .shapefile or .geojson format. Such reports shall be submitted as follows: (i) for the period beginning July 1, 2024 and ending December 31, 2024, the report shall be submitted no later than January 31, 2025; and (ii) for the period beginning January 1, 2025 and ending June 30, 2025, the report shall be submitted by July 30, 2025."
34,Department of Sanitation,827,101; 102; 109; 110,4,"July 15, 2025",,"As a condition of the funds in unit of appropriation numbers 101, 102, 109 and 110, the Department of Sanitation (“DSNY”) shall submit to the Council an annual report regarding the school organics collection program. Such report shall include the following information: 1) the number of schools added to the program disaggregated by type of school, name, address, borough, date added, and route; 2) the tonnage of organics collected on each route; and 3) a description of the organics education and outreach conducted at each school that is part of the program. Such report shall be submitted no later than July 15, 2025."
35,Department of Sanitation,827,109,1,"December 31, 2024; January 1, 2025; January 15, 2025; July 1, 2024; July 15, 2025; June 30, 2025","July 1, 2024 to December 31","As a condition of funds in unit of appropriation 109, the Department of Sanitation (""DSNY"") shall submit a semi-annual report on the community composting activ ities funded by DSNY providing the following information, broken down by contracted community-based organization: (i) budgeted funding and actual expenditures; (ii) a list of drop -off locations with the dates, days, and hours of operation; (iii) the total pounds of compost collected per site, per month; (iv) a list of composting educational events and outreach, with event attendance; and (v) the number of full -time and part-time staff administering such program. The first report shall be submitted on or before January 15, 2025 and shall cover the period beginning July 1, 2024 and ending December 31, 2024. The second report shall be submitted on or before July 15, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
36,Department of Small Business Services,801,002,1,"January 15, 2025; July 1, 2023; June 30, 2024","on July 1, 2023 to on June 30","As a condition of the funds in unit of appropriation number 002, the Department of Small Business Services (“SBS”) shall submit to the Council, no later than January 15, 2025, a report detailing the number of small businesses served through SBS’s Commercial Lease Assistance Program, disaggregated by borough. The report shall also include a description of the various types of assistance provided to small businesses through the program. Such report shall cover the period beginning on July 1, 2023 and ending on June 30, 2024."
37,Department of Small Business Services,801,006,1,"December 31, 2024; January 1, 2023; January 31, 2025",,"As a condition of the funds in unit of appropriation 006 in the budget of the Department of Small Business Services (“SBS”), the Economic Development Corporation (“EDC”) shall submit to the Council an annual report regarding NYC Ferry. The annual report shall include: 1) current route map and list of routes and landings served; 2) annual ridership by routes; 3) systemwide On-Time Performance as reported by the Operator; 4) latest demographic information available for ferry riders including percent identifying as New Yorkers; 5) the number and class of vessels currently in the NYC Ferry fleet including their p assenger capacity; 6) a breakdown of city capital spending for any major facility completed in the prior year (landings, maintenance facilities, etc.); 7) the total city capital spending for any vessel built or acquired in the prior year; 8) the systemwide subsidy from the prior fiscal year; and 9) the number of participants in the Ferry Forward program disaggregated by eligibility category and borough of residence. Such report shall be submitted on January 31, 2025, and except where noted shall cover the p eriod from January 1, 2023 to December 31, 2024."
38,Department of Small Business Services,801,010; 011,2,"April 15, 2025; February 28, 2025; July 1, 2024","on July 1, 2024 to on February 28","As a condition of the funds in unit of appropriation numbers 010 and 011, the Department of Small Business Services (“SBS”) shall provide to the Council, no later than April 15, 2025, a report detailing the: 1) number of registrants placed at jobs; 2) zip codes in which registrants placed at jobs reside; 3) job category/job classification of job placements (direct managed hires or self-placement); 4) industry of job placement; and 5) average hourly wage at placement. Such report shall cover the period beginning on July 1, 2024 and ending on February 28, 2025."
39,Capital Budget for the Department of Transportation,841,,0,,,"Budget Line HB-0278 – All Projects As a condition of the funds in budget line HB-0278 for the Department of Transportation (“DOT”) capital project related to the Brooklyn-Queens Expressway (""BQE"", also known as I-278), DOT shall submit to the Council, no later than seven business days after the release of the Adopted and Executive Capital Plans, a report detailing a breakdown of capital funding budgeted, committed, and spent for the project which details all changes made since the prior Capital Plan and provide updates on project timeline."
40,Department of Transportation,841,004; 014,2,"April 1, 2025; April 10, 2025; December 31, 2024; January 1, 2025; January 10, 2025; July 1, 2024; July 10, 2025; June 30, 2025; March 31, 2025; October 1, 2024; October 10, 2024; September 30, 2024","July 1, 2024, to September 30","As a condition of the funds in unit of appropriation numbers 004 and 014 for the Department of Transportation (DOT), DOT shall submit to Council quarterly reports on conducted community outreach for the Streets Plan. DOT shall report the location of the project, the program area of the project (consistent with the most recent annual St reets Plan report), and the schedule of Community Board meetings. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 2024, and ending September 30, 2024, such report shall be submitted by October 10, 2024; (ii) for t he period beginning October 1, 2024, and ending December 31, 2024, the report shall be submitted by January 10, 2025; (iii) for the period beginning January 1, 2025, and ending March 31, 2025, the report shall be submitted by April 10, 2025; and (iv) for the period beginning April 1, 2025, and ending June 30, 2025, the report shall be submitted by July 10, 2025."
41,Department of Youth and Community Development,260,005; 311,2,"August 1, 2025; December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025","on July 1, 2024 to on December 31","As a condition of funds in units of ap propriation 005 and 311, the Department of Youth and Community Development (“DYCD”) shall submit to the Council, on a semi-annual basis, a report detailing spending for the Adult Literacy program, including but not limited to: 1) how much is included in th e agency’s budget for the Adult Literacy program, 2) how spending is distributed across community based organizations, 3) how much is the rate per student by each of the community -based organizations and 4) the number of students. These semi-annual reports shall be submitted on February 1, 2025 covering the period beginning on July 1, 2024 and ending on December 31, 2024 and on August 1, 2025 covering the period beginning on January 1, 2025 and ending on June 30, 2025."
42,Department of Youth and Community Development,260,312,1,"August 1, 2024",,"As a condition of the funds in unit of appropriation number 312, the Department of Youth and Community Development (“DYCD”) shall provide a report to the Council no later than August 1, 2024, on the utilization of older youth beds (those serving youth 21-24 years of age), including average daily attendance for Fiscal 2024. This report shall also be disaggregated by borough and provider agency."
